ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.12 cm2                 0.0571 cm2                   0.23 cm2                 0.0923 cm2                   0.25 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1521638  205016   no     1397814  228340   no     1465663  168368   no     1028732  213950   no     1973870  237663   no    
0            1453085  190930   no     1346231  198210   no     1414084  165309   no     1008067  190627   no     1866914  207010   no    
0            1468238  201044   no     1365889  209828   no     1388337  160250   no     1004939  208250   no     1891923  210027   no    
0            1475032  196330   no     1356920  206633   no     1395840  154863   no      990265  176792   no     1889153  218324   no    
0            1479399  198310   no     1379352  223033   no     1389486  164124   no      980893  180874   no     1907717  216772   no    
0            1467923  194955   no     1392112  190954   no     1381138  169262   no      979182  194686   no     1899868  220657   no    
0            1463543  195034   no     1372986  227381   no     1381418  162362   no      974520  172233   no     1886638  209139   no    
0            1465577  203873   no     1366680  234548   no     1385868  154336   no      972640  187591   no     1894937  217792   no    
0            1472706  203339   no     1376055  208544   no     1374723  165273   no      977930  173472   no     1910274  212459   no    
0            1242829  173169   no     1170054  163937   no     1173205  143669   no      812632  153870   no     1768629  187777   no    
0            1259758  164677   no     1143077  174040   no     1175413  154433   no      831864  151744   no     1762741  193785   no    
0            1257781  171563   no     1157679  176710   no     1163672  148097   no      822269  159197   no     1756184  197448   no    
0            1248279  176274   no     1145488  173441   no     1161683  137242   no      818056  154566   no     1747014  183000   no    
0            1237922  177763   no     1186171  183760   no     1171178  136053   no      819709  152312   no     1747116  194250   no    
0            1232522  164764   no     1136554  159439   no     1162593  130267   no      824684  147471   no     1738275  192804   no    
0            1234615  161703   no     1137727  159149   no     1168031  137083   no      813083  165780   no     1756492  187529   no    
0            1232239  167806   no     1140950  159317   no     1160432  136292   no      817656  143420   no     1738758  181740   no    
0            1224791  169211   no     1126273  162182   no     1141091  138031   no      796399  164012   no     1737532  201821   no    
0            1225600  170783   no     1113069  181941   no     1134367  146008   no      815410  147691   no     1740968  174033   no    
0            1223435  170437   no     1115444  174542   no     1139390  146925   no      802639  141446   no     1739884  188937   no    
0            1229525  155983   no     1099568  155337   no     1139588  140546   no      808941  151850   no     1732530  179941   no    
0            1206505  156154   no     1122855  178729   no     1156295  138063   no      800205  144697   no     1723947  186649   no    
0            1207502  156365   no     1124123  172533   no     1143436  130027   no      803645  165349   no     1720605  185680   no    
0            1202697  162556   no     1108007  146860   no     1133971  134010   no      801841  125492   no     1715919  186707   no    
0            1195494  154535   no     1110329  178900   no     1137566  128463   no      807274  145475   no     1709145  190672   no    
0            1198336  165557   no     1101902  158965   no     1129594  128015   no      800185  143749   no     1696134  185965   no    
0            1195855  164377   no     1083093  159075   no     1141205  132659   no      812819  147332   no     1699863  183133   no    
0            1194310  160322   no     1091574  140935   no     1136339  122262   no      817531  140368   no     1699433  194972   no    
0            1173681  169515   no     1085706  169129   no     1127172  129515   no      817614  159209   no     1683124  189560   no    
0            1176500  147094   no     1086304  158648   no     1108329  130869   no      815635  145958   no     1684796  179320   no    
0            1156996  163423   no     1051231  145076   no     1113856  122315   no      813941  152538   no     1682019  181235   no    
0            1158915  158820   no     1045284  144573   no     1103741  128956   no      811585  148676   no     1675793  182396   no    
0            1148533  158007   no     1032914  160858   no     1111136  110969   no      795550  141848   no     1674763  174698   no    
0            1134973  148851   no     1029040  142741   no     1104085  117012   no      799410  135763   no     1650235  173246   no    
0            1134853  153276   no     1032968  147110   no     1097497  125142   no      795983  144302   no     1659077  185835   no    
