ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                   
ROI area        0.38 cm2                 0.0967 cm2                   0.15 cm2                 0.0513 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean     std dev  func  
0            1241080  117110   no     1189233  174480   no     1166282  167464   no     830141  197547   no    
0            1186243  117874   no     1151349  162256   no     1124122  155041   no     806777  181252   no    
0            1183659  116817   no     1158844  167465   no     1120220  164106   no     804841  184420   no    
0            1185788  123156   no     1150219  151331   no     1123350  163784   no     819645  198285   no    
0            1183531  118924   no     1146732  152913   no     1123842  155690   no     804839  198488   no    
0            1178882  118232   no     1138276  158928   no     1126906  156736   no     805877  190410   no    
0            1183008  113827   no     1140292  172683   no     1123078  155875   no     813360  165863   no    
0            1183842  118625   no     1149982  170778   no     1125619  154936   no     809823  176545   no    
0            1186869  112470   no     1151722  171868   no     1121549  148762   no     818393  188170   no    
0            1037126  105850   no      974656  129262   no      968549  137902   no     702453  148492   no    
0            1028579  102706   no      968582  139760   no      961552  137389   no     702977  153751   no    
0            1027799  110589   no      983146  126765   no      963491  133470   no     709079  155900   no    
0            1023180  110817   no      965600  140309   no      955828  135274   no     705769  149082   no    
0            1019018  100548   no      957364  120484   no      952190  134794   no     707458  153495   no    
0            1020104  112655   no      964438  129160   no      952196  129446   no     689753  135584   no    
0            1023435  105046   no      944150  125384   no      941300  138542   no     693330  164491   no    
0            1009703  103665   no      955781  123583   no      944653  132198   no     699247  165834   no    
0            1015733  102841   no      951211  137201   no      937026  121828   no     692856  151077   no    
0            1008741  107531   no      950626  124434   no      939152  126459   no     699972  132631   no    
0            1011427  103224   no      946926  121926   no      937051  131134   no     680759  157468   no    
0            1009397  105406   no      940401  128194   no      921863  127795   no     686782  141416   no    
0            1004376  107876   no      932151  117446   no      916993  130190   no     687810  157842   no    
0            1003912  105732   no      939299  119949   no      914996  128949   no     673502  147698   no    
0            1003577  105054   no      918201  127989   no      912415  129641   no     663009  132981   no    
0             998896  103917   no      924122  126880   no      915635  131556   no     668761  151262   no    
0             995495  105713   no      928902  119218   no      916071  130438   no     675508  160806   no    
0             992445  114570   no      900371  125054   no      906430  142532   no     678857  158715   no    
0             992109  103186   no      906360  112627   no      906299  134555   no     663028  153837   no    
0             983320  102655   no      891313  112313   no      902332  130150   no     654134  144305   no    
0             976709  103700   no      891700  131850   no      882880  132911   no     656974  148468   no    
0             971661  104939   no      882470  127665   no      884015  132149   no     654106  159798   no    
0             970682  104195   no      867463  111803   no      871958  122570   no     640868  148500   no    
0             970168  109638   no      854718  115276   no      873744  125389   no     642711  152764   no    
0             963413  101052   no      862275  119128   no      857390  124862   no     638531  147191   no    
0             956569  100508   no      840169  111856   no      851832  125701   no     625641  150419   no    
0             941514   97530   no      838060  114257   no      847929  121551   no     627344  141557   no    
0             938620  104069   no      840714  126264   no      838569  125850   no     621138  149947   no    
0             930380  100935   no      821357  120366   no      827969  130358   no     601567  124445   no    
0             925602   97334   no      812798  107418   no      821440  126254   no     607962  150432   no    
0             916143   96054   no      804537  114027   no      813019  129697   no     605448  125282   no    
0             909990  102623   no      798652  113518   no      801206  121534   no     596354  127937   no    
0             895286   96768   no      786972  114786   no      796124  118118   no     595155  128844   no    
0             885294   96650   no      787068   96970   no      795328  120963   no     584986  149602   no    
0             874731   94923   no      781318   99130   no      779770  114325   no     558443  126566   no    
0             871898   96597   no      765955   89054   no      779015  114802   no     572645  129514   no    
0             863928   96567   no      761512  108576   no      770119  113340   no     564462  133640   no    
0             856639   96291   no      744532   94939   no      769565  110299   no     565282  134676   no    
0             844646   99625   no      734228  102928   no      763724  118646   no     545517  131420   no    
0             836577   97116   no      703710  103085   no      751180  119675   no     536094  126716   no    
0             836943   90439   no      675604  101396   no      746266  113472   no     541683  131354   no    
0             821374   96833   no      657896   98714   no      744077  120729   no     525470  122932   no    
0             817535   90969   no      632771   87723   no      729498  111633   no     528516  119249   no    
0             799826   97194   no      582372   95013   no      717294  116118   no     516603  123494   no    
0             797443   94246   no      528819   79157   no      703008  110857   no     511051  128057   no    
0             781346   91643   no      465994   72605   no      672755  112136   no     485897  113645   no    
0             763754   90474   no      383661   68655   no      653005  106065   no     494885  102436   no    
0             749018   95545   no      307846   73519   no      631768  104167   no     479274   99770   no    
0             734038  102950   no      220509   76649   no      596092  109881   no     461317   85709   no    
0             696447  100377   no      158200   68994   no      565532  119688   no     434673   86125   no    
0             674018  107700   no      124142   46987   no      523674  123797   no     404561   93664   no    
0             641161  115652   no      115253   45332   no      482353  106771   no     379136   69468   no    
0             586007  124750   no      136887   54277   no      423793  108415   no     357028   84136   no    
0             524458  136067   no      193223   75986   no      343130  109580   no     313014   71602   no    
0             465436  151196   no      274791  107852   no      269333   97945   no     265859   53875   no    
0             393792  145826   no      364697  123749   no      200929   78062   no     205580   52966   no    
0             319813  148621   no      421985  129896   no      138159   61047   no     169324   59033   no    
0             255346  130708   no      513062  129518   no      106484   52666   no     122985   52640   no    
0             197241  107204   no      557954  132041   no      100526   51718   no     102212   40902   no    
0             168730   96176   no      598915  129022   no      134354   56421   no      94279   48063   no    
0             177743  106836   no      636661  120680   no      191425   50824   no      97524   55272   no    
0             216757  122924   no      658853  121258   no      268287   56949   no     132231   53232   no    
0             268357  138840   no      681861  106428   no      347212   47806   no     165301   81340   no    
0             345225  157418   no      692019  106549   no      422808   58699   no     219182   79224   no    
0             412114  157023   no      708749  108436   no      487036   55525   no     285022   89797   no    
0             479769  150797   no      734502  127840   no      534086   64102   no     330647   96879   no    
0             550471  145121   no      754776  113492   no      570744   72321   no     373376   90808   no    
0             604209  128730   no      777660  111595   no      615501   75865   no     418843  101093   no    
0             648649  122148   no      795677  121559   no      626940   88591   no     442656  112675   no    
0             682587  107517   no      816594  118169   no      647838   96396   no     468567   96285   no    
0             703668   99624   no      818457  126582   no      663409   84016   no     476328  105881   no    
0             731502  102100   no      834697  119502   no      681094   92798   no     486402  114510   no    
0             746592   96414   no      843346  119178   no      698709   93898   no     511979  127015   no    
0             774947  103704   no      847197  123694   no      724204  100027   no     514384  109758   no    
0             796528   97445   no      850835  126134   no      717659   99198   no     515594  126283   no    
0             812811  101372   no      849397  116728   no      742266   97521   no     537721  127575   no    
0             827018  102003   no      876589  122791   no      757375  115358   no     560525  127556   no    
0             842541  102441   no      892955  128193   no      768455  110233   no     552249  126859   no    
0             861477   95464   no      897127  123517   no      787735  109062   no     554496  129913   no    
0             871075   94811   no      910571  125297   no      785335  120768   no     572220  138596   no    
0             882187   98541   no      918412  128221   no      810116  114901   no     576821  133367   no    
0             885289   96487   no      936165  128504   no      808229  111704   no     593452  132684   no    
0             889903   98749   no      932238  123928   no      815785  110033   no     598671  141375   no    
0             904714   97561   no      942142  119451   no      837205  129673   no     595725  141358   no    
0             918912   96597   no      948562  132369   no      837354  119292   no     615256  145951   no    
0             920762   96118   no      947285  121079   no      851049  123623   no     618860  142035   no    
0             937353  109632   no      952253  127119   no      861724  127556   no     633333  147474   no    
0             937402   99458   no      957352  127248   no      874884  122702   no     636963  161524   no    
0             951095  103291   no      971960  128305   no      873797  130328   no     652114  162975   no    
0             958672  108214   no      968397  129807   no      873100  121575   no     641164  153906   no    
0             970087  100683   no      963585  135795   no      879165  131009   no     661525  147960   no    
0             971183  106778   no      975974  137234   no      890750  131112   no     659488  155968   no    
0             985985  106637   no      980049  134283   no      897533  132414   no     659908  155934   no    
0             982608  107323   no      985791  134185   no      902559  130579   no     666397  145340   no    
0             987569  106705   no      983429  114627   no      914496  123981   no     670397  141140   no    
0             994663  105667   no      984468  130800   no      921403  137283   no     679421  166061   no    
0            1001059  110642   no      989277  127956   no      914480  125698   no     688270  138066   no    
0            1006030  112296   no      987314  127047   no      920738  125720   no     671345  165690   no    
0            1004636  107884   no      989849  128512   no      928200  135699   no     686001  152800   no    
0            1008025  105201   no      988970  133872   no      941535  133438   no     680047  152426   no    
0            1013594  102116   no      991136  133147   no      932120  134009   no     707911  155204   no    
