ROI name    Roi_1                   Roi_2                   Roi_3                    
ROI area        0.23 cm2                   0.13 cm2                 0.0736 cm2               
user units  mean     std dev  func  mean     std dev  func  mean      std dev  func  
0            883394  107850   no     868298  116806   no     1094878   70912   no    
0            854816  111021   no     831822  114368   no     1065380   71745   no    
0            841491  112213   no     836283  107884   no     1049691   73898   no    
0            850789  104405   no     826348  113818   no     1021948   76045   no    
0            848226  104977   no     826949  107032   no     1020912   68680   no    
0            847913  104332   no     821077  111605   no     1025299   74674   no    
0            844828  103896   no     828639  113146   no     1038240   72002   no    
0            841698  104621   no     821143  123083   no     1034080   81551   no    
0            844502  106877   no     815060  115014   no     1035552   71230   no    
0            733410   91261   no     704444   95348   no      933140   68847   no    
0            740099   94226   no     691120   96825   no      929993   75500   no    
0            737971   93951   no     699114  101746   no      920662   70503   no    
0            739858  101042   no     692849   98937   no      918722   72283   no    
0            740337   94767   no     686751  102550   no      928732   61996   no    
0            731249   87501   no     694722   96504   no      921995   70295   no    
0            726915   95472   no     685671  104302   no      939277   65753   no    
0            722824   95839   no     681489  103203   no      914559   73574   no    
0            715587   94255   no     669823   97693   no      926929   68629   no    
0            721976   89746   no     665077   93705   no      920376   70591   no    
0            729681   91991   no     669627   94687   no      905500   66556   no    
0            722411   89635   no     670050   96608   no      906148   68238   no    
0            718030   88550   no     663366   87152   no      900011   67916   no    
0            726997   87355   no     660812   93989   no      901229   63608   no    
0            714587   95059   no     649447   95355   no      904739   78729   no    
0            713045   89219   no     657098  100011   no      895319   75639   no    
0            712969   91313   no     650763   97696   no      908482   70550   no    
0            711477   93159   no     635889   95712   no      903406   77189   no    
0            704441   90093   no     633515   95871   no      890786   62099   no    
0            700220   92584   no     625691   93483   no      889874   67580   no    
0            690786   90307   no     633326   97299   no      889317   69146   no    
0            689338   93118   no     606266   88961   no      883589   69882   no    
0            689699   94944   no     611321   91197   no      874758   61437   no    
0            682624   94273   no     608581   92181   no      878364   60283   no    
0            687142   87613   no     599180   92986   no      874064   65589   no    
0            675223   86175   no     595240   94157   no      865505   67828   no    
0            671292   85595   no     585692   90084   no      869730   79924   no    
0            670517   91769   no     581139   93424   no      872489   59221   no    
0            657718   90352   no     562071   92917   no      860542   73062   no    
0            647081   94315   no     571045   92135   no      849121   68756   no    
0            650704   91419   no     568774   84474   no      851002   68129   no    
0            636019   86360   no     565912   92136   no      829217   73656   no    
0            638202   90557   no     567299   83511   no      818488   75084   no    
0            627009   90923   no     557626   80280   no      816094   66553   no    
0            624958   92053   no     534893   86688   no      817164   68666   no    
0            610898   92469   no     537351   85202   no      808856   74835   no    
0            606593   87642   no     532251   82031   no      787918   78236   no    
0            602163   87025   no     516292   88749   no      783741   73849   no    
0            595980   84785   no     514277   81813   no      772058   75729   no    
0            591326   83954   no     512604   87919   no      766533   68918   no    
0            582322   81052   no     489973   78434   no      754413   69904   no    
0            578457   83719   no     475721   81349   no      747565   64105   no    
0            572080   89950   no     463391   76150   no      740827   64100   no    
0            564346   91422   no     433581   89226   no      731609   66343   no    
0            559585   91691   no     404735   84928   no      730122   61935   no    
0            546219   92977   no     368674   89994   no      731085   65546   no    
0            538135   95710   no     321573  102115   no      714935   63839   no    
0            528051  101580   no     276210  100729   no      716734   53746   no    
0            515739  112963   no     213528  100437   no      711758   57368   no    
0            502777  114507   no     170053  102879   no      712589   57457   no    
0            487602  124127   no     134477   83658   no      707866   60835   no    
0            454383  131698   no     115421   66926   no      697000   56892   no    
0            430220  137973   no     101241   50657   no      687100   57620   no    
0            404506  145950   no     129001   65684   no      677980   68505   no    
0            376001  146618   no     158176   88445   no      667156   74876   no    
0            334312  137468   no     203776  104583   no      659799   73232   no    
0            307016  121772   no     257206  112747   no      631457   91115   no    
0            264413  108267   no     304304  107447   no      603179   93533   no    
0            223104   88374   no     351273  102991   no      563830  109640   no    
0            189122   77363   no     398365   91308   no      514278  148229   no    
0            161592   78329   no     428523   86788   no      448190  164717   no    
0            139285   92716   no     450955   77762   no      375745  187351   no    
0            142282  100707   no     464917   75716   no      310498  198250   no    
0            163991  106845   no     478012   83279   no      254946  181065   no    
0            204430  109072   no     497721   70558   no      209013  155268   no    
0            252513  101686   no     507729   80575   no      203910  132326   no    
0            308771   84681   no     527180   83211   no      217093  118760   no    
0            367523   74640   no     532224   76402   no      255704  142336   no    
0            404832   67560   no     536496   83969   no      311698  158481   no    
0            434442   59651   no     559631   84182   no      359244  157427   no    
0            471526   61627   no     567553   90257   no      424174  161712   no    
0            483764   61228   no     576757   81213   no      499245  156777   no    
0            508790   63543   no     582216   76201   no      553766  121018   no    
0            524263   66424   no     583065   86395   no      583669   94571   no    
0            534371   61344   no     592099   92332   no      614838   68995   no    
0            545848   63953   no     600657  100102   no      657369   65567   no    
0            564379   66279   no     605605   91902   no      669302   57459   no    
0            577046   66672   no     625483   92356   no      678966   55117   no    
0            584214   69037   no     632547   91480   no      693419   61686   no    
0            597210   71819   no     630185   86465   no      711173   50683   no    
0            598307   75076   no     645304   91582   no      710750   54544   no    
0            618228   73492   no     642269   90808   no      722517   57298   no    
0            626202   70355   no     657605   85080   no      733769   48614   no    
0            622614   75789   no     669705   91927   no      745740   58264   no    
0            629601   71742   no     663495   91037   no      745299   53461   no    
0            635869   76387   no     671248   94168   no      752946   62972   no    
0            640108   71568   no     665114   89541   no      749953   61002   no    
0            649927   84457   no     672560   92621   no      768528   59820   no    
0            661373   76877   no     677640  101178   no      778574   53979   no    
0            662771   81322   no     679248   96751   no      779894   54078   no    
0            672394   80000   no     675333   93541   no      783187   62473   no    
0            679991   83604   no     684094  100558   no      798208   61861   no    
0            680055   76756   no     683705   96347   no      819885   60319   no    
0            692453   84113   no     690187   98975   no      828431   65134   no    
0            687292   78225   no     695785   97585   no      833409   59336   no    
0            699150   82282   no     694386   98313   no      839484   57550   no    
0            702900   85523   no     698743  102725   no      839515   58927   no    
0            703635   77207   no     704129   91136   no      853675   55348   no    
0            710467   89933   no     698478   92512   no      865569   52969   no    
0            713148   88726   no     711110   97816   no      871800   58380   no    
0            714698   89284   no     704585   97345   no      876313   61749   no    
