ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.38 cm2                 0.0967 cm2                   0.15 cm2                 0.0513 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            532559  78669.9  no     472606  92609.0  no     459433  37513.6  no     447999  55646.0  no    
0            426631  72560.7  no     367625  87347.2  no     354678  25936.2  no     342954  49994.9  no    
0            268237  55873.6  no     222354  64882.9  no     232069  25803.6  no     214747  31309.0  no    
0            224601  54126.8  no     186225  57890.4  no     173929  23450.4  no     156826  27626.6  no    
0            152681  45612.5  no     124145  45800.8  no     113560  21140.0  no     103665  20012.7  no    
0            130206  42011.1  no     100827  36430.5  no      88766  20525.8  no      76419  21248.4  no    
0             92261  35892.1  no      69083  29331.7  no      59243  16122.2  no      53520  13989.9  no    
0             80134  36965.5  no      61436  26718.7  no      48099  16593.9  no      39866  14975.2  no    
0             61923  31603.5  no      45509  22734.6  no      33216  14183.2  no      27601  11788.5  no    
0             53718  31159.6  no      40900  22331.1  no      32194  14767.7  no      27853  11118.8  no    
0             43214  28468.3  no      35041  19037.5  no      26473  11278.4  no      22727  10128.7  no    
0             40179  26989.2  no      28479  15089.2  no      22794  11074.3  no      24116  11287.5  no    
