ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.41 cm2                   0.11 cm2                   0.16 cm2                 0.0762 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            222405  61795.4  no     175583  53971.0  no     181139  38575.8  no     183535  43681.2  no    
0            224678  63718.9  no     183879  59311.2  no     185759  35189.7  no     180281  36324.3  no    
0            225833  62494.5  no     188930  58134.4  no     185641  36265.5  no     170978  40330.6  no    
0            221386  60223.5  no     175936  58159.4  no     194261  34328.9  no     163622  36922.0  no    
0            219594  63910.0  no     190617  58150.1  no     189131  45118.8  no     160569  38898.7  no    
0            220195  56181.7  no     178366  61630.5  no     188621  40018.4  no     169739  36678.6  no    
0            221730  65093.4  no     189155  63883.2  no     186255  33367.8  no     175508  43151.5  no    
0            223520  60794.2  no     194391  48396.1  no     185997  40838.3  no     164298  38644.2  no    
0            221028  61677.5  no     173457  59064.6  no     184444  34518.6  no     154825  31933.2  no    
0            216835  57729.5  no     193182  53631.0  no     187910  38455.6  no     158550  29254.9  no    
0            219803  60267.5  no     192548  57278.1  no     184873  37138.2  no     172865  40273.3  no    
0            228750  63269.8  no     182712  49053.9  no     176602  43877.4  no     183741  31833.9  no    
0            222561  78789.4  no     176329  63005.1  no     200575  43758.2  no     177883  24082.7  no    
0            218765  70057.7  no     186526  54110.7  no     184469  28953.9  no     183359  35040.4  no    
0            221002  63857.4  no     181068  55205.8  no     191020  41231.1  no     171146  32317.3  no    
0            222143  61554.9  no     178488  52957.8  no     193647  38180.7  no     173763  34564.8  no    
0            218481  67749.4  no     189161  50486.0  no     184471  41847.5  no     161723  39781.6  no    
0            219152  64403.8  no     188296  66552.7  no     201855  36261.4  no     165995  44664.1  no    
0            219508  64828.6  no     188559  58461.7  no     189401  31551.1  no     171826  42509.6  no    
0            218180  60739.8  no     178209  49409.4  no     194566  42100.4  no     168386  36567.3  no    
0            213704  66722.9  no     180383  49227.7  no     190126  32646.2  no     167945  37020.5  no    
0            219896  60742.8  no     177536  51725.4  no     187051  30906.1  no     162182  32738.8  no    
0            213158  66454.6  no     177192  48275.1  no     190101  34808.7  no     176937  32535.7  no    
0            221721  65737.5  no     193036  48085.5  no     192332  35167.1  no     164157  42002.5  no    
0            218923  71100.8  no     190739  44663.6  no     189127  39515.0  no     161044  37002.4  no    
0            217590  63580.9  no     191634  45645.4  no     198504  37283.0  no     173236  36025.2  no    
0            219669  62988.4  no     194967  48278.0  no     198397  36495.4  no     161677  34401.0  no    
0            216673  65201.2  no     193723  50204.9  no     189821  35868.6  no     159269  27321.5  no    
0            216331  67288.4  no     195919  55377.1  no     186664  33462.6  no     161152  33333.8  no    
0            219058  67310.0  no     196704  54908.0  no     196478  29399.3  no     157361  34459.8  no    
0            220371  71856.2  no     197203  67880.2  no     194167  36233.4  no     160466  32033.5  no    
0            218552  70898.1  no     202766  58225.8  no     192798  43540.8  no     169684  25007.4  no    
