ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.23 cm2                   0.16 cm2                 0.0736 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            568255  77349.7  no     526626  71349.2  no     878466  77620.1  no    
0            460487  80392.3  no     417120  53968.3  no     788784  71523.1  no    
0            318022  81655.2  no     264894  44455.5  no     627923  61426.6  no    
0            262891  81549.3  no     208804  36472.7  no     546320  57819.6  no    
0            196017  74402.0  no     147691  28966.2  no     441495  52799.5  no    
0            166015  70861.8  no     115865  30624.5  no     384882  46414.2  no    
0            129345  65389.9  no      84907  27253.9  no     315548  41907.1  no    
0            109845  61619.6  no      71702  28884.4  no     278177  41733.0  no    
0             91815  59416.9  no      52531  22765.9  no     227521  35977.0  no    
0             83451  54637.0  no      49049  18946.1  no     199204  36869.7  no    
0             66126  50178.7  no      39460  17937.6  no     160612  29860.4  no    
0             62737  47637.6  no      40947  20539.8  no     143347  28929.6  no    
