ROI name    Roi_1                   Roi_2                    Roi_3                    
ROI area        0.22 cm2                 0.0879 cm2                   0.68 cm2               
user units  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            943776  168602   no     1055705  105329   no     1518076  85113.7  no    
0            728774  134278   no      813869   80682   no     1378156  94482.7  no    
0            467759   99446   no      504201   66469   no     1078092  95884.0  no    
0            356318   81359   no      382423   61080   no      966224  95171.1  no    
0            244566   66553   no      247206   49815   no      773722  90929.1  no    
0            192151   59631   no      185404   52809   no      683611  85377.4  no    
0            138382   52771   no      128330   41541   no      555329  79283.5  no    
0            112731   52604   no       97879   37427   no      488475  77989.8  no    
0             83956   41425   no       75629   32230   no      408055  72031.3  no    
0             75486   39296   no       61423   31302   no      354676  67499.4  no    
0             56326   33621   no       49650   25065   no      299258  63569.6  no    
0             58012   30575   no       40309   23268   no      262126  58724.2  no    
