ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.21 cm2                 0.0762 cm2                   0.23 cm2                   0.13 cm2                   0.14 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            272354  124237   no     270813  108257   no     386555  323345   no     262235  89214.1  no     425146  86945.1  no    
0            280950  123974   no     256480  102614   no     373250  320296   no     248312  84794.1  no     411789  79134.2  no    
0            278954  131747   no     251154  114337   no     377301  317488   no     259668  89083.4  no     407834  87049.4  no    
0            270040  127904   no     240461  116101   no     369352  292990   no     261923  82991.7  no     417140  89336.3  no    
0            278217  125311   no     243515  117570   no     366095  311257   no     255791  81640.8  no     408427  82381.5  no    
0            281925  129976   no     245585   98964   no     375007  305635   no     244478  77331.6  no     409653  88322.5  no    
0            267440  124691   no     233167  107455   no     373545  311373   no     250959  83525.8  no     402552  80863.8  no    
0            264401  126191   no     237509  112882   no     371701  315959   no     263314  82795.5  no     407807  76995.3  no    
0            267599  125399   no     231490  105064   no     360561  313969   no     260409  81034.5  no     405667  91823.2  no    
0            275697  121909   no     241941  106342   no     363263  296002   no     253331  78122.4  no     404538  85017.1  no    
0            268208  121292   no     234955   95234   no     346744  277005   no     235156  61456.4  no     422614  77255.7  no    
0            264941  121202   no     237276   88340   no     350758  279987   no     234587  60937.1  no     405247  70601.4  no    
0            271808  117308   no     240664  100492   no     339209  250152   no     216859  56603.9  no     400908  76990.1  no    
0            271619  117017   no     245116   88915   no     333354  256685   no     234333  57131.4  no     409462  70839.2  no    
0            263400  119969   no     248643   81561   no     349479  268061   no     234489  60832.7  no     410469  69347.4  no    
0            260801  116918   no     248853   76402   no     346569  276878   no     237042  63408.5  no     411231  75979.9  no    
0            256397  119628   no     236245   88464   no     338554  263915   no     231699  66056.6  no     399872  74503.7  no    
0            270066  119099   no     236869   85046   no     347570  267556   no     236712  66878.4  no     412351  72027.9  no    
0            262026  118711   no     231381  103723   no     332053  259351   no     232648  68490.5  no     405959  71418.1  no    
0            261454  122291   no     261964   96255   no     335443  261282   no     234984  66264.0  no     405508  68025.0  no    
0            260493  117340   no     247319   93160   no     328176  256155   no     229896  76763.3  no     407822  79778.3  no    
0            265360  120859   no     236251   89619   no     335730  255724   no     227965  54123.0  no     401704  74317.2  no    
0            276459  127462   no     245417   88768   no     332867  254321   no     226862  64178.2  no     402856  71054.5  no    
0            255819  114676   no     225662   93831   no     336861  261508   no     224065  57465.3  no     405148  77004.9  no    
0            258598  112623   no     238535   86745   no     334368  261541   no     232928  60086.3  no     409748  73987.8  no    
0            262871  115137   no     250451   85312   no     325391  259557   no     242120  68272.3  no     406142  72563.6  no    
0            265116  119788   no     232909  102990   no     332075  259560   no     230637  56739.0  no     404242  75198.6  no    
0            262693  115776   no     247538   87083   no     328036  251200   no     229293  58017.3  no     411063  71617.9  no    
0            263878  128127   no     238117   87220   no     323636  249864   no     224964  60102.7  no     395717  66991.6  no    
0            269695  126240   no     230552   93784   no     319111  234838   no     222898  56816.1  no     392393  61411.6  no    
0            275154  117931   no     232452   93348   no     328734  246161   no     231646  67014.0  no     415995  73905.9  no    
0            263261  126126   no     240817  100878   no     317740  251638   no     235761  63893.2  no     416078  66085.4  no    
