ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.31 cm2                   0.14 cm2                   0.28 cm2                   0.14 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1232594  104906   no     1209363  191435   no     1234092  168209   no     1141247  207690   no    
0            1180927  102222   no     1174220  179529   no     1189476  174453   no     1114053  195057   no    
0            1181425  106249   no     1154116  174625   no     1185779  164993   no     1111615  204176   no    
0            1168972  111442   no     1171218  177861   no     1192145  164998   no     1114680  207884   no    
0            1177190  107851   no     1161662  177570   no     1186010  175186   no     1101812  208978   no    
0            1174535  105433   no     1178018  173084   no     1189794  165305   no     1100082  201491   no    
0            1177669  100298   no     1173353  176705   no     1194328  164859   no     1098888  188467   no    
0            1173175  105083   no     1170551  176015   no     1179067  163474   no     1092026  206317   no    
0            1174070  101665   no     1182575  172736   no     1184012  172371   no     1100882  208948   no    
0            1016035   90304   no     1004813  155590   no     1006233  141159   no      927128  177838   no    
0            1011304   99196   no     1003050  139242   no      998120  141684   no      932260  167466   no    
0            1024109   96827   no     1001501  155046   no      995464  135797   no      929116  168203   no    
0            1009770   99737   no      996447  146271   no     1004438  136091   no      922086  171555   no    
0            1003131   95090   no     1005401  139033   no      989234  133993   no      911773  175645   no    
0            1010831   96128   no     1005461  151158   no     1000069  139433   no      905137  170159   no    
0            1000961   92787   no      998611  155930   no      989140  142076   no      904654  171376   no    
0            1009914  102416   no      985096  149487   no      978200  142414   no      907152  168976   no    
0             997218   93597   no      995335  132683   no      985341  141224   no      895089  169804   no    
0             999762  100762   no      970237  141932   no      975070  140280   no      886885  173237   no    
0             985247   89511   no      969722  148982   no      976500  143316   no      891530  169534   no    
0             988904   87182   no      977553  150940   no      959081  137887   no      879821  164261   no    
0             980580   87709   no      971059  137571   no      960278  135628   no      883272  160906   no    
0             970011   90032   no      959773  168878   no      966445  133792   no      869933  157200   no    
0             967716   86154   no      957985  147460   no      964750  130910   no      873156  160162   no    
0             964148   93405   no      946264  142349   no      955588  137003   no      865730  165549   no    
0             961758   85195   no      929697  153051   no      945512  130207   no      863964  173189   no    
0             959033   84000   no      933546  141717   no      933269  134444   no      848611  153775   no    
0             945069   85030   no      914361  135588   no      928429  124908   no      842146  158995   no    
0             944917   91798   no      902226  132943   no      919578  133646   no      838710  162736   no    
0             930983   90380   no      888098  130946   no      918585  131693   no      824705  159734   no    
0             920404   83607   no      885802  133737   no      899187  133468   no      815097  154139   no    
0             918265   83033   no      870840  139178   no      894657  138879   no      812107  156959   no    
0             902559   85053   no      866250  137674   no      886427  131099   no      809783  144839   no    
0             898842   89000   no      854558  135068   no      878876  127231   no      788553  162428   no    
0             882612   86724   no      855297  131711   no      867464  119065   no      784676  152687   no    
0             874552   76443   no      844531  136263   no      858530  121218   no      782594  152090   no    
0             869791   82347   no      845857  130336   no      847531  118934   no      769865  141354   no    
0             861990   80990   no      845198  122626   no      845595  120687   no      765027  151216   no    
0             853014   78171   no      830782  132675   no      832253  116312   no      765757  145708   no    
0             842376   82660   no      808694  129654   no      832513  120671   no      750114  143291   no    
0             836754   83352   no      809790  126200   no      821725  114879   no      745271  141412   no    
0             832382   84331   no      784242  123815   no      817801  118512   no      738869  150017   no    
0             826657   83499   no      785735  138629   no      815882  118540   no      730538  144683   no    
0             816446   83230   no      766420  128816   no      806320  108440   no      708498  146165   no    
0             812807   85547   no      756772  116507   no      792284  114452   no      706429  143771   no    
0             796156   85875   no      719341  126985   no      781388  113470   no      682753  136962   no    
0             791904   74616   no      710405  134670   no      777512  130594   no      679246  136686   no    
0             770984   75163   no      684079  130938   no      755612  113547   no      655159  141840   no    
0             763974   82812   no      652677  125669   no      735846  124887   no      640349  144232   no    
0             738990   85786   no      624399  145206   no      708774  124395   no      607175  140812   no    
0             711577   90619   no      574047  139680   no      674829  126251   no      565548  140984   no    
0             690884   94775   no      507503  155359   no      647488  120013   no      527450  153957   no    
0             659754  105637   no      446029  160141   no      604387  125983   no      482684  152201   no    
0             618544  121060   no      370109  174865   no      558164  140544   no      421687  148623   no    
0             572422  131306   no      300388  174501   no      493546  142951   no      357543  147050   no    
0             512754  146136   no      239896  161412   no      433386  148968   no      279819  126099   no    
0             458810  166288   no      191383  116216   no      358225  146124   no      224138  104291   no    
0             383387  149885   no      188959   91380   no      279192  129450   no      171933   69675   no    
0             317652  141665   no      178863   79095   no      211285  115789   no      140462   53735   no    
0             247257  117317   no      224102  106162   no      162814   92542   no      135778   70959   no    
0             206088  110210   no      272406  140577   no      141733   69257   no      166224   74522   no    
0             179811  107930   no      347131  154360   no      145732   76347   no      221036   84380   no    
0             180998  115158   no      413034  172009   no      174441   95351   no      276032   80075   no    
0             211577  141136   no      504460  149390   no      235207  115973   no      359514   81665   no    
0             269521  160066   no      554385  151172   no      303479  122441   no      410684   92471   no    
0             333503  155127   no      611353  129093   no      378128  127150   no      485236   86403   no    
0             407932  158315   no      633798  114567   no      453644  120748   no      530386  102930   no    
0             486715  147670   no      661745  107232   no      524336  111939   no      566525  103718   no    
0             548828  137854   no      693993  107855   no      567751  110091   no      604262  112409   no    
0             606220  124059   no      713417  116665   no      619549  112428   no      629546  122560   no    
0             647652  105076   no      736441  109574   no      659004  109099   no      644985  114441   no    
0             670616   99706   no      750016  118295   no      690233  102036   no      656858  118033   no    
0             703560  101913   no      773793  105092   no      707631  110108   no      687637  121829   no    
0             729032   89993   no      790208  119424   no      725477  102593   no      713167  130756   no    
0             746716   93836   no      797149  119771   no      736431  112042   no      713984  131677   no    
0             758877   90416   no      830640  134178   no      769733  115311   no      735776  134505   no    
0             787345   99449   no      847945  127324   no      780864  112464   no      752765  137615   no    
0             800122   94039   no      843974  117476   no      797955  110948   no      760377  134432   no    
0             809925   90159   no      874241  133568   no      814187  115966   no      786543  152556   no    
0             832128   90661   no      861914  123181   no      836160  118199   no      792712  153248   no    
0             837616   94804   no      873491  131372   no      851794  128553   no      800399  144425   no    
0             862030   93412   no      898161  128328   no      854220  120619   no      797762  142582   no    
0             865557   80813   no      889014  135176   no      876906  119719   no      808673  152549   no    
0             878711   91252   no      898042  131316   no      874125  128660   no      813107  151073   no    
0             882254   92658   no      923969  135237   no      890441  135058   no      837007  155916   no    
0             893178   97517   no      920072  120727   no      893064  126398   no      844917  163095   no    
0             901920   85224   no      927787  127284   no      905317  125535   no      853522  152577   no    
0             917690   92942   no      950086  129785   no      928704  129637   no      853916  152895   no    
0             925499   92405   no      954800  126956   no      928138  136485   no      860946  161995   no    
0             936031   93698   no      963031  129302   no      936740  129694   no      877442  154707   no    
0             947695  100393   no      984099  138957   no      950586  127426   no      870999  153964   no    
0             957964   95322   no      977751  136739   no      947232  135555   no      893074  161219   no    
0             955830   92819   no      977935  135079   no      954469  131050   no      895645  159094   no    
0             967509   95300   no      968671  138803   no      963999  136003   no      901338  166034   no    
0             973247   92246   no     1007495  141174   no      967625  135643   no      902702  159019   no    
0             977964   94398   no      994538  144224   no      979943  138744   no      912786  172950   no    
0             993337   87828   no     1003860  147093   no      983432  130474   no      906510  166558   no    
0             990492   99531   no     1000397  131471   no      980880  137947   no      923874  178195   no    
0             995003   87738   no     1000814  146893   no      993855  138751   no      918873  167335   no    
0             996037   95179   no     1021785  145346   no      996053  141738   no      930303  163879   no    
0            1004821   94208   no     1007621  149209   no     1001548  143021   no      933614  166517   no    
