ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.24 cm2                   0.16 cm2                 0.0835 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1702888  199267   no     1964872   75634   no     1835383  217511   no    
0            1637811  192249   no     1901261   72944   no     1750576  225280   no    
0            1642834  188329   no     1881948   79700   no     1757326  231376   no    
0            1636054  190222   no     1899615   75314   no     1749117  222319   no    
0            1643395  191233   no     1889437   76880   no     1741871  225098   no    
0            1647906  188150   no     1904826   76049   no     1766400  216603   no    
0            1634377  184767   no     1893077   67089   no     1745323  228363   no    
0            1631943  180895   no     1886254   73203   no     1744816  219119   no    
0            1632395  187089   no     1875336   73101   no     1743716  216306   no    
0            1422954  162474   no     1633495   69112   no     1596008  193661   no    
0            1399747  160849   no     1625796   64395   no     1584353  183415   no    
0            1407420  159386   no     1625716   77301   no     1580640  190592   no    
0            1408731  172192   no     1627880   65900   no     1582605  187775   no    
0            1402846  165874   no     1623755   54908   no     1566262  185222   no    
0            1398037  164074   no     1612965   68915   no     1579780  201963   no    
0            1388941  163801   no     1599554   66654   no     1563851  190437   no    
0            1376326  156773   no     1606065   58568   no     1567274  177005   no    
0            1388806  160152   no     1587188   63235   no     1562773  199464   no    
0            1382224  168709   no     1594910   65229   no     1552651  193868   no    
0            1373463  163392   no     1592694   73898   no     1550281  188796   no    
0            1371770  168948   no     1578046   68239   no     1530235  192736   no    
0            1368179  162887   no     1586297   58809   no     1544532  189170   no    
0            1370545  156609   no     1578885   60476   no     1534692  187197   no    
0            1356611  161935   no     1569134   60867   no     1535469  191379   no    
0            1360473  160452   no     1570098   62521   no     1527000  186972   no    
0            1347811  162928   no     1556944   56646   no     1533403  187594   no    
0            1344917  167017   no     1539983   63978   no     1517142  193973   no    
0            1343975  165626   no     1548144   62085   no     1518397  193198   no    
0            1338851  158092   no     1523466   64820   no     1486025  198869   no    
0            1327778  165493   no     1528090   67436   no     1497108  191551   no    
0            1317646  155693   no     1515705   57330   no     1501140  191625   no    
0            1316349  159809   no     1515141   57071   no     1482291  188144   no    
0            1309292  152587   no     1507135   59816   no     1477729  179731   no    
0            1308505  166889   no     1487162   64463   no     1474966  190648   no    
