ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.30 cm2                   0.18 cm2                 0.0879 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            121565  41349.3  no     150753  29101.8  no     357719   94456   no    
0            127470  43105.6  no     150485  29847.3  no     360708   97719   no    
0            132888  42470.7  no     148396  31845.2  no     356685  102400   no    
0            126485  41696.1  no     151940  24332.9  no     355119   95814   no    
0            126114  38957.8  no     151827  28880.6  no     349821   99944   no    
0            128942  40757.6  no     152710  29609.4  no     357200   94355   no    
0            126681  39405.7  no     149845  26954.0  no     354169   83752   no    
0            129570  40901.9  no     156461  24939.2  no     359062   86949   no    
0            130090  41586.6  no     153512  29827.7  no     365155   85290   no    
0            126992  44818.2  no     156680  31317.2  no     367750   86385   no    
0            131538  45588.9  no     153194  28352.8  no     363883  100188   no    
0            132713  45069.2  no     151021  23159.4  no     363028   86318   no    
0            129460  46026.6  no     153607  27094.5  no     360546   84288   no    
0            128858  45555.2  no     157894  32493.0  no     355422   88298   no    
0            128137  43570.0  no     151552  29332.9  no     355761   93158   no    
0            125981  37915.5  no     149535  28761.8  no     356333   89842   no    
0            127013  39806.0  no     151999  26532.0  no     356017   99851   no    
0            128144  44441.0  no     154114  25111.4  no     353574   98252   no    
0            128963  43806.7  no     147859  32501.2  no     348897   90398   no    
0            128397  45602.1  no     153631  27780.9  no     355584   84634   no    
0            127923  42420.3  no     156772  21012.8  no     354276   85812   no    
0            123699  44685.0  no     150379  27969.3  no     345465   86631   no    
0            128788  37607.8  no     154162  21249.0  no     354505   88596   no    
0            125543  42602.7  no     154017  26718.9  no     351342   95834   no    
0            129082  45419.9  no     152213  26385.9  no     346540   84820   no    
0            128481  50297.4  no     150433  28986.7  no     345909   85867   no    
0            124493  47780.0  no     153024  26743.8  no     349179   82755   no    
0            121803  47848.5  no     153023  34018.3  no     347141   85011   no    
0            128777  44014.7  no     153709  28712.2  no     345225   77259   no    
0            122904  47532.3  no     151670  28729.6  no     340570   90675   no    
0            124989  44848.0  no     156347  28067.4  no     347466   92167   no    
0            125321  47473.5  no     150984  31771.4  no     347543   90000   no    
