ROI name    Roi_1                   Roi_2                    Roi_3                    
ROI area      0.0813 cm2                 0.0791 cm2                   0.52 cm2               
user units  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            938720  310812   no     1151025  212431   no     1546405  57846.5  no    
0            776047  247824   no      857487  186077   no     1413131  60063.7  no    
0            566187  184715   no      591135  124125   no     1112841  54717.6  no    
0            489533  166530   no      447706  109370   no      996305  56855.4  no    
0            371319  137965   no      294596   85690   no      802503  45934.1  no    
0            326737  119018   no      227127   82176   no      705111  45744.0  no    
0            259486  103099   no      200769   74601   no      588329  41586.0  no    
0            241693   98806   no      153507   61787   no      506818  37999.0  no    
0            204174   85516   no      139241   51874   no      426324  38730.4  no    
0            185722   83631   no      105661   57741   no      372746  36803.2  no    
0            159550   78800   no       97817   41275   no      307014  32478.3  no    
0            144676   71549   no       92532   40870   no      276631  34470.3  no    
