ROI name    Roi_1                   Roi_2                   Roi_3                    
ROI area        0.14 cm2                   0.15 cm2                 0.0483 cm2               
user units  mean     std dev  func  mean     std dev  func  mean      std dev  func  
0            639789  82902.0  no     620983  79053.7  no     1031978  222694   no    
0            509317  81424.8  no     484926  71623.2  no      912453  202583   no    
0            349709  73664.2  no     320496  57030.9  no      714415  157753   no    
0            290408  68755.5  no     243950  54721.2  no      617057  141879   no    
0            212316  64897.9  no     169235  49942.5  no      505974  114433   no    
0            178762  60329.7  no     132762  44855.4  no      441532  111586   no    
0            141698  59265.9  no      98524  38852.3  no      380431   92182   no    
0            125093  54627.9  no      79446  37519.1  no      338339   84522   no    
0            102942  53559.1  no      58674  37554.9  no      293591   78525   no    
0             91756  45739.4  no      52435  30382.7  no      272219   74904   no    
0             78470  45850.1  no      39978  29561.0  no      244170   66811   no    
0             68504  42273.6  no      36621  26200.5  no      221986   68214   no    
