ROI name    Roi_1                   
ROI area      0.0952 cm2               
user units  mean     std dev  func  
0            774907  51631.3  no    
0            694551  65674.6  no    
0            539627  73017.4  no    
0            468553  68368.9  no    
0            382801  67781.8  no    
0            326688  64505.7  no    
0            270106  52637.2  no    
0            234081  49466.2  no    
0            192679  43740.8  no    
0            163821  38719.2  no    
0            140629  31441.7  no    
0            123030  30319.4  no    
