ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.49 cm2                  0.082 cm2                   0.33 cm2                   0.15 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            213425   81954   no     156043  50593.4  no     256346  119847   no     188776  35618.6  no    
0            222296   88230   no     169081  42412.7  no     250985  124751   no     172829  46515.8  no    
0            216258   93374   no     157201  29211.8  no     252577  131606   no     186630  40472.0  no    
0            232801  103714   no     170636  39434.0  no     271287  140093   no     205976  40613.3  no    
0            227572  120527   no     161755  44150.5  no     254223  156814   no     180228  37785.4  no    
0            234084  128720   no     162848  41422.0  no     253631  180260   no     177409  35479.9  no    
0            239563  140752   no     173784  56738.8  no     244315  188187   no     169475  47719.7  no    
0            244054  160324   no     161872  49747.2  no     234152  196548   no     168748  47268.3  no    
0            261815  172241   no     178324  66976.7  no     239401  207290   no     170221  43467.9  no    
0            273909  192580   no     186413  80574.1  no     250080  214012   no     168138  55851.7  no    
0            278095  201362   no     177970  89596.2  no     239297  217225   no     173857  59513.6  no    
0            284947  201302   no     186902  93550.5  no     251402  219823   no     188359  55714.8  no    
0            277551  201255   no     178532  98700.8  no     259611  204288   no     184919  45190.7  no    
0            278525  193159   no     176946  95030.3  no     238751  209510   no     174858  47764.0  no    
0            271496  192181   no     176421  85489.0  no     244510  210165   no     193079  47613.7  no    
0            267215  182881   no     184350  78413.8  no     253707  209044   no     199917  48417.7  no    
0            266092  176309   no     186053  81155.5  no     236086  199135   no     183221  44700.5  no    
0            264290  161798   no     183751  87900.7  no     261135  191589   no     179314  51924.0  no    
0            261859  167235   no     189441  71745.4  no     254275  186157   no     185666  46978.7  no    
0            264042  155999   no     179141  66116.7  no     254190  190967   no     180765  41430.1  no    
0            256060  156201   no     182151  71151.0  no     246397  186957   no     180253  44930.2  no    
0            257213  143919   no     180406  71612.8  no     250568  179812   no     191744  46902.6  no    
0            253354  139705   no     181814  56343.8  no     250004  174388   no     195471  49843.0  no    
0            245491  136186   no     175369  60487.7  no     254591  167996   no     192269  40831.0  no    
0            250192  140067   no     171721  60956.7  no     252441  168885   no     191714  41877.5  no    
0            250310  141442   no     165211  57551.9  no     250887  175715   no     189652  49065.9  no    
0            250252  149030   no     171758  65616.8  no     242033  174709   no     173076  47701.9  no    
0            256095  161336   no     170155  67779.1  no     236458  194637   no     184265  49135.1  no    
0            255408  168257   no     153364  75098.7  no     244876  191816   no     177987  52336.2  no    
0            248112  181436   no     163123  81194.3  no     216150  195476   no     147532  54336.9  no    
0            249778  197235   no     170381  87471.6  no     220171  200677   no     150599  63328.6  no    
0            250588  209252   no     173865  98625.6  no     221448  200064   no     162584  61735.2  no    
