ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.45 cm2                 0.0923 cm2                   0.19 cm2                   0.14 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            545884  98173.6  no     533285  68890.0  no     523950  47565.8  no     504701  113525   no    
0            415734  88698.9  no     430568  75644.1  no     395193  38939.2  no     368251   89394   no    
0            276376  76633.7  no     279762  65878.4  no     255683  31621.5  no     252499   57645   no    
0            221845  73047.8  no     237615  72753.7  no     189152  26411.9  no     182765   46663   no    
0            154647  70147.5  no     160582  61384.8  no     130647  22939.9  no     122913   35177   no    
0            128416  66354.5  no     139538  61900.8  no     100310  20881.4  no     103674   29382   no    
0             96000  62569.2  no     100966  51352.8  no      70829  18814.9  no      65720   22273   no    
0             82643  57454.5  no      81298  56182.7  no      58761  16040.0  no      63286   21717   no    
0             66678  53662.8  no      69834  49113.3  no      38839  15620.0  no      39134   18295   no    
0             58501  50355.6  no      59761  45618.3  no      35913  15595.8  no      39858   18004   no    
0             48491  44894.9  no      49304  40478.9  no      28253  14054.2  no      23838   12704   no    
0             45290  43506.9  no      44848  35509.5  no      26194  12265.9  no      27547   13819   no    
