ROI name    Roi_1                    Roi_2                   Roi_3                    Roi_4                    
ROI area        0.43 cm2                 0.0571 cm2                   0.30 cm2                   0.12 cm2               
user units  mean      std dev  func  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            1160034  145704   no     819889   94995   no     1305228  105956   no     1275564   93432   no    
0            1108496  144987   no     763414  110101   no     1261741  104917   no     1222441   88797   no    
0            1115039  147510   no     765985  127021   no     1265231  104271   no     1233146   86269   no    
0            1109522  137987   no     791155  114336   no     1256672  104478   no     1231410  100149   no    
0            1116183  144121   no     763050  108073   no     1264353  105667   no     1231029   90957   no    
0            1115395  146197   no     750016  122166   no     1256860  108018   no     1215299   82327   no    
0            1117047  151104   no     784529  116011   no     1240049  108279   no     1223625   83551   no    
0            1110922  150495   no     780227  105688   no     1247784  102386   no     1233796   88706   no    
0            1109555  142751   no     759025  101750   no     1248319  103284   no     1217725   89415   no    
0             950427  125417   no     654498  121111   no     1066950   84653   no     1038965   76638   no    
0             949698  122278   no     647834  101143   no     1049481   78950   no     1027381   72507   no    
0             938814  122303   no     661820   95928   no     1057178   83911   no     1055309   83617   no    
0             950921  124498   no     657469   94954   no     1034190   85367   no     1035808   81480   no    
0             948638  132310   no     663764  104549   no     1056962   85978   no     1035233   66898   no    
0             940983  127385   no     648865  108311   no     1047013   90985   no     1042518   87759   no    
0             936803  122284   no     670427   88380   no     1034173   82434   no     1041282   72078   no    
0             945431  128615   no     657721   86827   no     1054452   92150   no     1026658   72397   no    
0             930669  120932   no     645292  106736   no     1031980   97650   no     1027778   80938   no    
0             931775  125493   no     670523  105684   no     1034564   83627   no     1033931   72601   no    
0             932584  123240   no     657235   99164   no     1025528   85372   no     1030037   73395   no    
0             923860  121289   no     643228  105893   no     1021384   79125   no     1027764   64702   no    
0             919589  113731   no     642358  104219   no     1011041   82928   no     1022914   71922   no    
0             920848  123573   no     635307  103223   no     1012231   84747   no     1025896   80533   no    
0             910277  119249   no     642648   77784   no      999789   86020   no     1021505   62901   no    
0             911859  122274   no     617515  100719   no      997715   85302   no     1013801   63951   no    
0             911513  118903   no     642934   97832   no      987791   78385   no     1010475   69612   no    
0             906848  115685   no     643106  100347   no      981196   82683   no     1013430   68060   no    
0             896610  120373   no     616066   95031   no      977857   86468   no      997327   88065   no    
0             893399  122343   no     615690  106106   no      981379   82317   no      994848   63200   no    
0             881832  121518   no     622833   98094   no      977084   90568   no      983285   74087   no    
0             877621  121782   no     617407   91721   no      960586   82803   no      988309   72552   no    
0             871857  121747   no     614919  102050   no      973675   86815   no      987362   63749   no    
0             866297  117551   no     612270  104800   no      960817   85690   no      961458   72782   no    
