ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.45 cm2                 0.0938 cm2                   0.19 cm2                   0.13 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1188860  130819   no     1249750  66734.1  no     1231443   78068   no     1151536  243887   no    
0            1144443  123515   no     1198577  60054.0  no     1186454   90541   no     1115763  226082   no    
0            1149737  133969   no     1205149  70447.8  no     1188599   79266   no     1118085  220247   no    
0            1155076  130487   no     1196272  59814.8  no     1196997   78376   no     1109766  223453   no    
0            1145878  132169   no     1207153  63049.9  no     1192395   76943   no     1116485  223558   no    
0            1147975  124663   no     1203153  61597.9  no     1183576   77483   no     1114429  228859   no    
0            1142224  131385   no     1187637  63040.6  no     1186636   78700   no     1117900  229369   no    
0            1145586  134237   no     1188840  70744.6  no     1192910   69390   no     1097407  213222   no    
0            1145888  126464   no     1177918  76907.1  no     1177810   76729   no     1111455  230608   no    
0            1013557  111476   no     1030919  54085.2  no     1014228   64751   no      937111  197559   no    
0            1015879  121302   no     1040028  65912.6  no     1003136   68142   no      957031  196152   no    
0            1001623  115349   no     1031575  51767.6  no     1002185   75729   no      943511  185313   no    
0            1005434  118844   no     1010036  57343.2  no     1005071   69209   no      929451  187256   no    
0            1006053  114911   no     1004963  59324.1  no      998080   68402   no      930949  181256   no    
0            1008071  119338   no     1008333  54719.7  no     1002348   74378   no      928928  182927   no    
0            1002815  116274   no      983450  64517.0  no      987263   70402   no      914543  192825   no    
0            1005381  120163   no     1010142  57074.7  no      995476   69035   no      922404  182824   no    
0            1006077  118984   no      985950  46442.9  no      988684   67156   no      905251  185344   no    
0            1017141  114803   no     1004298  53865.6  no      994981   60384   no      916049  178976   no    
0            1015872  111697   no     1006056  46981.6  no      981869   60190   no      925823  193180   no    
0            1020714  108564   no      973561  51812.2  no      983052   62231   no      902353  182267   no    
0            1007173  109507   no      986367  48469.0  no      981687   62021   no      898559  191284   no    
0            1013985  111454   no      985125  52956.9  no      978327   65485   no      908542  174692   no    
0            1009772  108716   no      964784  51328.4  no      975401   62063   no      886142  167549   no    
0            1015154  108826   no      979706  54959.6  no      968427   67057   no      893341  175240   no    
0            1005066  106090   no      974739  57679.7  no      961880   63023   no      878384  182384   no    
0            1005573  103157   no      968279  53451.5  no      944439   63208   no      869613  176060   no    
0             995310  105572   no      964118  54266.5  no      945801   64758   no      868933  180714   no    
0             995256  107271   no      949697  48194.5  no      926551   63960   no      849784  173065   no    
0             994019  106907   no      947878  49469.1  no      927903   66200   no      839465  177155   no    
0             993132  103188   no      941329  65889.6  no      925111   57721   no      827013  174945   no    
0             989355  106613   no      957748  56178.1  no      912127   57185   no      838863  167267   no    
0             981154  105614   no      913404  60980.9  no      900537   64310   no      833322  177493   no    
0             979053  106477   no      900161  44830.9  no      886496   59040   no      805009  167275   no    
0             974004  102165   no      903388  51417.1  no      869241   54593   no      815480  156677   no    
0             969913   94930   no      887594  53481.4  no      865559   51781   no      805445  163293   no    
0             966260   97493   no      890619  50329.5  no      860201   52917   no      807078  162285   no    
0             953649   96158   no      902151  57381.4  no      847370   64915   no      810128  159342   no    
0             951320   96648   no      889238  60702.1  no      840147   53007   no      790557  150755   no    
0             952482   92977   no      899930  60960.1  no      843410   58105   no      789630  157070   no    
0             937521   97758   no      903734  44456.7  no      829759   55984   no      784978  160008   no    
0             928973   94530   no      885004  51536.4  no      820766   56433   no      775352  155227   no    
0             920731   93681   no      872640  48877.2  no      815760   55251   no      754031  145434   no    
0             911078   91063   no      851918  49048.4  no      808926   61998   no      740160  144566   no    
0             907333   90486   no      843282  49839.9  no      801878   58996   no      725868  147484   no    
0             895212   92575   no      809982  53650.7  no      790137   58019   no      681476  142222   no    
0             886416   90945   no      809227  55925.3  no      774549   62275   no      654242  137372   no    
0             881653   80008   no      816859  49943.3  no      746929   63070   no      644252  158252   no    
0             874000   83305   no      781438  55950.9  no      728227   61291   no      599560  135970   no    
0             865850   82987   no      764211  49915.1  no      696208   58421   no      562358  132230   no    
0             859295   83487   no      750462  54006.3  no      661770   58078   no      513319  123967   no    
0             847944   82917   no      714174  52648.2  no      612498   67202   no      444352  132526   no    
0             840332   83346   no      689406  50643.9  no      561531   67083   no      389705  124087   no    
0             830330   84137   no      657141  60579.0  no      510452   79845   no      316088  130721   no    
0             822561   82076   no      629093  56492.4  no      437202   92273   no      246176  120532   no    
0             809712   81601   no      549484  60523.0  no      364512  116291   no      170851  101761   no    
0             792510   87082   no      496956  75106.2  no      278962  128569   no      125093   83556   no    
0             785622   86900   no      400911  77641.5  no      215746  115688   no       97354   50704   no    
0             770273   86704   no      308322  85816.3  no      162364   94141   no      105972   60389   no    
0             756625   89488   no      197733  81623.4  no      135521   70623   no      143726   84821   no    
0             728603  102847   no      124594  63831.0  no      153600   60133   no      207804  113609   no    
0             698855  111588   no       75997  47607.6  no      202780   68940   no      254134  129631   no    
0             663863  131656   no       65371  40204.5  no      274185   88477   no      346777  137764   no    
0             623912  162192   no       97375  55796.5  no      353299   94609   no      404609  149721   no    
0             576557  179867   no      155124  66452.0  no      438763  105958   no      463922  139998   no    
0             525984  202838   no      267490  74783.9  no      505961  112109   no      525671  144014   no    
0             473874  221949   no      354791  79507.0  no      567416  101268   no      561581  139159   no    
0             424853  210843   no      460660  70911.2  no      616538  103130   no      606934  148789   no    
0             375971  197396   no      537979  73781.2  no      656936   93239   no      628695  149166   no    
0             335197  170517   no      603157  69972.2  no      675234   84172   no      645256  135648   no    
0             306846  155815   no      629088  57930.1  no      706475   80351   no      652340  143650   no    
0             282901  143710   no      680572  42312.9  no      726354   74325   no      681447  134152   no    
0             279962  157911   no      692807  48019.9  no      738136   76605   no      694173  147601   no    
0             281879  169963   no      715678  57153.3  no      751836   68732   no      712175  146133   no    
0             305550  195524   no      714855  53858.2  no      770787   74542   no      723552  152062   no    
0             334446  219987   no      755482  60935.7  no      779154   74891   no      726419  148863   no    
0             380078  230667   no      775377  52527.2  no      796961   69727   no      755904  157839   no    
0             425878  238773   no      783059  51674.7  no      823672   73173   no      763660  157572   no    
0             483145  233795   no      805065  53286.0  no      830278   73518   no      773907  151719   no    
0             525190  212280   no      800884  49326.1  no      844353   73417   no      777698  162568   no    
0             580400  188761   no      842022  51191.0  no      856381   61783   no      792197  160224   no    
0             623027  171363   no      867599  54796.2  no      855912   71206   no      816107  174785   no    
0             665159  150747   no      856945  57879.1  no      866350   66640   no      806652  161887   no    
0             694076  134934   no      880826  57706.3  no      884365   76680   no      834988  164152   no    
0             720279  127690   no      876522  56113.7  no      885250   64402   no      835915  158265   no    
0             747547  120435   no      896916  67913.6  no      916068   64887   no      863983  175639   no    
0             763313  116633   no      883493  57723.2  no      917136   64563   no      854848  168363   no    
0             783314  114606   no      895602  48797.3  no      923433   70010   no      869228  170819   no    
0             793761  115050   no      927645  62326.2  no      934780   74514   no      883018  178350   no    
0             808710  107198   no      928499  57638.6  no      950008   68684   no      885420  171614   no    
0             824935  111367   no      937996  55632.7  no      950594   65622   no      901555  175948   no    
0             833872  109891   no      948896  61599.0  no      959724   72473   no      919233  166756   no    
0             853059  104863   no      966041  52188.5  no      962998   65290   no      904830  169700   no    
0             855747  102694   no      973914  69219.7  no      972939   66030   no      912409  183231   no    
0             875828  107651   no      972414  81660.8  no      984825   72247   no      924561  189324   no    
0             882227  106701   no      978577  57363.4  no      986278   66188   no      925969  178264   no    
0             894326  106908   no      989864  67916.9  no      993784   73467   no      942861  192399   no    
0             905080  104563   no      989789  71443.2  no      988520   70755   no      934984  194218   no    
0             909806  102038   no     1012320  58792.8  no      998002   71489   no      948301  189813   no    
0             926095  109015   no     1008994  70425.7  no     1003603   72637   no      945150  186457   no    
0             934534  107549   no     1007643  56205.5  no     1012477   71876   no      950421  188115   no    
0             944534  108294   no     1003909  53548.1  no     1023296   74447   no      961652  190656   no    
0             953424  108498   no     1022252  60714.1  no     1028693   64930   no      978754  190696   no    
0             955026  111742   no     1002542  61654.4  no     1026928   66407   no      957802  195805   no    
0             969369  116019   no     1037741  65897.9  no     1030082   66625   no      979131  190444   no    
0             971387  110402   no     1017127  56889.0  no     1035401   68260   no      974796  182544   no    
0             978023  108767   no     1023474  50123.7  no     1037588   64827   no      971220  197953   no    
0             983628  106712   no     1030640  60522.2  no     1047740   70907   no      972038  191174   no    
0             984022  100802   no     1022450  60045.3  no     1039441   70789   no      989827  196944   no    
0             998004  101887   no     1029377  64919.1  no     1035930   70767   no      965647  190929   no    
