ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.27 cm2                   0.17 cm2                   0.15 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1740649  106877   no     1912829   73986   no     1174112  252934   no    
0            1677399  106664   no     1838241   85996   no     1110402  245140   no    
0            1671782  110995   no     1837638   72968   no     1094200  241830   no    
0            1680064  110706   no     1834016   76548   no     1089538  240472   no    
0            1677749  106720   no     1842465   85070   no     1088738  257008   no    
0            1681537  105366   no     1833085   80791   no     1094024  257998   no    
0            1669635  110484   no     1817200   76169   no     1095328  252914   no    
0            1673495  114149   no     1827600   74239   no     1093170  252950   no    
0            1668722  104575   no     1809072   80578   no     1083671  255045   no    
0            1438920   89497   no     1576003   64689   no      968471  234780   no    
0            1426717   88909   no     1571702   68447   no      957607  227776   no    
0            1424250   95019   no     1560855   74532   no      953079  229405   no    
0            1426518   95194   no     1555287   71536   no      946667  220024   no    
0            1427310   94305   no     1567155   73879   no      951081  228016   no    
0            1423757   88962   no     1553180   72994   no      950726  226329   no    
0            1408434   89960   no     1559046   64211   no      957477  216229   no    
0            1418652   97620   no     1552543   72827   no      938990  232046   no    
0            1416296   87945   no     1546728   66441   no      932158  217531   no    
0            1405920   85434   no     1532402   70719   no      928607  222326   no    
0            1405590   96467   no     1541250   71637   no      929391  225293   no    
0            1385019   85960   no     1526672   68665   no      922821  234008   no    
0            1384022   97038   no     1518162   71811   no      919528  230783   no    
0            1390739   95405   no     1518670   75611   no      918665  223891   no    
0            1375996   94717   no     1510936   79994   no      921607  222102   no    
0            1361849   97444   no     1490882   80952   no      908530  224969   no    
0            1361711  101276   no     1488333   77771   no      904122  220318   no    
0            1362798  101329   no     1494563   86101   no      895965  212915   no    
0            1344775   97249   no     1478474   79935   no      894964  216142   no    
0            1330745   95026   no     1462938   75306   no      896502  214953   no    
0            1336533  104296   no     1460069   84656   no      884077  221363   no    
0            1325579  104968   no     1457637   73595   no      885563  219806   no    
0            1309818  111364   no     1432923   76202   no      870091  222626   no    
0            1300185   98436   no     1434425   71904   no      869228  214634   no    
0            1291495  101475   no     1415540   66478   no      857861  213422   no    
0            1277733   98979   no     1406433   75676   no      848819  215079   no    
0            1273304   99128   no     1395313   80387   no      836321  222297   no    
0            1250371   89346   no     1378329   78890   no      844751  216591   no    
0            1238029   99286   no     1375985   80497   no      829220  210434   no    
0            1233171   92553   no     1340700   85551   no      827957  224502   no    
0            1219566   89052   no     1345253   70237   no      820024  221232   no    
0            1189128   80531   no     1330723   66425   no      807255  216881   no    
0            1191538   79365   no     1313014   69054   no      790236  220822   no    
0            1178182   74893   no     1310114   63371   no      781565  215894   no    
0            1168311   75239   no     1292281   71755   no      780491  206454   no    
0            1165739   80292   no     1282917   66598   no      767154  221324   no    
0            1152912   78497   no     1278186   65490   no      768077  211977   no    
0            1146697   82902   no     1267468   66779   no      774843  232227   no    
0            1137017   83618   no     1248059   72471   no      826512  206199   no    
0            1126178   79536   no     1241851   67319   no      885914  183180   no    
0            1098871   81100   no     1240119   73247   no      893832  173527   no    
0            1082663   79686   no     1210423   69752   no      841021  172939   no    
0            1069224   78460   no     1187681   95737   no      786989  189578   no    
0            1048088   74021   no     1179743   86389   no      752058  199421   no    
0            1013214   80012   no     1147523   78635   no      726951  202044   no    
0             982756   83547   no     1132307   82151   no      701611  209360   no    
0             945124   84968   no     1094156   97169   no      691901  207269   no    
0             903952   81935   no     1062160  118149   no      679412  216022   no    
0             841917   93959   no      994841  112006   no      655288  218303   no    
0             773363   87263   no      937619  142362   no      634007  218004   no    
0             687323   93671   no      861258  147207   no      608689  217502   no    
0             574800  101582   no      779893  184789   no      582504  215622   no    
0             462415  102079   no      665613  191821   no      523964  207981   no    
0             329787  105028   no      558056  205996   no      480267  213356   no    
0             231983   91977   no      434415  196122   no      415549  200277   no    
0             160083   61188   no      328643  192526   no      363943  190162   no    
0             154209   52859   no      231538  122955   no      305749  152195   no    
0             199333   72550   no      191640   77514   no      288700  137520   no    
0             282670   96989   no      198951   93881   no      294502  150615   no    
0             395347  120610   no      257403  147693   no      313152  178305   no    
0             506979  129513   no      367796  185307   no      310498  183064   no    
0             633801  119415   no      494129  177410   no      311774  157611   no    
0             723299  109004   no      618893  161610   no      313153  136184   no    
0             809741  107453   no      725778  132148   no      324190  154393   no    
0             881701   93640   no      841549  123066   no      364530  179795   no    
0             926497   93165   no      919047   93542   no      429753  210590   no    
0             965356   77470   no      988715   82237   no      486588  221749   no    
0             990557   72889   no     1040805   70977   no      555515  234270   no    
0            1018235   74273   no     1064312   58788   no      595228  225723   no    
0            1046905   83325   no     1102203   64672   no      630381  230999   no    
0            1086752   84682   no     1130645   60231   no      655395  226258   no    
0            1098717   83395   no     1156225   60817   no      666633  220328   no    
0            1129649   80047   no     1185557   63025   no      685665  230071   no    
0            1159828   82216   no     1214638   65865   no      700607  230687   no    
0            1172831   84644   no     1227181   56176   no      719321  229462   no    
0            1189905   83782   no     1252595   68877   no      726734  227272   no    
0            1210467   85639   no     1282774   67681   no      748739  235584   no    
0            1219274   84454   no     1296441   57116   no      762608  233285   no    
0            1232175   79769   no     1325115   60456   no      767248  223779   no    
0            1242565   85036   no     1339705   61840   no      776615  235808   no    
0            1264386   89001   no     1340699   61872   no      779793  232827   no    
0            1277975   89086   no     1359166   69112   no      794820  231031   no    
0            1291178   80275   no     1367986   58431   no      797757  233863   no    
0            1303520   79737   no     1393412   63515   no      803278  230959   no    
0            1320519   85843   no     1406437   62938   no      812318  237749   no    
0            1335560   80313   no     1427961   65912   no      815023  238027   no    
0            1341377   87443   no     1441270   64250   no      834050  241583   no    
0            1345123   83049   no     1450917   61064   no      834744  231097   no    
0            1351008   90724   no     1460000   72483   no      857763  237779   no    
0            1376149   87255   no     1470696   64581   no      858552  226644   no    
0            1381159   86026   no     1494881   71434   no      871284  249296   no    
0            1373906   79217   no     1493313   72382   no      875744  234527   no    
0            1389745   80529   no     1511318   67879   no      880664  234502   no    
0            1395692   91496   no     1510025   65380   no      890104  235666   no    
0            1401615   88938   no     1516648   71275   no      893422  232275   no    
0            1405095   88051   no     1525914   66512   no      899525  225520   no    
0            1412766   86187   no     1528048   75955   no      891582  233902   no    
0            1412333   85920   no     1544917   71591   no      911957  231888   no    
0            1413152   88861   no     1527837   68892   no      906652  231135   no    
0            1435085   82884   no     1547187   66365   no      906386  239877   no    
0            1425859   87580   no     1551353   78949   no      909077  232126   no    
