ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.17 cm2                 0.0659 cm2                 0.0879 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1671973  227273   no     1628959  373498   no     1872882  237618   no    
0            1596090  208286   no     1536261  339123   no     1765665  249250   no    
0            1600165  217829   no     1564356  349093   no     1753025  258145   no    
0            1600223  211772   no     1539901  339362   no     1752070  244303   no    
0            1596847  223694   no     1523674  341049   no     1753289  252104   no    
0            1603695  215186   no     1557747  349196   no     1756229  257502   no    
0            1590458  215679   no     1545444  340711   no     1764279  229123   no    
0            1610101  215336   no     1543721  333099   no     1759644  239744   no    
0            1592360  222908   no     1541037  328026   no     1754974  252965   no    
0            1395121  203772   no     1336365  287814   no     1607540  230910   no    
0            1387537  200652   no     1311551  272394   no     1595564  220490   no    
0            1375586  199973   no     1304972  273841   no     1591795  253405   no    
0            1385366  194926   no     1303537  288165   no     1598892  233638   no    
0            1376587  198782   no     1311718  268240   no     1585661  239419   no    
0            1372270  188513   no     1288022  285410   no     1574090  227585   no    
0            1360617  203089   no     1270510  285584   no     1575024  229848   no    
0            1357840  205598   no     1286550  277311   no     1581319  235599   no    
0            1354354  199250   no     1263623  277941   no     1570557  230426   no    
0            1333568  193702   no     1253379  282583   no     1565118  239982   no    
0            1342324  194349   no     1251624  257751   no     1574704  249383   no    
0            1341784  186164   no     1245740  289375   no     1556535  228869   no    
0            1338815  198090   no     1226128  282550   no     1576079  224008   no    
0            1341926  197920   no     1220673  276343   no     1585951  239980   no    
0            1320892  191559   no     1204979  266614   no     1561125  238299   no    
0            1318976  186604   no     1199140  260730   no     1592210  234570   no    
0            1306830  185231   no     1193110  274900   no     1574761  250290   no    
0            1294455  183061   no     1193200  253718   no     1560511  234192   no    
0            1293794  183271   no     1161694  278884   no     1556119  231883   no    
0            1278907  196673   no     1177096  276280   no     1546767  223782   no    
0            1267447  194549   no     1153010  275085   no     1556300  241823   no    
0            1273655  195179   no     1138171  267635   no     1528049  215211   no    
