ROI name    Roi_1                    Roi_2                   Roi_3                    
ROI area        0.17 cm2                 0.0659 cm2                 0.0879 cm2               
user units  mean      std dev  func  mean     std dev  func  mean      std dev  func  
0            1106024  153047   no     996378  254579   no     1774654  446720   no    
0             914075  162781   no     774843  234852   no     1606161  436688   no    
0             663878  162105   no     535043  143193   no     1303597  391651   no    
0             553611  158647   no     451275  142958   no     1180568  376095   no    
0             430663  157383   no     280342  100208   no      984533  356957   no    
0             358736  140403   no     278743   92922   no      905358  338297   no    
0             290913  135877   no     190445   62754   no      797444  320575   no    
0             260150  132777   no     165179   62625   no      721898  308931   no    
0             209472  113914   no     155660   57202   no      651330  290724   no    
0             189540  108457   no     111822   49549   no      594133  286355   no    
0             158791  101804   no     105720   44350   no      545328  265822   no    
0             143103   95217   no      78369   41166   no      504493  251406   no    
