ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.48 cm2                   0.12 cm2                   0.25 cm2                   0.15 cm2                 0.0527 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            542655  86510.7  no     534917  65188.4  no     490829  52158.1  no     478218  74836.5  no     697397  60612.8  no    
0            415329  78909.5  no     411848  52246.3  no     378884  44437.4  no     375805  61176.3  no     605474  66320.8  no    
0            289978  76631.4  no     276994  48272.3  no     241662  36548.1  no     238243  43463.6  no     504795  60591.5  no    
0            229336  71678.8  no     221495  39042.8  no     191275  31212.8  no     185920  37059.9  no     436671  60426.3  no    
0            165716  67834.7  no     155907  34599.5  no     128293  27397.8  no     127733  31403.9  no     359652  54496.0  no    
0            138110  65166.0  no     121275  33399.0  no     102324  26085.3  no      99135  26044.1  no     310741  44484.4  no    
0            104561  60364.6  no      90865  27486.2  no      71747  23649.4  no      70888  21962.0  no     260557  38822.9  no    
0             89455  57138.9  no      72390  29767.9  no      59934  24280.0  no      54474  22057.5  no     223688  32917.7  no    
0             72559  53412.3  no      55097  24504.3  no      47301  21925.1  no      42073  17405.5  no     185545  33406.7  no    
0             65216  49760.6  no      48903  23712.8  no      39244  19783.8  no      33296  17943.0  no     161970  29860.5  no    
0             54316  44914.9  no      38125  23177.2  no      32661  19214.0  no      28683  16153.6  no     135666  22271.9  no    
0             49558  41032.3  no      35063  20266.8  no      31033  18614.5  no      26268  14638.1  no     116764  24889.2  no    
