ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.52 cm2                   0.16 cm2                   0.26 cm2                   0.19 cm2                  0.082 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            236446  70579.2  no     286008  203002   no     203225  51911.3  no     221035  119726   no     454720  306494   no    
0            236999  67707.9  no     303395  212128   no     206809  46017.9  no     221482  122134   no     460398  313997   no    
0            240184  68812.7  no     286589  215080   no     203740  48277.9  no     223503  116469   no     454706  314550   no    
0            232599  67864.0  no     284677  208780   no     204910  45918.7  no     215215  125276   no     443903  292332   no    
0            231528  72808.2  no     292176  196448   no     199892  48493.9  no     222741  116467   no     434901  293714   no    
0            237053  71371.9  no     281707  190715   no     197106  53345.0  no     216752  104602   no     459699  292737   no    
0            230314  66219.3  no     283877  190236   no     201152  45285.6  no     214272  105718   no     447460  281940   no    
0            232948  67032.1  no     273050  180182   no     204471  45374.7  no     217969  113368   no     428503  285500   no    
0            235189  69514.8  no     276296  174458   no     199188  43062.8  no     219575  101075   no     424306  276309   no    
0            232421  66952.6  no     280419  193926   no     201686  44938.3  no     221099  111981   no     423110  274057   no    
0            227135  68007.5  no     280797  207818   no     200008  50708.3  no     218398  111054   no     421294  283479   no    
0            229163  69124.9  no     307759  232008   no     187350  50747.6  no     205155  114855   no     430621  281167   no    
0            228335  69164.0  no     305338  235388   no     205633  50809.8  no     230202  119539   no     428522  296952   no    
0            228031  65483.5  no     301482  241177   no     190232  52469.9  no     209449  113201   no     436330  293669   no    
0            231058  69321.1  no     316791  258403   no     193938  55632.0  no     216697  123067   no     424083  294308   no    
0            232350  68903.9  no     328267  270876   no     185300  51730.5  no     211449  125368   no     441508  300286   no    
0            229445  72532.2  no     329919  271161   no     202556  54612.8  no     220546  130536   no     441125  303154   no    
0            229460  70990.7  no     333204  274696   no     190923  49517.9  no     211222  130017   no     435816  304464   no    
0            228421  69621.0  no     335424  275918   no     194265  52798.7  no     215460  124095   no     436819  292898   no    
0            227954  71262.4  no     329954  275496   no     200238  57006.4  no     227220  137742   no     429940  309391   no    
0            229833  70561.7  no     330471  269777   no     200171  47817.8  no     223863  136751   no     432158  293800   no    
0            227578  70448.0  no     334190  270257   no     192162  48841.9  no     207393  117928   no     442167  292869   no    
0            231074  70617.7  no     332878  256367   no     200365  52412.3  no     216726  127754   no     438954  291660   no    
0            223663  65332.4  no     311941  260597   no     195219  49600.9  no     203934  124207   no     425106  287417   no    
0            225973  68563.0  no     321801  262230   no     202127  51160.4  no     220735  104110   no     435404  290599   no    
0            221871  67221.9  no     319426  262796   no     188563  45383.4  no     218865  124083   no     414830  286309   no    
0            228853  70175.6  no     320441  255470   no     190457  45039.5  no     213914  112820   no     426938  300838   no    
0            222885  69000.5  no     329309  266395   no     209246  49688.7  no     215468  113901   no     428722  288979   no    
0            228203  70040.5  no     352414  279560   no     193212  53018.4  no     212668  124141   no     439320  309684   no    
0            228611  71537.8  no     340749  286314   no     195537  52680.4  no     215477  130764   no     440891  318816   no    
0            228480  69032.3  no     338715  279771   no     189958  55715.8  no     223941  133316   no     437903  317302   no    
0            228037  69108.7  no     357158  305189   no     193096  52517.8  no     220704  128252   no     450551  315588   no    
