ROI name    Roi_1                   Roi_2                   Roi_3                    
ROI area        0.14 cm2                   0.17 cm2                   0.15 cm2               
user units  mean     std dev  func  mean     std dev  func  mean      std dev  func  
0            679627  49249.9  no     728547  47445.6  no     1326793  339032   no    
0            515107  45582.8  no     583236  48996.8  no     1171448  300937   no    
0            322111  37786.6  no     378571  40507.2  no      918616  247380   no    
0            253249  39025.5  no     294455  36767.7  no      800311  225095   no    
0            162462  36997.7  no     212968  37132.2  no      671792  187729   no    
0            128780  29225.3  no     155077  31779.3  no      596875  177238   no    
0             90124  30023.0  no     119365  29020.7  no      523750  157210   no    
0             75757  23776.2  no      98135  26852.3  no      485230  146092   no    
0             55972  26780.4  no      71364  27801.7  no      435490  139257   no    
0             51320  21520.1  no      64527  23882.7  no      413645  135616   no    
0             42173  21455.3  no      45724  21100.2  no      378041  127438   no    
0             37121  20503.4  no      49230  23755.2  no      364356  124447   no    
