ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.15 cm2                 0.0637 cm2                 0.0923 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1214866  396354   no     1158949   84380   no     1976847  436387   no    
0            1006162  353242   no      942529  109649   no     1726130  412848   no    
0             741569  275169   no      656293  106261   no     1352142  357525   no    
0             615843  253261   no      540338  105360   no     1191353  338859   no    
0             481978  209102   no      404711   99118   no      978900  303804   no    
0             416398  190887   no      352792  106411   no      883044  287714   no    
0             347013  168339   no      274419  110199   no      756379  259078   no    
0             303307  161437   no      234449   92616   no      700236  251026   no    
0             260838  140417   no      189022   94174   no      615820  240399   no    
0             237806  134720   no      171343   87284   no      580523  224193   no    
0             205618  126627   no      146384   89081   no      520453  213195   no    
0             193071  122842   no      129119   80175   no      496321  199616   no    
