ROI name    Roi_1                   Roi_2                   Roi_3                    
ROI area       0.082 cm2                   0.16 cm2                   0.14 cm2               
user units  mean     std dev  func  mean     std dev  func  mean      std dev  func  
0            856311  88795.5  no     856758  107842   no     1180679  401533   no    
0            672162  70278.8  no     685133   98564   no     1057641  372591   no    
0            454581  50317.7  no     449092   83506   no      826713  302805   no    
0            379158  45741.8  no     334055   76505   no      706219  274185   no    
0            258997  41466.2  no     249359   65393   no      597025  229027   no    
0            225890  36403.8  no     183672   60983   no      518634  202779   no    
0            165776  32055.7  no     141053   51088   no      454536  176657   no    
0            145821  33264.2  no     114245   53457   no      414043  163700   no    
0            121316  31132.4  no      78777   48573   no      364058  153206   no    
0            106917  31366.0  no      77448   43420   no      344458  144593   no    
0             98045  24469.8  no      57417   40288   no      307721  130521   no    
0             88106  24891.5  no      56092   42691   no      296935  124765   no    
