ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area      0.0967 cm2                 0.0703 cm2                 0.0879 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1501304  354716   no     1425300  139641   no     2351786  645752   no    
0            1285880  302448   no     1164519  161036   no     2126656  643525   no    
0             974130  252507   no      852796  165401   no     1699279  540724   no    
0             836048  229472   no      725698  176225   no     1526095  493122   no    
0             674697  210139   no      545571  174003   no     1254418  429760   no    
0             599900  190753   no      485014  164141   no     1158882  398851   no    
0             505553  175835   no      383194  165008   no      987493  367977   no    
0             451973  163461   no      342269  149035   no      924723  345427   no    
0             404421  160566   no      277478  142913   no      824358  324440   no    
0             370799  151740   no      258641  127756   no      771589  309898   no    
0             330250  143349   no      226430  117823   no      703461  289584   no    
0             314866  142109   no      196402  113445   no      656143  277974   no    
