ROI name    Roi_1                   Roi_2                   Roi_3                    
ROI area        0.13 cm2                   0.11 cm2                   0.15 cm2               
user units  mean     std dev  func  mean     std dev  func  mean      std dev  func  
0            839170  285407   no     513909  131343   no     1095675  600441   no    
0            843024  282913   no     509692  118011   no     1089178  605567   no    
0            835405  298629   no     500778  116383   no     1086063  605605   no    
0            849776  296538   no     489277  108806   no     1087240  598552   no    
0            854147  321395   no     482060  112447   no     1085362  607841   no    
0            845728  314250   no     481880  107451   no     1083939  615100   no    
0            839911  320846   no     477046   90761   no     1081908  603903   no    
0            840190  338312   no     458432   95691   no     1068983  602081   no    
0            839619  334644   no     449084  110273   no     1072664  602594   no    
0            831439  339710   no     473103  108949   no     1066357  601223   no    
0            826882  344195   no     441626   85668   no     1057285  578535   no    
0            818212  350001   no     452878   94475   no     1046465  586759   no    
0            808975  341274   no     435206   98740   no     1031835  591481   no    
0            814842  342218   no     453461   94837   no     1037627  585859   no    
0            816922  330807   no     434361   90253   no     1023145  583348   no    
0            810526  329433   no     437730   96816   no     1045350  566079   no    
0            815794  320163   no     434164   89965   no     1032799  562476   no    
0            810866  308336   no     441077   94821   no     1033408  572660   no    
0            805325  291907   no     454449  103181   no     1040805  577289   no    
0            805056  282160   no     451557  103607   no     1037594  576068   no    
0            797758  293057   no     451890   97864   no     1043399  570980   no    
0            801783  284632   no     480733  114115   no     1037133  585106   no    
0            812804  264301   no     469119  108881   no     1046990  572086   no    
0            811516  276567   no     488917  117207   no     1050136  575960   no    
0            808976  275358   no     479454  125562   no     1048501  580577   no    
0            835897  284332   no     473023  116631   no     1038082  584588   no    
0            834807  290807   no     470549   91560   no     1054418  578218   no    
0            836491  300868   no     460641   99390   no     1070748  575630   no    
0            838808  321406   no     467582   94543   no     1081065  582076   no    
0            839728  326399   no     454315  103875   no     1070442  570331   no    
0            831214  330034   no     439194  108131   no     1066519  559960   no    
0            818501  333347   no     440069  108762   no     1062685  586024   no    
