ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.14 cm2                   0.10 cm2                   0.29 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1224564  131356   no     1130202  78939.4  no     1644497  68864.8  no    
0             958922  110931   no      806249  70902.9  no     1479038  72322.8  no    
0             638069   84854   no      547912  51415.9  no     1177361  68798.3  no    
0             504365   81136   no      401435  52646.6  no     1039140  71071.2  no    
0             354349   66012   no      263594  42381.1  no      830185  64108.9  no    
0             285399   59135   no      207054  40855.7  no      745210  65380.6  no    
0             211581   50151   no      123779  33549.6  no      593981  57715.1  no    
0             168473   47725   no       95290  26760.0  no      530545  51880.5  no    
0             131402   41602   no       78718  29127.7  no      436769  50442.7  no    
0             111889   40397   no       60627  27830.2  no      378866  45730.7  no    
0              87894   35325   no       58014  26477.1  no      319484  45064.0  no    
0              80783   29745   no       50923  23424.1  no      273640  41215.2  no    
