ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.19 cm2                 0.0938 cm2                   0.24 cm2                   0.17 cm2                   0.13 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1255446  106268   no     1085951  186586   no     1213597  109303   no     1052595  229319   no     1318223  122793   no    
0            1208319  112605   no     1068601  170273   no     1172579  106398   no     1024828  233471   no     1261921  118711   no    
0            1218103  108839   no     1066598  163392   no     1174721  108707   no     1026894  236519   no     1231308  103009   no    
0            1205962  109083   no     1068629  174047   no     1170996  109020   no     1016207  229703   no     1257866  127470   no    
0            1223013  106791   no     1070785  166528   no     1185178  107570   no     1021619  230647   no     1253981  116673   no    
0            1220135  109624   no     1077253  151696   no     1179849  108391   no     1009538  213719   no     1224179  115950   no    
0            1219716  108036   no     1059782  179564   no     1167354  107044   no     1013536  232507   no     1263372  119432   no    
0            1214998  115987   no     1064387  166917   no     1173876  108211   no     1024051  226984   no     1248277  113282   no    
0            1213615  107447   no     1072596  179235   no     1186914  109552   no     1003923  222155   no     1253545  120814   no    
0            1046908   98861   no      919380  154222   no      979024   94081   no      864651  200527   no     1121892  103280   no    
0            1031942   98902   no      922157  159726   no      989027   93299   no      851281  184166   no     1108180  106098   no    
0            1040320   94119   no      911512  146078   no      988392   91445   no      850406  192918   no     1111244  102543   no    
0            1026771   94267   no      909687  147032   no      987406   98049   no      850840  184335   no     1096083  101987   no    
0            1018870   97808   no      894814  136904   no      990050   98577   no      858717  189778   no     1106365  106175   no    
0            1018902  101171   no      904869  139050   no      984167   93754   no      851629  200368   no     1092604  104816   no    
0            1024768   95138   no      911354  148930   no      978887   88832   no      852001  192164   no     1106562  110472   no    
0            1021338   92189   no      918752  151107   no      995684   91837   no      840074  190240   no     1098255   97621   no    
0            1024681  102736   no      893495  150406   no      976778   88450   no      846027  181816   no     1087207   97303   no    
0            1005982   99840   no      902315  152383   no      962230   84394   no      832547  194164   no     1092233  101824   no    
0            1018089   96690   no      893339  137574   no      972671   96634   no      829702  193805   no     1070494   98771   no    
0            1001210   97391   no      892514  152876   no      961740   84222   no      835002  185880   no     1093290  105708   no    
0             999208   98765   no      887146  142773   no      959962   83377   no      826808  185571   no     1055160   88902   no    
0            1007130   96079   no      888062  137272   no      944337   89815   no      824821  182127   no     1081029  106289   no    
0             988289   90793   no      873786  144044   no      947206   87158   no      816699  186560   no     1075153   99579   no    
0             975900   91170   no      879411  141223   no      941973   91515   no      812317  184214   no     1068506   90636   no    
0             976128   95963   no      872912  144987   no      936439   87258   no      809547  189535   no     1058439   96804   no    
0             982110   92319   no      872966  144138   no      939010   91204   no      805614  182152   no     1056388   98172   no    
0             977783   94568   no      860491  126870   no      944491   82643   no      800196  185508   no     1030763   94475   no    
0             971176   96070   no      865525  145468   no      916189   93737   no      797373  182145   no     1039180   95914   no    
0             960226  108349   no      857255  145429   no      910559   93077   no      788724  181817   no     1034617   94355   no    
0             944916   95509   no      849481  149781   no      914989   85381   no      783299  178761   no     1015988   88667   no    
0             940298   97279   no      849133  130601   no      913322   85220   no      776579  186209   no     1014162   91968   no    
0             935423   87665   no      823517  132315   no      914843   90778   no      769998  187473   no      998774   83671   no    
0             922021   86339   no      822981  138355   no      897568   88173   no      761577  173485   no      987084   91973   no    
0             922612   95202   no      815203  148998   no      895684   92090   no      748797  176043   no      973297   88702   no    
0             899833   92351   no      812823  145087   no      869946   80145   no      754265  179399   no      970845   90501   no    
0             897698   81746   no      814985  136472   no      877484   82793   no      729792  174167   no      952316   80855   no    
0             886596   89794   no      800564  132626   no      848967   77064   no      731706  174958   no      940596   82035   no    
0             871765   98696   no      789337  125999   no      845050   79848   no      720920  172796   no      940248   76205   no    
0             861745   89979   no      778609  124109   no      837820   82482   no      698636  177153   no      929599   83648   no    
0             847349   83332   no      776450  122139   no      824292   77893   no      697305  165102   no      913614   81046   no    
0             851596   88823   no      764082  129465   no      818672   84995   no      701909  169769   no      900811   77643   no    
