ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.19 cm2                 0.0938 cm2                   0.24 cm2                   0.17 cm2                   0.13 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            497460  50982.8  no     519926  115616   no     455274  43990.3  no     402181  69915.2  no     745043  80526.1  no    
0            385435  48961.2  no     392909   93381   no     363541  41085.1  no     308085  53222.5  no     647157  62665.4  no    
0            246157  41812.0  no     247580   63993   no     226402  34830.3  no     185223  35639.7  no     521407  54140.7  no    
0            186574  35215.8  no     188746   54892   no     185405  30876.3  no     143098  29737.3  no     451082  47854.2  no    
0            128189  30910.6  no     122645   41346   no     117503  28471.1  no      90109  21765.8  no     369401  39284.6  no    
0            102118  30728.7  no      97169   36063   no      95258  23299.4  no      73674  20230.0  no     335909  42584.7  no    
0             70037  27658.1  no      67218   30526   no      69495  25339.9  no      48920  17636.1  no     271014  35543.9  no    
0             58397  26077.1  no      56412   27027   no      54890  22644.3  no      38171  15724.6  no     238938  33541.6  no    
0             44132  23994.7  no      45123   23984   no      42471  21247.4  no      29353  15050.1  no     198152  29875.5  no    
0             39361  21943.0  no      40122   21016   no      36615  18664.4  no      29016  14662.5  no     180077  30391.8  no    
0             31131  17920.6  no      28080   18989   no      33295  18614.5  no      23176  11279.5  no     148706  26462.4  no    
0             29277  20170.7  no      31443   19866   no      29096  15014.6  no      23778  13282.3  no     132332  29152.9  no    
