ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.45 cm2                   0.24 cm2                   0.24 cm2                 0.0938 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1139698  269274   no     1237001  137876   no     1218701  124535   no     1080365  228665   no    
0            1084825  257516   no     1189734  132819   no     1184620  115904   no      998082  233201   no    
0            1080469  258830   no     1211644  131470   no     1179275  116336   no     1036769  221228   no    
0            1084646  263204   no     1196656  136895   no     1180427  121819   no     1037250  227566   no    
0            1076076  260489   no     1181026  132855   no     1177535  128632   no     1038557  207800   no    
0            1074967  255959   no     1179589  131289   no     1173061  114605   no     1019267  218028   no    
0            1071533  254508   no     1178866  130314   no     1176437  123876   no     1013710  217681   no    
0            1071896  255332   no     1173257  129643   no     1169300  121228   no     1023288  216217   no    
0            1071359  259862   no     1188349  126960   no     1175730  114556   no     1046125  211788   no    
0             953593  216915   no     1012206  114352   no     1005638  108031   no      879975  187367   no    
0             953099  217799   no      993573  112642   no     1006277  101464   no      863085  194230   no    
0             948028  217055   no     1005174  107264   no      999836  106018   no      883745  190740   no    
0             947717  221523   no      999975  101076   no      991290  108456   no      863858  185608   no    
0             945097  216954   no     1001132  108528   no      999212  100789   no      874088  192960   no    
0             942737  215232   no      987639  109865   no      994858  100007   no      868904  186854   no    
0             938284  214040   no      981669  114529   no      989524  105195   no      875884  184920   no    
0             939641  217153   no      983461  101932   no      987987  104409   no      863714  166141   no    
0             936691  212405   no      980301  106545   no      984005   95794   no      859550  175018   no    
0             935977  212069   no      977602  103380   no      985230   97942   no      839121  193035   no    
0             932251  212800   no      977561  110548   no      977024   99264   no      839164  175840   no    
0             926610  213509   no      972535  110058   no      982635  103561   no      836425  181573   no    
0             927238  209136   no      967444  118436   no      974888  102004   no      846638  184403   no    
0             928200  211588   no      965491  110573   no      964192   98996   no      848047  175504   no    
0             926016  207613   no      962317  106483   no      968210   93907   no      814526  191799   no    
0             923281  208281   no      947762  108656   no      964279   97332   no      820036  178261   no    
0             921420  205803   no      951736  101803   no      960378   97366   no      815099  189068   no    
0             921449  208486   no      947024  105373   no      951256   96813   no      831794  182515   no    
0             914339  204581   no      938090  104281   no      944506  105072   no      812615  170834   no    
0             911485  205859   no      931597  109400   no      946485   96763   no      808288  179853   no    
0             911660  197758   no      922837  101758   no      934396  102999   no      793913  172142   no    
0             904825  198043   no      910035   97815   no      929834   92478   no      791193  179084   no    
0             905010  199025   no      908656  109536   no      930445  100717   no      794170  153689   no    
0             906320  198507   no      891135  110345   no      916253   93339   no      782729  164471   no    
0             894709  198555   no      885712  101594   no      912891   87131   no      771926  169863   no    
0             889652  194535   no      874835  105880   no      910192   94715   no      760180  164235   no    
0             887289  194872   no      874282  101129   no      907946   90827   no      761666  176819   no    
0             883084  194360   no      864411  101444   no      895438  101605   no      750931  148787   no    
0             878993  192538   no      850743  103300   no      883601   93189   no      742914  170533   no    
0             869312  186315   no      851760  101240   no      887063   93642   no      727374  170317   no    
0             867633  193166   no      836790  101390   no      869560   94354   no      701978  164782   no    
0             866606  183416   no      834392  103200   no      855774   92449   no      707322  169428   no    
0             856828  184281   no      814930   99371   no      843574   92223   no      717118  140496   no    
0             855901  186669   no      805548   95703   no      843442   81832   no      723584  144929   no    
0             849780  180676   no      800857   98995   no      827345   90157   no      730414  149851   no    
0             835021  178766   no      789331   96848   no      824906   83583   no      702377  146743   no    
0             829610  175540   no      797973   97266   no      812203   88156   no      702389  150503   no    
0             822808  175355   no      800942   96712   no      805445   86398   no      674070  143037   no    
0             816958  167458   no      781078   97488   no      798046   84552   no      677873  139424   no    
0             811755  167168   no      772494   99807   no      797871   79961   no      653241  141237   no    
0             806234  154097   no      759247  101559   no      779904   80607   no      637742  137194   no    
0             803199  159522   no      744734   98276   no      780777   82430   no      621544  147727   no    
0             795436  161389   no      707400   98438   no      771075   86146   no      600212  143444   no    
0             791430  160478   no      680314  102266   no      770330   77159   no      560716  132902   no    
0             781938  159558   no      674171  106559   no      757265   77500   no      534086  127697   no    
0             783361  159903   no      634196  114540   no      741468   81497   no      517893  124569   no    
0             770198  156293   no      590345  123095   no      730057   81341   no      478384  115279   no    
0             768497  148983   no      543970  135617   no      705302   82510   no      430517  100346   no    
0             762260  148960   no      501930  156987   no      685163   86713   no      399577   97185   no    
0             751062  141053   no      432559  166272   no      658914   80259   no      341968   97438   no    
0             742277  148192   no      362489  168766   no      625232   85500   no      302299  100245   no    
0             729319  141259   no      299522  168281   no      585415   89754   no      273048  113906   no    
0             701338  143658   no      246988  138414   no      552584   88105   no      238288  144284   no    
0             689832  142815   no      205738  106750   no      501225   91621   no      230915  159726   no    
0             665003  137673   no      189726   94397   no      444544  104710   no      218913  151178   no    
0             627016  140449   no      192511  101898   no      376880  113682   no      232917  163365   no    
0             596739  144890   no      216629  143931   no      296817  112138   no      222987  126838   no    
0             542028  147525   no      258084  174644   no      225827  100114   no      258026  111435   no    
0             483913  160410   no      319426  193176   no      167484   95534   no      286284   94542   no    
0             416850  175494   no      382562  188135   no      130417   76397   no      333342   98637   no    
0             347092  178863   no      461602  185229   no      130964   68105   no      379313  102729   no    
0             284756  181230   no      514686  169492   no      156018   78614   no      412556  107864   no    
0             238032  169567   no      570486  142628   no      197235   87682   no      440404  109232   no    
0             201657  154206   no      614513  118596   no      264324   95598   no      469416  116617   no    
0             195845  135663   no      657699  109092   no      348513   99645   no      501641  116287   no    
0             215815  126077   no      682164   99086   no      419971   97721   no      507116  114956   no    
0             257636  134534   no      712179   98381   no      491148  101739   no      499642  116123   no    
0             306609  147483   no      724064   98895   no      550470   94921   no      530274  117343   no    
0             369493  162860   no      733037   93167   no      594185   92253   no      533701  120383   no    
0             418657  182195   no      755196  101345   no      631030   96956   no      553640  124025   no    
0             478179  196334   no      778262  112628   no      657106   91127   no      546438  128915   no    
0             526896  200264   no      794919  103361   no      676344   89637   no      564864  135842   no    
0             577600  196661   no      802496  105488   no      689258   90625   no      554537  116544   no    
0             614557  186291   no      823805  104886   no      713829   91718   no      588723  138810   no    
0             639723  183254   no      823420   98770   no      733330   91286   no      583624  126073   no    
0             675480  162710   no      848513  105499   no      740540   95676   no      592657  152674   no    
0             699762  157109   no      848690  111748   no      749938   96440   no      597412  132987   no    
0             720363  152234   no      864914  107207   no      778030  102175   no      620026  129288   no    
0             735826  149808   no      867677  114813   no      791120  105848   no      602362  139960   no    
0             761975  152748   no      884674  105485   no      805001  109332   no      612114  140045   no    
0             776921  143672   no      899710  108919   no      817961  107849   no      630205  144900   no    
0             796328  146642   no      911997  110213   no      833303  100416   no      629772  150526   no    
0             805745  156597   no      916135  100939   no      841933  101810   no      645087  137509   no    
0             821066  153672   no      924091  101352   no      849330  107349   no      650374  155380   no    
0             825893  147153   no      929468  110284   no      862975  106088   no      635601  146359   no    
0             836867  148048   no      947993  104100   no      871711  118537   no      656067  156333   no    
0             845236  148023   no      955526   96815   no      886569  115173   no      659693  150873   no    
0             855697  151329   no      964652  100346   no      895646  106853   no      678894  161542   no    
0             871825  153221   no      965946   97773   no      903490  121415   no      690256  165649   no    
0             873119  152298   no      975693  107186   no      906356  118715   no      696051  161367   no    
0             883532  158921   no      970742  112057   no      925330  118514   no      679450  141600   no    
0             897109  158672   no      977990  110297   no      928773  119295   no      698438  168739   no    
0             905488  161316   no      991134  105485   no      934695  117970   no      681695  155135   no    
0             911488  164482   no     1005468  110159   no      940322  111797   no      705821  167874   no    
0             919550  161844   no      990353  105576   no      946192  116164   no      703214  165817   no    
0             925110  165579   no      995653  108806   no      947902  109373   no      705274  152830   no    
