ROI name    Roi_1                   Roi_2                    Roi_3                    
ROI area        0.16 cm2                   0.10 cm2                   0.33 cm2               
user units  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            989623  187749   no     1124225  168355   no     1552432  74420.8  no    
0            784095  158882   no      843521  129905   no     1389475  76601.1  no    
0            535968  125792   no      544328   85784   no     1095248  76653.7  no    
0            432935  115994   no      411181   68950   no      968753  68504.9  no    
0            310806   89485   no      259526   56678   no      767519  70966.5  no    
0            264004   93317   no      196628   49102   no      689540  66190.4  no    
0            198190   78856   no      147632   40463   no      550619  60251.3  no    
0            169791   74215   no      103002   38240   no      484737  55868.1  no    
0            130646   65241   no       79855   35792   no      399827  52372.5  no    
0            116175   63880   no       52231   30463   no      342246  47822.5  no    
0             99034   49240   no       56030   30508   no      292064  42929.6  no    
0             88116   45822   no       40745   19461   no      251484  39923.7  no    
