ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.18 cm2                 0.0747 cm2                   0.28 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1620980  249532   no      652039  296301   no     1822028  372231   no    
0            1587075  241883   no      655460  271045   no     1710069  346054   no    
0            1547142  237847   no      707369  299199   no     1736713  345450   no    
0            1555010  227066   no      703633  284313   no     1744096  338392   no    
0            1565921  235235   no      648155  262938   no     1720817  348206   no    
0            1560735  233837   no      693440  249182   no     1733925  348631   no    
0            1552187  237816   no      665590  277888   no     1739559  345814   no    
0            1549489  238415   no      717881  292368   no     1739308  347436   no    
0            1553913  232198   no      684582  262207   no     1726517  346986   no    
0            1339337  196459   no      718468  238604   no     1564693  314247   no    
0            1338428  209286   no      729600  246681   no     1547508  310189   no    
0            1340299  203289   no      752365  259547   no     1551682  301087   no    
0            1335867  205459   no      729921  239338   no     1548828  307364   no    
0            1339466  202806   no      739173  253829   no     1539002  295709   no    
0            1327636  200203   no      745675  254266   no     1546845  306423   no    
0            1329624  211038   no      747799  244735   no     1527718  298177   no    
0            1327188  202456   no      740475  246816   no     1532896  304111   no    
0            1317507  195875   no      760747  237259   no     1526565  306185   no    
0            1317748  200529   no      747660  231256   no     1526307  292311   no    
0            1316737  192155   no      757255  265722   no     1519495  293153   no    
0            1305967  206254   no      782292  246437   no     1518143  291039   no    
0            1314673  204250   no      775272  257042   no     1515154  294685   no    
0            1318569  206157   no      755230  242005   no     1493018  283151   no    
0            1315914  201385   no      744310  227611   no     1482991  291277   no    
0            1296393  200617   no      769110  256258   no     1505028  277428   no    
0            1289367  204983   no      779589  242818   no     1492953  278879   no    
0            1276701  208959   no      801953  241135   no     1496769  283008   no    
0            1277548  204790   no      760270  227758   no     1465833  274750   no    
0            1277429  197747   no      749455  242876   no     1470010  279846   no    
0            1266043  196085   no      796324  265524   no     1470227  268941   no    
0            1253926  197643   no      781459  241890   no     1456573  266129   no    
0            1248886  197812   no      748608  222852   no     1436363  268813   no    
0            1249024  197937   no      778289  244642   no     1451446  271729   no    
0            1227694  188661   no      770576  227682   no     1435020  267129   no    
0            1238867  184740   no      718749  204289   no     1409788  265581   no    
0            1215052  188804   no      724742  234412   no     1418470  273619   no    
0            1200537  198874   no      691094  179768   no     1390261  261201   no    
0            1195070  181945   no      616670  189329   no     1395863  261491   no    
0            1183732  183192   no      483207  152370   no     1376996  248939   no    
0            1168345  186738   no      266842  117368   no     1351673  251737   no    
0            1166057  189392   no      200817  155532   no     1344903  239596   no    
0            1156437  181071   no      321250  244802   no     1323162  249113   no    
0            1130736  180340   no      530172  268242   no     1302860  244235   no    
0            1140206  176049   no      691307  262443   no     1293596  251567   no    
0            1125933  164545   no      834652  265802   no     1271850  254311   no    
0            1112774  179900   no      864123  260534   no     1259250  252346   no    
0            1101566  178628   no      872231  243628   no     1246781  252810   no    
0            1083727  176273   no      855878  238103   no     1250970  244854   no    
0            1075074  171333   no      825540  222055   no     1242996  245545   no    
0            1059792  157884   no      824219  210225   no     1251556  247479   no    
0            1060136  169394   no      857248  216553   no     1243738  224940   no    
0            1033205  170409   no      852759  214084   no     1246002  210256   no    
0            1020942  168377   no      866787  225856   no     1240821  196996   no    
0            1017099  162869   no      884179  216479   no     1228668  200731   no    
0             989740  162248   no      890571  223563   no     1225649  204918   no    
0             972372  164027   no      898729  222226   no     1208916  203869   no    
0             943527  158387   no      917436  196889   no     1188543  207327   no    
0             917267  161675   no      951410  200616   no     1163204  202550   no    
0             871168  161559   no      989423  205208   no     1145752  203849   no    
0             818358  176376   no     1001524  184948   no     1113457  212069   no    
0             750288  194502   no     1001358  199709   no     1090313  203410   no    
0             692090  210032   no      991453  182759   no     1038706  202574   no    
0             606372  248553   no      951833  181004   no      978536  202535   no    
0             515335  271637   no      940323  195543   no      902407  214402   no    
0             426360  294505   no      876391  169596   no      804901  220093   no    
0             358729  298540   no      813540  182074   no      668283  237494   no    
0             318421  271142   no      809117  208242   no      534416  246721   no    
0             312050  243760   no      840079  209969   no      425717  222409   no    
0             343910  208994   no      825824  203135   no      331919  194462   no    
0             398484  174447   no      819766  229688   no      300701  174602   no    
0             461485  161442   no      814709  208593   no      332247  205056   no    
0             512164  179221   no      787640  227211   no      416441  228900   no    
0             580084  222239   no      773624  219292   no      526160  244042   no    
0             623147  263971   no      800299  216878   no      633259  237384   no    
0             672907  285978   no      775396  222665   no      757186  236395   no    
0             723719  298657   no      810236  211658   no      864979  235997   no    
0             762404  283653   no      811663  218541   no      949150  234768   no    
0             793235  269625   no      752485  224713   no     1020393  234140   no    
0             838461  250202   no      782386  242124   no     1064857  237385   no    
0             887750  226166   no      756589  216499   no     1085964  240297   no    
0             920698  202555   no      760193  230557   no     1123461  237361   no    
0             950753  199626   no      755380  233473   no     1133113  238220   no    
0             982992  193457   no      759393  243921   no     1165179  242563   no    
0            1024991  184354   no      762375  218945   no     1171719  243514   no    
0            1031207  183762   no      745314  223538   no     1187683  252490   no    
0            1048467  187941   no      800548  240558   no     1231223  240972   no    
0            1068785  183966   no      774631  230205   no     1239463  250429   no    
0            1093076  193816   no      747843  234714   no     1239836  251177   no    
0            1107060  172177   no      780516  233833   no     1266570  243723   no    
0            1111878  180325   no      746131  249465   no     1272630  253607   no    
0            1126463  183637   no      729820  223851   no     1279398  255960   no    
0            1145491  185007   no      729067  226270   no     1300433  261566   no    
0            1156057  188168   no      767049  255335   no     1309362  264442   no    
0            1170886  191269   no      751260  263237   no     1322941  262659   no    
0            1178585  189730   no      782780  262502   no     1345220  265263   no    
0            1194561  190767   no      754519  258835   no     1367268  273420   no    
0            1208299  199211   no      784378  260352   no     1382530  277130   no    
0            1217354  206201   no      771841  256214   no     1389814  280361   no    
0            1228820  198536   no      753487  244011   no     1407242  279952   no    
0            1258976  204246   no      736062  259169   no     1400338  283192   no    
0            1239599  198806   no      773608  258697   no     1427625  284081   no    
0            1253827  190147   no      736956  243005   no     1445285  298609   no    
0            1262893  202397   no      746236  243024   no     1450725  285089   no    
0            1274695  205740   no      759670  246491   no     1458462  291211   no    
0            1276550  205402   no      729672  245744   no     1469234  297651   no    
0            1286171  204699   no      760566  232252   no     1477053  295651   no    
0            1290453  205251   no      771780  252411   no     1479486  296460   no    
0            1292440  205006   no      790700  270537   no     1484788  297033   no    
0            1294486  207901   no      766653  234908   no     1484850  298622   no    
0            1315394  210036   no      737273  243243   no     1479832  299171   no    
