ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.18 cm2                   0.11 cm2                   0.26 cm2                   0.17 cm2                   0.13 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            700108  226073   no     619100  127218   no     477100  81359.6  no     459870  35803.7  no     699951  97604.4  no    
0            583223  217893   no     491326  107885   no     391831  81649.9  no     359666  31253.1  no     606939  82943.5  no    
0            435618  193995   no     343707   89951   no     237918  65500.3  no     213903  21374.6  no     494883  80121.7  no    
0            362902  179417   no     279405   80248   no     198612  59712.7  no     167957  21899.2  no     434065  69495.5  no    
0            284630  162893   no     204472   73294   no     131003  53261.7  no     107289  21769.6  no     351577  55312.2  no    
0            252726  147987   no     172997   67539   no     104089  50924.1  no      85668  19357.5  no     308037  53297.3  no    
0            200073  136266   no     137040   61967   no      77824  42577.4  no      59732  19544.3  no     254344  45964.8  no    
0            190634  128346   no     121072   55943   no      64040  39579.5  no      49308  18609.7  no     229502  44487.5  no    
0            157274  118893   no      98841   51947   no      49466  37077.0  no      39312  17977.7  no     187104  38037.6  no    
0            151758  110475   no      97174   50131   no      44042  33002.0  no      33997  16366.1  no     167703  38387.7  no    
0            135722  103206   no      81314   43464   no      39173  30122.1  no      26656  15294.7  no     141948  33141.8  no    
0            127302   97428   no      77292   43268   no      34005  28927.4  no      26775  14098.9  no     116095  29420.4  no    
