ROI name    Roi_1                    Roi_2                   Roi_3                    
ROI area        0.25 cm2                 0.0835 cm2                   0.31 cm2               
user units  mean      std dev  func  mean     std dev  func  mean      std dev  func  
0            1008594  221814   no     948165  159759   no     1544027  62912.3  no    
0             806913  198277   no     690575  112140   no     1380668  66307.7  no    
0             547063  154673   no     464409   82069   no     1094233  68281.2  no    
0             446052  142305   no     351588   58008   no      968831  67363.6  no    
0             326264  124620   no     231574   49646   no      771498  65090.5  no    
0             271600  112667   no     210843   43173   no      690002  62752.4  no    
0             211335  103924   no     117607   40459   no      552057  59800.6  no    
0             183173   92723   no     136953   36856   no      494034  58033.9  no    
0             148135   83073   no      82707   33599   no      401229  53373.0  no    
0             128703   77418   no      88859   38213   no      349478  50170.3  no    
0             106854   63164   no      65993   30639   no      294937  47671.9  no    
0             100877   62841   no      51311   23294   no      256074  43314.0  no    
