ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.29 cm2                 0.0967 cm2                   0.38 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            326983  103003   no     292525  108783   no     532032  63512.2  no    
0            328986  103067   no     288090   87196   no     530440  63578.9  no    
0            317444  102855   no     304408  100059   no     527272  66726.7  no    
0            318907  101828   no     296176  102643   no     523505  67440.6  no    
0            311530   99355   no     299061   86137   no     529892  66215.9  no    
0            312022  103545   no     292332  105336   no     527669  60910.8  no    
0            316213  101524   no     296780  104633   no     531815  57327.8  no    
0            306831  105369   no     292439   96246   no     520840  60280.5  no    
0            304218   96987   no     290221  101712   no     519656  57508.9  no    
0            305228   92377   no     290520   98595   no     516773  57138.4  no    
0            315462   99236   no     288552  105564   no     522445  55766.0  no    
0            305264  104151   no     283754   90415   no     522245  49522.8  no    
0            308083  103725   no     280434   99194   no     525184  52961.5  no    
0            309820  103144   no     305415   99767   no     517188  45250.1  no    
0            309637  115926   no     267817   85425   no     523550  48321.1  no    
0            309221  118039   no     255262  102698   no     519548  43125.1  no    
0            303928  113564   no     286537   92794   no     521977  44051.7  no    
0            306090  118852   no     287896   86021   no     527197  42112.1  no    
0            308924  111949   no     292189   96330   no     524962  46814.4  no    
0            309539  113816   no     292488   89938   no     527421  39305.7  no    
0            317037  109972   no     282597   89572   no     526684  45207.2  no    
0            310692  102722   no     295800   99402   no     524277  48691.6  no    
0            309962   97355   no     294003   94753   no     518981  45464.7  no    
0            307093  106536   no     290347   92818   no     518884  44325.8  no    
0            304782  107354   no     281842   95236   no     521107  40957.2  no    
0            310446  103559   no     294213   86700   no     520613  46169.1  no    
0            306730  107032   no     288645   91006   no     520797  48261.6  no    
0            304123  108082   no     279679   98630   no     525884  46798.7  no    
0            308562  101443   no     283364   95234   no     523448  44432.4  no    
0            312038   99061   no     273836   82179   no     524601  47450.5  no    
0            304442   94357   no     291393   96131   no     515432  48480.8  no    
0            313089   97903   no     276931   93752   no     519439  43726.2  no    
