ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.24 cm2                   0.13 cm2                   0.27 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            882819  88236.2  no     566519  72828.6  no     585747  78675.7  no    
0            804672  86662.4  no     435918  58922.4  no     452836  64875.3  no    
0            635963  77548.9  no     272853  40802.1  no     282774  48125.7  no    
0            559621  75545.3  no     214867  32570.9  no     223982  42143.4  no    
0            452743  70830.3  no     135120  28410.4  no     136748  33653.0  no    
0            395232  66445.6  no     110900  22560.0  no     118473  30115.1  no    
0            329628  61382.2  no      72717  19109.1  no      78048  28480.4  no    
0            287283  54538.7  no      60416  16794.7  no      64425  23294.5  no    
0            238452  54434.9  no      45538  14099.3  no      46048  21979.6  no    
0            210338  48541.9  no      38832  15421.2  no      39747  20425.7  no    
0            174712  48857.5  no      28533  13365.7  no      30913  19160.5  no    
0            157909  43775.1  no      29105  13847.5  no      28897  17032.5  no    
