ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.18 cm2                 0.0791 cm2                   0.34 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1208359  148273   no     1203834  261696   no     1777122  156067   no    
0             980755  152152   no      863954  199810   no     1615318  161988   no    
0             684970  145859   no      570009  139780   no     1275317  147241   no    
0             563632  140830   no      430596  105628   no     1130058  141597   no    
0             422130  142028   no      283729   80664   no      901751  127740   no    
0             349861  137089   no      228531   77592   no      803938  121892   no    
0             277698  132264   no      161477   57384   no      647689  111740   no    
0             240695  123105   no      136930   53525   no      573529  108836   no    
0             192617  114970   no      104152   41954   no      469753  104288   no    
0             175582  111897   no       74456   44439   no      412887   94402   no    
0             144315  104497   no       83869   43124   no      347861   90095   no    
0             129292  100571   no       58118   31449   no      299461   84079   no    
