ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.25 cm2                   0.12 cm2                   0.42 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            462683  120617   no     393216  112102   no     680872  174678   no    
0            460333  115862   no     394363  111702   no     674014  180521   no    
0            462393  115357   no     395240  117832   no     671342  177214   no    
0            450650  125480   no     375757  111214   no     680625  174291   no    
0            445892  125632   no     378673   98212   no     673662  175436   no    
0            444405  123781   no     395732  103438   no     676152  174612   no    
0            443588  122064   no     377114  105712   no     668729  179603   no    
0            439770  125917   no     379537   99613   no     668686  173692   no    
0            434087  117100   no     379930  105611   no     672998  166649   no    
0            438708  116370   no     374730  101247   no     664794  174103   no    
0            434399  127830   no     389425  120002   no     665389  169116   no    
0            435913  118053   no     362969  120931   no     663526  165120   no    
0            441981  116583   no     402813  121901   no     661188  160602   no    
0            432407  115847   no     365406  132533   no     658889  151160   no    
0            433735  119953   no     405842  148110   no     662281  140224   no    
0            434098  132829   no     425831  162424   no     655399  138729   no    
0            436427  124164   no     407755  168992   no     653988  133027   no    
0            430786  123808   no     425500  172021   no     655542  130650   no    
0            426275  123101   no     416077  180006   no     654370  135077   no    
0            431359  121103   no     441222  172914   no     656189  135496   no    
0            427575  118092   no     430019  166591   no     658099  139809   no    
0            432623  119733   no     415181  169539   no     657506  142792   no    
0            430476  121795   no     414479  168153   no     651484  147864   no    
0            426103  117734   no     401888  167623   no     655982  145786   no    
0            431227  120487   no     411827  154935   no     658417  146100   no    
0            427802  120315   no     392294  148215   no     659181  149804   no    
0            427170  120598   no     398560  151341   no     657523  149299   no    
0            425690  124432   no     401038  128307   no     659653  160193   no    
0            435879  118598   no     403396  143011   no     658249  155723   no    
0            429336  117967   no     395555  144995   no     655212  159672   no    
0            432119  120866   no     409086  135258   no     653334  159844   no    
0            432549  119749   no     423933  141920   no     661418  153121   no    
