ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.18 cm2                   0.16 cm2                   0.19 cm2                 0.0894 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            540502  110499   no     485973  47297.5  no     542610  52479.1  no     534593  50819.6  no    
0            406111   88797   no     367430  35705.6  no     419831  43293.7  no     409033  42277.1  no    
0            260232   57562   no     217214  28469.0  no     256364  35795.6  no     250464  32091.2  no    
0            197601   49555   no     164387  24137.1  no     202696  35763.7  no     199205  29534.2  no    
0            134308   39428   no     102953  21749.0  no     128234  32903.9  no     121009  22639.3  no    
0            107712   35594   no      81662  18526.9  no     106945  30084.4  no     105721  24225.9  no    
0             77006   29051   no      53883  17947.9  no      71883  27060.3  no      57270  21272.3  no    
0             63996   29882   no      43792  14956.9  no      60623  25773.7  no      53504  20753.0  no    
0             46317   26130   no      29322  14688.4  no      44556  24998.4  no      47094  17422.7  no    
0             42522   23700   no      27701  12717.0  no      39161  22617.2  no      31546  17458.7  no    
0             33197   23048   no      22841  12191.3  no      30718  18179.5  no      28364  13974.7  no    
0             32815   20798   no      21394  12341.6  no      29163  18783.7  no      26971  13811.8  no    
