ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.22 cm2                 0.0923 cm2                   0.19 cm2                   0.18 cm2                 0.0732 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            495700  85773.3  no     446274  26940.9  no     441198  37837.6  no     334844  140947   no     578389   92970   no    
0            399822  90941.2  no     344618  25982.5  no     345199  34660.4  no     265211  108046   no     495741  102735   no    
0            270587  81845.2  no     209877  22145.0  no     220275  26945.3  no     175259   69492   no     365193  104722   no    
0            220591  78476.4  no     163469  18882.8  no     180930  26627.5  no     147941   56962   no     313659  106183   no    
0            157357  69333.1  no     103344  17646.2  no     118745  22957.8  no     101319   40878   no     247666  108171   no    
0            132267  66598.1  no      82859  18050.2  no      95182  21642.9  no      85556   34650   no     217034  104412   no    
0             98365  59239.8  no      56635  16674.8  no      67770  18095.1  no      64245   29325   no     182485   97457   no    
0             83911  55642.4  no      47831  15852.0  no      58731  17793.9  no      57280   24543   no     159337   92254   no    
0             68132  49508.2  no      34483  13824.0  no      41685  15482.6  no      45036   24155   no     137717   89057   no    
0             58277  46447.7  no      30417  11976.7  no      35661  16663.0  no      42456   21384   no     124286   79897   no    
0             47536  46268.8  no      25214  12130.8  no      30523  15394.2  no      35318   19039   no     106223   78350   no    
0             43500  39630.0  no      25891  12792.6  no      27943  15549.5  no      31488   18791   no      97842   72276   no    
