ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.22 cm2                 0.0967 cm2                   0.19 cm2                   0.18 cm2                 0.0732 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1304435  172132   no     1221949   80893   no     1238031  116253   no     1159108  242277   no     1392743  103530   no    
0            1246696  169945   no     1174821   87294   no     1197368  106726   no     1113797  216721   no     1330413   93319   no    
0            1249986  177004   no     1177475   85245   no     1200840  112084   no     1115029  234270   no     1332576   87154   no    
0            1241057  177329   no     1174932   88431   no     1188686  115257   no     1122651  236068   no     1338374   96614   no    
0            1240624  174397   no     1172386   88839   no     1192163  103761   no     1121630  234866   no     1332243   91253   no    
0            1243575  180829   no     1180035   76220   no     1188491  112984   no     1093993  234090   no     1323124   91896   no    
0            1239022  179201   no     1165008   84245   no     1184273  104334   no     1108956  235846   no     1335066   88342   no    
0            1240203  170831   no     1168698   77291   no     1196399  111650   no     1111436  230405   no     1338527   87702   no    
0            1232962  179342   no     1160030   88053   no     1189026  105115   no     1113304  225681   no     1318892   85457   no    
0            1096838  152610   no     1012950   75426   no     1016281  106393   no      956648  192666   no     1227316   86784   no    
0            1088377  147326   no     1022666   80579   no     1013690  107070   no      945631  198361   no     1180809   86492   no    
0            1082875  147739   no     1017878   81392   no     1016306   98903   no      945316  190070   no     1206505   85606   no    
0            1074131  144940   no     1006243   74671   no     1011940   93790   no      955112  197412   no     1199632   82159   no    
0            1078621  148955   no     1003248   80856   no     1006314  100010   no      932583  191579   no     1181744   66317   no    
0            1082906  146796   no     1002137   81188   no     1009909  101061   no      949697  198245   no     1206542   84253   no    
0            1079626  147824   no     1012135   80886   no      999472   96203   no      933167  194452   no     1188739   69049   no    
0            1063971  156939   no     1007280   81365   no      999771   97823   no      936368  195519   no     1167714   94125   no    
0            1070059  148232   no      996487   71250   no      991379  105804   no      929840  204494   no     1176885   81479   no    
0            1065231  148206   no     1000765   75006   no      986025  107502   no      934474  199200   no     1167162   79695   no    
0            1067327  145512   no      992300   75001   no      985696   98999   no      931892  199412   no     1179991   67911   no    
0            1071468  145560   no      991548   86207   no      982728  104021   no      924846  198310   no     1178763   82749   no    
0            1065395  150882   no      982359   81690   no      974793   99176   no      923528  190755   no     1169090   76326   no    
0            1054417  149944   no      991424   72956   no      979183  100062   no      917245  192508   no     1169066   84220   no    
0            1058151  150916   no      979566   80069   no      971691   93304   no      919582  205321   no     1161391   78085   no    
0            1048563  150947   no      973524   75781   no      972599   93288   no      914930  191121   no     1154747   87154   no    
0            1059235  143585   no      987721   74794   no      967466   98094   no      914462  199459   no     1163171   82883   no    
0            1044437  144296   no      976840   82312   no      961430  101885   no      908538  197248   no     1155451   63256   no    
0            1040948  147852   no      965910   82800   no      956806   92761   no      902041  190549   no     1159552   76437   no    
0            1041427  141695   no      961240   76199   no      958340   95001   no      902403  194707   no     1148405   82524   no    
0            1040800  149022   no      950077   82805   no      952905   95535   no      899862  191713   no     1133106   77954   no    
0            1033479  140839   no      962405   85650   no      943909   98245   no      894370  190148   no     1135744   81950   no    
0            1028531  137656   no      954733   78744   no      943897   90500   no      886944  186968   no     1143308   87041   no    
0            1026040  139611   no      962189   86260   no      935065   93730   no      874131  190162   no     1125280   85804   no    
0            1020771  144075   no      942889   81515   no      925466   88966   no      875211  189189   no     1121603   76494   no    
0            1016490  146395   no      947122   82741   no      926028   95321   no      858370  180230   no     1105341   67553   no    
0            1008941  139040   no      934930   81221   no      914464   92255   no      859181  177758   no     1105690   74426   no    
0            1014208  143717   no      931825   84262   no      906930   95649   no      853173  177161   no     1106743   63995   no    
0            1003811  136929   no      928441   82835   no      905925   86917   no      827839  177867   no     1086728   66185   no    
0            1003234  138535   no      920600   79849   no      897086   89765   no      841636  182549   no     1064593   64514   no    
0             989345  140770   no      895785   80377   no      887305   86772   no      831542  178995   no     1082709   69072   no    
0             985313  138147   no      917241   80206   no      882982   78810   no      817012  171803   no     1057832   76373   no    
0             982303  126112   no      902270   87901   no      874548   87173   no      809546  179534   no     1059001   72011   no    
0             964854  127840   no      883347   66819   no      866861   81222   no      789106  166410   no     1038336   64799   no    
0             971502  131784   no      876068   79010   no      848880   83362   no      777884  170573   no     1038495   67827   no    
0             964720  125768   no      886826   70057   no      844011   74314   no      763547  170229   no     1020599   59406   no    
0             948921  123955   no      865416   72838   no      832498   83288   no      768814  169552   no     1001509   64790   no    
0             940645  120566   no      864965   71553   no      820095   80880   no      756328  169119   no      994264   74654   no    
0             936924  123649   no      848176   65325   no      821274   81258   no      768100  166381   no     1003685   68136   no    
0             932020  127378   no      849410   62807   no      795793   82464   no      744894  172311   no      990725   67856   no    
0             908308  114904   no      842300   74487   no      793711   74771   no      734554  162698   no      973790   70522   no    
0             910537  111181   no      846225   58285   no      796911   71562   no      733014  160237   no      967409   78250   no    
0             891899  113686   no      833914   63533   no      792473   73218   no      721523  155919   no      962048   70505   no    
0             879941  113920   no      827394   68051   no      780235   68838   no      723905  155584   no      956127   71339   no    
0             896924  105397   no      825016   55071   no      781451   65503   no      711085  159696   no      952877   80997   no    
0             893543  103650   no      821279   77524   no      771778   75569   no      696808  157010   no      947817   89033   no    
0             909071   97287   no      814597   72584   no      767643   67089   no      691161  152545   no      939395   73753   no    
0             892388   87707   no      789780   74741   no      751359   63556   no      685589  154513   no      944355   64498   no    
0             872940   86501   no      785161   77642   no      737064   77999   no      668806  156043   no      938120   61266   no    
0             858682   93545   no      761718   82902   no      706990   71618   no      649112  160195   no      924800   76630   no    
0             847518  100369   no      726549   82813   no      681527   65731   no      617364  152853   no      926266   71906   no    
0             838246  103092   no      695823   93615   no      658628   69859   no      597963  159828   no      902514   57923   no    
0             822491  100288   no      678805   98618   no      613827   77009   no      562182  153610   no      895864   68918   no    
0             803745   95643   no      641285  123925   no      576028   87745   no      542929  154604   no      893575   53034   no    
0             775816  102910   no      603069  138359   no      526004   90094   no      486437  155243   no      882403   63543   no    
0             749381   96216   no      532629  154335   no      468617   87413   no      432360  147074   no      831147   59563   no    
0             730751   99649   no      465142  165559   no      386415   91102   no      367752  133751   no      810835   71136   no    
0             695305   98382   no      418076  167821   no      313679   90014   no      309286  123065   no      771428   71802   no    
0             647821  103210   no      332560  150132   no      240052   83522   no      239736  101603   no      713562  108726   no    
0             598029  104928   no      269681  137736   no      172568   63093   no      177416   84942   no      614882  159457   no    
0             530306  114454   no      225700  110355   no      134293   53721   no      141029   64376   no      513166  168741   no    
0             457665  106446   no      200546   76761   no      120154   59870   no      133495   61639   no      399396  182973   no    
0             365053  103918   no      179712   90113   no      148205   89918   no      151657   64892   no      310568  178262   no    
0             275515   88090   no      199334  118252   no      199667  100642   no      189947   76399   no      227473  165845   no    
0             194183   77267   no      250719  137395   no      256712  108298   no      251737   85501   no      176926  132701   no    
0             142818   54954   no      303107  153663   no      334965  119512   no      323202   88853   no      209609  124694   no    
