ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   Roi_5                   
ROI area        0.26 cm2                   0.12 cm2                   0.21 cm2                   0.22 cm2                   0.11 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            276951  172574   no     215232  42976.7  no     233381  147036   no     165647  40340.9  no     381458  41665.2  no    
0            268586  171454   no     210850  25624.3  no     223884  139208   no     159120  35738.3  no     371350  42779.1  no    
0            264670  165676   no     216560  30977.3  no     220408  136109   no     163708  34890.9  no     375496  47930.6  no    
0            266666  157546   no     214767  32091.1  no     235198  131133   no     157061  34588.7  no     364524  39152.2  no    
0            261794  151916   no     211353  32586.2  no     217858  124360   no     159953  34990.2  no     362163  34914.0  no    
0            265482  148393   no     218902  28071.9  no     212684  125718   no     161305  37088.4  no     367676  32020.8  no    
0            264606  148759   no     209593  31069.6  no     225923  125570   no     169548  38741.7  no     365555  42986.3  no    
0            264570  159827   no     219414  42163.1  no     230179  128608   no     169835  31316.7  no     372460  47040.7  no    
0            265503  152847   no     204253  46067.6  no     224506  133497   no     163313  30365.4  no     371958  39182.3  no    
0            264212  156793   no     204374  34369.0  no     223255  124908   no     170480  39958.7  no     376125  38783.1  no    
0            271782  158547   no     213477  38680.3  no     232909  135409   no     171653  34450.7  no     370149  40991.5  no    
0            270279  163438   no     217617  37881.1  no     240417  127718   no     172427  41205.6  no     368233  42687.9  no    
0            270023  162584   no     206953  36050.7  no     236005  136886   no     167072  38665.2  no     363000  39139.9  no    
0            264278  167445   no     215114  38095.1  no     233859  132661   no     167312  37846.1  no     381991  37816.8  no    
0            264838  166472   no     212593  42533.4  no     228390  130725   no     172117  32575.8  no     370175  31543.6  no    
0            267157  158916   no     218958  38389.9  no     224581  122712   no     169815  39849.1  no     358433  40797.7  no    
0            260476  155760   no     217639  33107.5  no     236004  123472   no     168801  37467.1  no     362360  30955.8  no    
0            259461  158375   no     209949  29018.0  no     218326  116740   no     173093  42468.6  no     362235  36857.9  no    
0            263602  146575   no     203520  30683.7  no     221938  108584   no     171114  37374.4  no     352952  34668.3  no    
0            253906  153027   no     200735  28475.6  no     221319  106718   no     170789  34749.7  no     347739  41544.4  no    
0            261213  146988   no     211411  35430.1  no     226252   99228   no     172712  36383.2  no     342775  36992.6  no    
0            255658  141647   no     212953  35064.3  no     228674   96179   no     181169  37247.8  no     344829  45149.6  no    
0            259303  140184   no     216370  20522.7  no     231400  101935   no     176769  31266.8  no     350566  43323.8  no    
0            264028  137641   no     210002  36352.0  no     229868  103099   no     176929  32390.3  no     353185  39543.4  no    
0            267777  140881   no     219391  37693.0  no     225321  100950   no     179629  31876.9  no     359543  39600.9  no    
0            266402  148695   no     213833  28917.7  no     229032  110105   no     180959  39551.2  no     344419  40534.4  no    
0            267658  152095   no     221273  28677.2  no     233029  118410   no     171166  41032.5  no     355875  34416.6  no    
0            268055  155449   no     224021  33928.9  no     233319  118816   no     177515  38427.4  no     343364  40252.2  no    
0            268972  158733   no     230484  39947.8  no     230793  125966   no     179633  46660.5  no     351016  42693.2  no    
0            276298  165250   no     242325  44633.7  no     221315  132335   no     178062  34917.0  no     356958  47607.4  no    
0            276696  168031   no     223982  29660.0  no     222943  135906   no     174442  39774.4  no     352418  45418.0  no    
0            275608  159112   no     223839  37795.2  no     234802  125614   no     174121  33232.9  no     348954  45979.9  no    
