ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.33 cm2                 0.0879 cm2                   0.22 cm2                  0.082 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            341696  158664   no     193741  45133.9  no     227735  100001   no     147790  21108.8  no    
0            342505  161101   no     196147  41400.5  no     222115  105819   no     154269  26384.3  no    
0            338725  162619   no     208829  51191.1  no     212068   99666   no     148882  20292.7  no    
0            333601  158570   no     197267  37038.9  no     213257   98101   no     145349  20989.7  no    
0            340874  163494   no     203828  50748.6  no     205340   94963   no     154767  23764.9  no    
0            339565  165563   no     194322  48213.8  no     214008   96100   no     151317  25101.9  no    
0            341785  170403   no     195204  36905.1  no     215508   96633   no     146679  25046.4  no    
0            346901  171527   no     199272  45258.9  no     217829  100373   no     151400  28918.3  no    
0            344349  174422   no     188185  54986.9  no     205801  100767   no     150939  18425.5  no    
0            346914  167104   no     187332  44274.5  no     217469  101389   no     151970  24268.6  no    
0            349399  171368   no     192817  47211.7  no     223220  110653   no     144781  25724.7  no    
0            362862  166775   no     204037  43722.8  no     227913  108663   no     160311  32050.9  no    
0            363579  164771   no     203778  43241.2  no     237460  110756   no     153198  25175.9  no    
0            367319  167970   no     196827  63631.8  no     239073  118582   no     158747  21855.3  no    
0            364392  165926   no     206975  55394.0  no     240181  114421   no     157754  28434.4  no    
0            365642  165592   no     201619  62682.3  no     228899  106308   no     170420  22989.3  no    
0            359103  170475   no     213638  56774.0  no     223878  112456   no     153408  23917.8  no    
0            361015  165913   no     196705  58259.0  no     223738  112094   no     148907  24370.8  no    
0            351135  164822   no     193442  55753.5  no     225097  106151   no     154666  27746.6  no    
0            359905  166543   no     191775  54331.3  no     217150   99400   no     148280  14087.4  no    
0            360793  167053   no     199793  55240.2  no     219373  105617   no     152969  22241.6  no    
0            358629  170559   no     207391  55864.9  no     218460  110999   no     149102  28608.1  no    
0            360332  163785   no     194767  60198.4  no     225102  108396   no     155778  35043.3  no    
0            362111  166935   no     194567  53486.4  no     233785  108350   no     156895  27332.9  no    
0            369268  162513   no     212987  66838.1  no     225989  117275   no     154404  21251.1  no    
0            363343  159730   no     192989  67976.0  no     230490  113392   no     150214  18389.2  no    
0            369794  156572   no     192330  64153.7  no     228452  106818   no     154629  24141.7  no    
0            365619  161456   no     202641  71357.8  no     228575  112029   no     146517  18658.2  no    
0            369889  162194   no     192854  67664.4  no     233479  104221   no     155455  18185.8  no    
0            367237  156897   no     209276  64278.9  no     229974  108273   no     154875  26848.9  no    
0            368129  157225   no     200987  58963.2  no     235458  104154   no     161208  27947.5  no    
0            359564  162258   no     197752  66038.0  no     222062  110810   no     154451  33113.2  no    
