ROI name    Roi_1                    Roi_2                   Roi_3                    Roi_4                    
ROI area        0.31 cm2                   0.10 cm2                   0.28 cm2                   0.12 cm2               
user units  mean      std dev  func  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            1028312  193618   no     962098  165059   no     1063397  161434   no     1025226  100622   no    
0             989882  183380   no     932575  136695   no     1037805  156777   no      993754   96711   no    
0             985573  182357   no     934271  154092   no     1028032  156611   no     1001214   95691   no    
0             978585  184103   no     930530  148676   no     1017805  155996   no      996195   87432   no    
0             979318  185107   no     939646  146358   no     1026826  159832   no      992141   91071   no    
0             997062  194123   no     935958  148538   no     1024772  162028   no     1002023   97246   no    
0             990886  184910   no     936882  155462   no     1029938  159058   no      999812   97175   no    
0             989814  186127   no     939716  141930   no     1024231  161759   no      999013   97968   no    
0             987653  191934   no     928066  141405   no     1018437  157916   no      996107   93391   no    
0             885666  164799   no     830559  126541   no      907048  148669   no      867944   71220   no    
0             898872  168780   no     820035  133525   no      906079  147947   no      877152   78353   no    
0             897709  166728   no     819101  121214   no      899237  143336   no      869858   75551   no    
0             892097  172327   no     825505  119760   no      899031  145905   no      881812   75885   no    
0             891285  170165   no     828983  120245   no      893262  151173   no      872406   79982   no    
0             888326  158030   no     824128  117798   no      900265  152199   no      859107   79053   no    
0             892878  167503   no     813492  122056   no      904321  152885   no      875230   68564   no    
0             885928  168954   no     828252  120350   no      892439  148488   no      863365   78988   no    
0             887131  167370   no     810537  126800   no      882312  146173   no      873134   75320   no    
0             893042  173492   no     821866  117263   no      895389  152008   no      873547   72677   no    
0             889833  169164   no     822273  125193   no      894909  151649   no      868462   75193   no    
0             887230  168370   no     819568  118882   no      889562  153976   no      853620   82749   no    
0             888998  160308   no     814397  121578   no      884615  153260   no      860855   72977   no    
0             879657  174389   no     821102  120676   no      881022  142332   no      856980   69702   no    
0             887802  162061   no     816526  120753   no      886752  143738   no      865151   68067   no    
0             880183  164885   no     813598  120863   no      885752  142104   no      857323   78169   no    
0             877993  168586   no     814724  119768   no      885519  147850   no      856120   75220   no    
0             881185  168541   no     810631  118996   no      876170  144116   no      846835   80582   no    
0             879657  166934   no     808341  128878   no      876466  143973   no      844780   75194   no    
0             883326  166287   no     807976  126189   no      875442  148313   no      847471   81837   no    
0             873164  165835   no     806751  116793   no      874701  148672   no      837260   77770   no    
0             870700  163812   no     804645  119970   no      870051  142111   no      837555   78282   no    
0             874958  157162   no     795213  125335   no      871339  143493   no      840525   74578   no    
0             874037  164129   no     795988  120426   no      866209  148336   no      826025   77737   no    
0             869865  166558   no     796853  124469   no      855918  150229   no      823085   75041   no    
0             860607  160011   no     782006  123485   no      852275  144615   no      826324   70490   no    
0             863535  161103   no     787358  115336   no      859058  137317   no      822737   73564   no    
0             863107  161990   no     781340  120582   no      845733  137212   no      812028   65951   no    
0             867605  159171   no     785066  117251   no      850476  141237   no      808656   78530   no    
0             863981  166245   no     777000  126905   no      849413  134474   no      807200   69429   no    
0             854314  164877   no     772874  120225   no      847296  134602   no      808831   80000   no    
0             856815  159038   no     758176  133763   no      835918  140347   no      799503   73584   no    
0             850285  157770   no     766215  115731   no      838488  148994   no      792499   73291   no    
0             849611  154352   no     755135  128765   no      833885  132884   no      788339   67304   no    
0             839473  159740   no     749978  123152   no      830652  135035   no      787959   75685   no    
0             836462  155897   no     750482  127708   no      838989  138358   no      778183   68208   no    
0             847618  156110   no     740933  128604   no      818912  132985   no      783197   74547   no    
0             840551  154775   no     733585  125367   no      826916  138381   no      766986   68789   no    
0             829069  152453   no     732013  130092   no      813329  130845   no      756884   79595   no    
0             829257  155969   no     727831  130378   no      798346  131931   no      754271   76366   no    
0             821187  150252   no     720711  127243   no      797980  129504   no      752503   78074   no    
0             818172  157902   no     704616  128101   no      781838  130030   no      735235   67073   no    
0             808585  149593   no     703755  126101   no      782494  123122   no      727666   77807   no    
0             812865  148094   no     693486  124979   no      777127  129658   no      720944   71026   no    
0             802626  156997   no     690628  124443   no      774186  126947   no      714288   79865   no    
0             797157  152477   no     689582  127076   no      763780  126346   no      709099   75096   no    
0             785138  145623   no     676945  109399   no      751568  121167   no      688405   61766   no    
0             790316  147602   no     662444  123769   no      742554  123125   no      698539   67901   no    
0             784426  151483   no     663865  119216   no      744800  130265   no      679851   70491   no    
0             770996  141809   no     650906  120114   no      736360  124349   no      674778   72932   no    
0             771515  145925   no     644830  122912   no      714556  117245   no      668504   68260   no    
0             755828  144610   no     625764  124791   no      708399  113910   no      666786   73330   no    
0             755339  138202   no     629789  128431   no      713511  116336   no      645616   78481   no    
0             742742  134530   no     622955  120505   no      711501  104691   no      635157   68618   no    
0             742954  131794   no     618083  126172   no      705610  102829   no      628484   65990   no    
0             737836  129183   no     601692  119407   no      705352  110760   no      618240   73272   no    
0             727661  131361   no     604588  124055   no      694196  108953   no      605936   78343   no    
0             722067  135661   no     583151  138838   no      678062  113969   no      599541   87813   no    
0             712337  136110   no     578258  138140   no      666748  123509   no      576025   82310   no    
0             707060  129441   no     558906  147689   no      662864  119734   no      556799   90593   no    
0             695055  132733   no     544617  149563   no      654954  119019   no      542480   96192   no    
0             697676  127643   no     525512  166315   no      636451  123346   no      498984  103051   no    
0             690853  127104   no     494860  166854   no      620175  131298   no      480876  110181   no    
0             679420  126948   no     468426  182706   no      597455  127531   no      438018  127888   no    
0             669166  136512   no     454305  192274   no      585132  130236   no      402518  132028   no    
0             661045  130007   no     409828  193252   no      553411  137493   no      356972  138599   no    
0             647288  136554   no     373101  188706   no      528224  135818   no      303054  140809   no    
0             633129  135778   no     339215  195672   no      500246  130719   no      270809  126297   no    
0             620637  131694   no     301907  177158   no      458115  135511   no      221693  123843   no    
0             604020  130562   no     271705  147987   no      426027  148576   no      186801  112225   no    
0             582417  132312   no     237989  130214   no      377350  153926   no      164619   86774   no    
0             555989  144370   no     218074  122859   no      327518  147624   no      166744   90968   no    
0             516464  154235   no     209127   97716   no      289237  151736   no      192115  102052   no    
0             481517  165457   no     197819  102148   no      248658  147449   no      202859  106106   no    
0             440542  174842   no     189943  116254   no      207970  128755   no      246301  125498   no    
0             391043  187587   no     229805  121781   no      182535  107853   no      289301  132564   no    
0             350773  194538   no     248713  141240   no      173116   81422   no      342388  130237   no    
0             306967  188123   no     271613  145058   no      184141   68343   no      398019  130705   no    
0             276667  189984   no     328173  126922   no      220449   70035   no      436487  125385   no    
0             254897  173710   no     373719  115548   no      258756   85056   no      488718  108414   no    
0             249414  151179   no     419599   94818   no      311038   95119   no      515939   99918   no    
0             258976  142669   no     450238   71928   no      370892  109853   no      538724   85255   no    
0             280199  147431   no     490582   70251   no      402389  119907   no      569884   70248   no    
0             304579  150757   no     515554   67958   no      460865  114372   no      597774   75834   no    
0             339108  168905   no     540501   64150   no      504469  118370   no      607827   71376   no    
0             373421  170982   no     560432   66507   no      531412  106049   no      615058   61057   no    
0             412044  183256   no     575655   66039   no      563963  104278   no      645960   64460   no    
0             458067  182521   no     595628   75211   no      579293  109257   no      649142   67940   no    
0             483025  184940   no     610706   68223   no      608173   98652   no      664866   69454   no    
0             519148  176667   no     625681   70564   no      623875  104789   no      664649   74625   no    
0             537626  174203   no     631923   73497   no      631669  106876   no      688371   71871   no    
0             576399  164673   no     642096   65032   no      656356  107304   no      696252   75851   no    
0             599357  163904   no     656816   82697   no      652726  108343   no      701908   71606   no    
0             618592  150241   no     668911   79099   no      679755  108019   no      716725   76954   no    
0             635606  145182   no     682405   78898   no      696641  105792   no      724298   85602   no    
0             648347  143304   no     694405   80385   no      696033  113191   no      752200   72120   no    
0             666225  142163   no     696728   75013   no      712384  119287   no      746171   81328   no    
0             682302  146130   no     713530   84309   no      722332  113823   no      760648   75361   no    
0             694223  145431   no     713132   89602   no      729182  112930   no      770689   78448   no    
0             699264  148056   no     718676   88235   no      737344  118073   no      776400   71106   no    
0             716525  145354   no     739556   91639   no      749797  124328   no      781322   75428   no    
