ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.19 cm2                 0.0439 cm2                   0.18 cm2                  0.041 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            300929  52540.0  no     246660  40994.5  no     276275  51552.7  no     248609  27190.6  no    
0            239828  43469.7  no     197459  31634.4  no     217266  43987.0  no     199371  21622.3  no    
0            146213  34048.7  no     111802  21928.3  no     149529  38992.0  no     110522  16751.8  no    
0            121652  27297.1  no      88773  19776.3  no     119066  35066.6  no      92640  11827.5  no    
0             78417  22370.6  no      60219  16143.3  no      82812  33384.5  no      59018  11279.3  no    
0             68040  20466.3  no      45874  13370.3  no      68991  27509.0  no      47442   9505.2  no    
0             47711  19646.7  no      27839  13482.6  no      56602  26370.9  no      32196   9400.8  no    
0             44378  16010.7  no      24100   8341.8  no      44309  24843.4  no      27573  10685.4  no    
0             31206  16706.8  no      22570   8771.1  no      36057  22289.1  no      20603   8502.6  no    
0             24642  15209.8  no      16063  10044.5  no      35492  20851.4  no      16631   6353.5  no    
0             23910  14117.9  no      14182   7540.3  no      26420  17967.7  no      15793   7008.3  no    
0             23294  14221.1  no      15309   7742.8  no      22846  16643.4  no      15028   5033.3  no    
