ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.15 cm2                 0.0586 cm2                 0.0469 cm2                  0.041 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            329654  38395.5  no     355050  49499.1  no     368075  140150   no     358024  60870.3  no    
0            260012  42384.5  no     289422  58072.1  no     312628  141085   no     305076  64600.5  no    
0            179540  42786.1  no     209629  55481.3  no     208317  118617   no     207855  55090.0  no    
0            146712  42566.0  no     174482  54512.6  no     172908  112211   no     177837  60401.0  no    
0            109106  39177.2  no     134433  53385.5  no     133484   97865   no     132798  48705.9  no    
0             90388  38707.8  no     114568  50678.4  no     114052   90294   no     113744  51306.2  no    
0             70814  36470.5  no      97072  48859.0  no      92945   85422   no      92247  50409.8  no    
0             63308  33721.7  no      87032  44455.8  no      83196   79039   no      82550  44363.0  no    
0             45699  30960.3  no      75807  46022.1  no      73516   74335   no      73827  43445.5  no    
0             44155  30941.0  no      68340  41811.5  no      63160   69636   no      65641  43490.1  no    
0             37904  27586.2  no      61738  38810.1  no      61891   69936   no      60740  42451.7  no    
0             32505  26764.3  no      57057  40181.9  no      55771   64530   no      58672  38097.9  no    
