ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.18 cm2                   0.11 cm2                 0.0703 cm2                 0.0469 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            275502  88669.0  no     318721  154438   no     452373  360940   no     249051   88980   no    
0            290776  95880.6  no     318096  151729   no     442698  365355   no     246422   77969   no    
0            277127  92266.6  no     319994  143058   no     433885  366915   no     254835   98407   no    
0            263726  96591.3  no     318825  159009   no     443757  367212   no     267921  111518   no    
0            279634  92808.0  no     322807  171550   no     439795  377703   no     258719  117935   no    
0            280987  83264.4  no     337229  169171   no     454138  375872   no     281692  104919   no    
0            267279  87589.2  no     346262  170151   no     443267  388579   no     288160  118010   no    
0            274958  92830.2  no     355066  180127   no     458981  387435   no     315414  119074   no    
0            269931  86838.6  no     358687  188410   no     456972  373251   no     305515  131114   no    
0            275407  92850.4  no     352763  179878   no     443616  388482   no     310089  128239   no    
0            263749  88148.2  no     359578  171755   no     483229  390920   no     321319  130105   no    
0            263928  78398.8  no     321383  162150   no     351910  280410   no     384432  147583   no    
0            279787  79427.6  no     311927  157634   no     345812  279613   no     344018  127476   no    
0            278338  85419.2  no     304033  152297   no     321655  266972   no     300981  113793   no    
0            279372  82407.5  no     287994  145745   no     304851  248441   no     281100   93483   no    
0            263330  83736.6  no     281645  139708   no     324139  242258   no     286451   69538   no    
0            263907  80886.1  no     265098  131713   no     305479  244918   no     261297   82464   no    
0            273475  81157.5  no     268833  137506   no     304252  242775   no     261442   58616   no    
0            275014  78638.5  no     262662  135010   no     294396  228250   no     263772   60738   no    
0            272535  81261.8  no     265517  129817   no     296119  237850   no     267182   42927   no    
0            275437  83622.8  no     258355  121608   no     294943  243537   no     277391   58345   no    
0            283071  83306.7  no     270087  148642   no     304663  239526   no     270134   78764   no    
0            264266  73962.1  no     279816  144660   no     300373  241315   no     285251   83651   no    
0            283071  75425.3  no     290719  142644   no     309282  230626   no     287039   83142   no    
0            259772  71083.0  no     293580  134632   no     284802  237516   no     311629   87039   no    
0            263421  84188.0  no     305478  149406   no     294124  231726   no     311357  102689   no    
0            262799  79016.0  no     307146  153788   no     298739  229045   no     319497  112589   no    
0            275480  82243.2  no     300707  152496   no     293206  210825   no     301702   96713   no    
0            276807  77626.4  no     284071  147882   no     299239  214002   no     296744   86225   no    
0            265393  71063.5  no     288691  141145   no     288902  221404   no     296376   86408   no    
0            256469  72581.0  no     281193  143729   no     299468  221188   no     286778   53046   no    
0            265179  79993.4  no     271250  130369   no     293963  210007   no     264283   53494   no    
