ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area      0.0952 cm2                 0.0747 cm2                   0.18 cm2                  0.041 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            335860  30891.8  no     333367  18223.7  no     330555  43592.4  no     300547  12017.6  no    
0            259251  26517.6  no     270279  16713.7  no     264388  43352.9  no     227970  12639.4  no    
0            158392  19630.8  no     160779  12834.8  no     172833  39730.3  no     142720   9095.3  no    
0            121575  16538.5  no     129709  13520.9  no     142195  39094.3  no     105912  10695.8  no    
0             77288  15209.8  no      81690  12484.9  no      99209  36183.9  no      69107  10306.3  no    
0             59472  13401.1  no      67513  10913.9  no      84855  35057.0  no      52092   9077.5  no    
0             36061  13378.3  no      41533  12042.1  no      65118  32365.2  no      37155   7014.9  no    
0             37503  12040.1  no      38939   8686.2  no      51926  29538.9  no      26741   7283.4  no    
0             25141  10467.0  no      25627   9229.6  no      45911  28396.1  no      21631   9391.4  no    
0             20072   9789.1  no      23181  10135.6  no      38851  26968.3  no      21117   8313.1  no    
0             13851   8487.0  no      17244   8477.7  no      32430  25751.8  no      15941   7914.9  no    
0             16085   8374.5  no      15947   8058.5  no      30330  24527.9  no      14136   7151.7  no    
