ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area      0.0894 cm2                 0.0688 cm2                   0.16 cm2                 0.0923 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            285796  40717.3  no     289691  36555.7  no     275552  25204.3  no     285788  32621.5  no    
0            238390  36416.6  no     233215  37526.2  no     211603  22847.0  no     224127  31844.9  no    
0            162998  25093.5  no     165404  26202.2  no     132791  16574.6  no     140470  25822.9  no    
0            136704  24435.1  no     129453  23346.1  no     106639  16086.9  no     112101  26955.3  no    
0             94302  17271.8  no      91652  15225.6  no      66908  12233.8  no      74919  21843.6  no    
0             81720  16821.1  no      75128  13251.6  no      52816  11599.0  no      58817  20531.9  no    
0             58911  12991.7  no      56409  14015.2  no      35539   9547.6  no      39899  20450.3  no    
0             48091  12012.5  no      44274  14505.2  no      28045  10532.6  no      36696  20960.7  no    
0             38553  10111.3  no      33050  12015.1  no      19044   8439.5  no      26766  17593.6  no    
0             31952  10997.9  no      28713  12198.2  no      16628   7847.5  no      20496  17456.3  no    
0             23318   8084.0  no      21400  11781.1  no      17967   7847.4  no      23020  16566.3  no    
0             21986   8620.4  no      18580   9863.8  no      13422   6664.5  no      18814  18300.0  no    
