ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.27 cm2                 0.0791 cm2                 0.0806 cm2                 0.0703 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1405152   52707   no     1375473  78433.3  no     1391485  65301.8  no     1280925   94828   no    
0            1326471   57417   no     1301720  85200.9  no     1337013  64418.3  no     1246276  102179   no    
0            1333253   55652   no     1294373  73745.1  no     1333438  63433.7  no     1236669   91607   no    
0            1331900   53834   no     1283264  62838.3  no     1324987  58860.8  no     1231357   88427   no    
0            1336684   53467   no     1303191  82671.6  no     1331401  57906.8  no     1231812   91148   no    
0            1330720   56116   no     1292188  80367.7  no     1322839  61766.4  no     1228497   83120   no    
0            1321227   59359   no     1289037  83200.1  no     1335728  58630.1  no     1228733   93231   no    
0            1318337   55120   no     1276836  73506.3  no     1334380  66817.0  no     1224268   93821   no    
0            1314772   55216   no     1275501  69990.8  no     1326793  57491.8  no     1226016   85551   no    
0            1140720   53952   no     1105262  67974.7  no     1117650  52131.5  no     1041957  101424   no    
0            1139214   56866   no     1113412  70433.5  no     1102740  64926.6  no     1029582   90121   no    
0            1129891   58403   no     1090892  71817.3  no     1110905  49547.6  no     1025917   91242   no    
0            1129890   52461   no     1099480  64458.2  no     1110780  55234.5  no     1013005   82045   no    
0            1120494   53835   no     1110248  65696.9  no     1115934  70682.2  no     1019365   92032   no    
0            1122850   55736   no     1093790  72785.9  no     1085617  60516.8  no     1019468   84629   no    
0            1118414   56143   no     1082871  74525.2  no     1092654  59112.8  no     1006018   96810   no    
0            1118579   59098   no     1080231  65041.4  no     1077795  63131.6  no     1002964   81422   no    
0            1112878   56475   no     1080705  66228.3  no     1082842  75720.3  no      997720   77907   no    
0            1101099   54275   no     1066562  72334.2  no     1080795  63787.4  no     1004265   84202   no    
0            1099239   55068   no     1066110  61326.3  no     1075198  51077.3  no      996198   91809   no    
0            1094862   55345   no     1053901  70928.4  no     1072409  66155.5  no      989821   78897   no    
0            1087969   55907   no     1047593  70923.5  no     1057848  47980.1  no      975567   82198   no    
0            1089059   59140   no     1047844  61873.5  no     1057457  48784.5  no      968886   80109   no    
0            1070497   56141   no     1042947  59211.1  no     1049776  58559.0  no      971305   78614   no    
0            1070048   55086   no     1036590  65465.8  no     1034970  58351.5  no      954308   84804   no    
0            1062405   58154   no     1028014  73087.6  no     1040338  59843.8  no      956391   89339   no    
0            1056158   60044   no     1020981  69565.9  no     1027012  56734.2  no      947181   83174   no    
0            1047656   52966   no     1025896  66389.3  no     1011738  54442.9  no      939418   86527   no    
0            1040814   58322   no     1002637  66269.2  no      999481  63927.7  no      919243   87824   no    
0            1030845   58057   no      996833  60199.3  no     1015761  66250.4  no      905616   79269   no    
0            1022332   57828   no      988128  70421.6  no      983784  57092.1  no      905227   84742   no    
0            1017471   60995   no      973436  65036.9  no      986596  61396.4  no      892595   74436   no    
0            1007147   56916   no      968610  59307.9  no      961080  55694.5  no      886500   71375   no    
0             995939   60154   no      956122  54334.2  no      964062  56785.7  no      883757   76954   no    
