ROI name    Roi_1                    Roi_2                   Roi_3                    Roi_4                    
ROI area        0.20 cm2                   0.11 cm2                   0.17 cm2                 0.0776 cm2               
user units  mean      std dev  func  mean     std dev  func  mean      std dev  func  mean      std dev  func  
0            1277633  103233   no     865992  236050   no     1207549  54908.8  no     1102374  159817   no    
0            1225142   95422   no     836423  214941   no     1155410  62921.0  no     1064898  153358   no    
0            1218977   95697   no     824463  230400   no     1140747  48980.3  no     1069802  156526   no    
0            1214140   95005   no     820075  224907   no     1158594  53269.6  no     1057213  149020   no    
0            1216470   93042   no     817775  220321   no     1152066  57009.9  no     1073198  135923   no    
0            1217930   90360   no     832930  225604   no     1140845  46256.7  no     1068353  146305   no    
0            1209419   93815   no     827969  219232   no     1147905  53961.3  no     1056518  139789   no    
0            1214690   97583   no     813807  234811   no     1145901  61127.1  no     1064168  172442   no    
0            1210271   93421   no     819437  217139   no     1143749  52783.9  no     1066614  151947   no    
0            1038973   83843   no     705094  193103   no      975486  55023.1  no      899025  124577   no    
0            1041316   85480   no     704848  198060   no      965150  49948.5  no      899347  132131   no    
0            1038318   90858   no     694935  195348   no      964427  50969.7  no      909754  125630   no    
0            1040946   81657   no     684253  185783   no      962722  52998.2  no      906577  130335   no    
0            1037319   80588   no     690528  188343   no      960991  48733.3  no      893492  128492   no    
0            1033644   77050   no     686796  189491   no      955181  50519.3  no      909282  134190   no    
0            1023087   80496   no     693338  192554   no      951437  51205.3  no      896103  126255   no    
0            1034135   84372   no     685523  200671   no      958908  51803.5  no      899453  131932   no    
0            1025972   78279   no     680959  190419   no      949138  54298.5  no      892238  128210   no    
0            1028935   77738   no     691911  192885   no      956712  52093.7  no      879643  137463   no    
0            1021746   81424   no     679624  193976   no      943931  49810.4  no      880403  133940   no    
0            1013592   85313   no     675343  200098   no      939375  51884.9  no      872645  131624   no    
0            1015544   79752   no     678043  191988   no      941581  52640.5  no      882243  112530   no    
0            1010222   81586   no     675148  196615   no      943755  56879.8  no      882851  130836   no    
0            1005037   85556   no     666958  201624   no      929865  52317.5  no      871844  135203   no    
0             993792   78865   no     672914  196548   no      927040  55577.3  no      864077  130391   no    
