ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.20 cm2                   0.11 cm2                   0.17 cm2                 0.0776 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            302266  25976.4  no     223109  56701.4  no     289084  29349.7  no     268465  25979.0  no    
0            240966  29109.5  no     169715  39896.4  no     214397  22374.1  no     200795  19814.6  no    
0            145228  24294.2  no     101737  24119.8  no     138937  19942.8  no     125953  17820.7  no    
0            119567  25161.9  no      81102  17715.3  no     103039  17118.2  no      97193  18424.9  no    
0             79844  23872.0  no      48635  12844.1  no      65528  14715.4  no      62574  20247.5  no    
0             62475  19732.7  no      45495  12544.5  no      56370  14476.1  no      49632  17684.4  no    
0             47895  20387.4  no      26104  12322.2  no      33815  12385.7  no      35011  19654.1  no    
0             36366  19340.7  no      24735  11513.8  no      33911  12368.9  no      30749  16990.3  no    
0             32043  16744.2  no      18749  10882.2  no      23144  11038.1  no      22680  17094.9  no    
0             26275  16007.0  no      17663   9231.4  no      21161  10362.9  no      19953  13598.5  no    
0             22372  13573.9  no      15587   7094.0  no      16440   8539.6  no      20635  14447.1  no    
0             18988  12351.2  no      14502   8248.7  no      16449   7765.4  no      15345  10423.3  no    
