ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.23 cm2                   0.15 cm2                   0.21 cm2                 0.0996 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            190723  42186.8  no     133315  46601.0  no     177441  59617.4  no     160749  22182.4  no    
0            197714  52710.7  no     139844  44650.7  no     180957  57458.2  no     148512  25492.2  no    
0            188565  53741.6  no     127555  42466.7  no     183866  64000.6  no     148942  20192.1  no    
0            182943  44516.0  no     137318  47648.2  no     184398  62507.0  no     146145  22960.0  no    
0            190297  47245.5  no     128402  42672.6  no     176712  58826.6  no     150751  21457.2  no    
0            179575  51307.4  no     129979  41601.1  no     183377  58652.9  no     144546  27144.5  no    
0            184584  48481.0  no     137085  41966.7  no     188805  55660.1  no     147505  24568.7  no    
0            182752  55427.3  no     133237  41667.5  no     180486  58172.4  no     147365  17588.5  no    
0            186380  49965.6  no     126208  46264.3  no     173618  59555.2  no     144345  22666.9  no    
0            179164  48275.1  no     139035  35464.7  no     174384  65068.0  no     144254  24677.3  no    
0            185981  49237.3  no     133856  65942.7  no     185381  68216.9  no     143080  32484.8  no    
0            197054  53704.8  no     135994  79382.2  no     176242  59134.1  no     149344  27867.5  no    
0            187838  58492.8  no     126712  72835.9  no     194462  58678.0  no     153482  23293.0  no    
0            198269  57311.1  no     136839  75308.3  no     170745  61569.1  no     140858  23289.0  no    
0            190879  61415.1  no     125914  75055.5  no     177916  64985.8  no     158497  25308.5  no    
0            190881  62465.6  no     124565  71111.3  no     175868  67188.1  no     138229  20161.4  no    
0            189155  63028.5  no     143408  74050.0  no     177209  65399.2  no     141998  25780.1  no    
0            193231  57037.4  no     132471  78049.2  no     176083  68224.1  no     141024  25244.7  no    
0            195848  61966.3  no     122489  73547.4  no     177472  61001.6  no     146100  23386.1  no    
0            196623  52820.5  no     128449  72369.8  no     187143  68435.9  no     150485  19320.8  no    
0            189685  57794.7  no     128820  74650.1  no     174424  65038.4  no     140147  19542.1  no    
0            193204  56104.3  no     142201  73968.3  no     171528  62630.3  no     138241  22823.7  no    
0            191899  63295.7  no     129171  70393.2  no     173199  56019.1  no     136684  27885.0  no    
0            193753  63387.6  no     126283  77750.7  no     166271  66579.8  no     133904  21844.2  no    
0            190762  56592.9  no     118805  68289.2  no     179195  59855.4  no     142138  23746.1  no    
0            186301  59362.5  no     129813  75256.7  no     167284  62554.6  no     139587  23636.2  no    
0            193126  64232.5  no     123853  76704.8  no     182627  60754.0  no     136243  27241.1  no    
0            192668  60294.4  no     120881  66846.6  no     179764  61598.9  no     144195  22493.5  no    
0            200317  57731.2  no     114419  65609.3  no     184915  67530.4  no     144846  29202.7  no    
0            195600  63812.7  no     121272  65162.8  no     190340  66083.8  no     140055  25043.4  no    
0            189709  58713.8  no     123612  70096.0  no     167387  58508.9  no     141288  19278.9  no    
0            199731  65917.8  no     118383  67939.0  no     175409  59234.9  no     148564  24387.2  no    
