ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area      0.0703 cm2                 0.0923 cm2                 0.0835 cm2                 0.0747 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1342211   48508   no     1240519   77883   no     1366929  79153.4  no     1224597  99842.6  no    
0            1284414   55774   no     1211114   80788   no     1318471  75782.2  no     1181719  68732.6  no    
0            1287416   63185   no     1204274   73802   no     1303001  69101.8  no     1175238  90288.5  no    
0            1278058   50078   no     1201307   81736   no     1315325  80436.4  no     1168024  84222.4  no    
0            1292785   61567   no     1197685   81804   no     1322761  70778.6  no     1163047  71562.1  no    
0            1291726   50732   no     1206492   86455   no     1312837  76864.4  no     1163500  81426.5  no    
0            1280346   57359   no     1187764   84555   no     1318072  78289.6  no     1162338  76844.7  no    
0            1262472   55824   no     1202454   83036   no     1301026  69768.5  no     1175601  87699.3  no    
0            1279635   54780   no     1197621   72527   no     1295797  90341.2  no     1162915  74587.4  no    
0            1092199   53423   no     1009566   75886   no     1130101  76267.9  no      969716  71062.4  no    
0            1094117   48742   no     1017426   75546   no     1123209  78159.5  no      982904  68704.0  no    
0            1085340   58632   no      999332   74068   no     1126733  80973.7  no      970780  63531.4  no    
0            1085740   53571   no      999190   79476   no     1120697  68452.2  no      964730  67041.7  no    
0            1083597   46296   no     1005121   73245   no     1119757  76426.5  no      961151  71024.4  no    
0            1074088   59858   no      999713   79030   no     1128590  70230.5  no      959416  78279.3  no    
0            1066723   44148   no     1003962   77819   no     1107329  72858.9  no      976648  66116.9  no    
0            1063911   45322   no      994205   64550   no     1100918  66105.1  no      949462  60452.9  no    
0            1075439   55318   no      993395   78086   no     1100463  65462.6  no      957342  59717.5  no    
0            1065049   52668   no      987009   63558   no     1111320  76510.6  no      945202  58135.3  no    
0            1059238   52617   no      987334   76298   no     1096105  68895.9  no      954119  65431.2  no    
0            1052083   50344   no      988380   77431   no     1094577  72732.2  no      953018  61260.8  no    
0            1040585   47526   no      979869   66747   no     1094595  76548.2  no      949884  57518.6  no    
0            1048018   46504   no      973658   74374   no     1076790  74531.4  no      931032  72281.3  no    
0            1042680   54904   no      963425   77001   no     1073148  70713.8  no      931932  63966.8  no    
0            1038906   44004   no      959188   76788   no     1073039  69444.7  no      909254  70613.0  no    
0            1023106   52775   no      954129   67465   no     1075270  64043.2  no      916267  51037.1  no    
0            1020920   51211   no      947682   77580   no     1055283  73674.4  no      901341  57266.9  no    
0            1009835   42141   no      956917   69289   no     1047812  75170.1  no      910683  50150.0  no    
0            1011662   48993   no      938095   76067   no     1036017  63162.9  no      889292  57688.1  no    
0             995898   41130   no      924040   64341   no     1049581  71282.8  no      896435  63662.0  no    
0             992892   55456   no      917087   68653   no     1025849  74261.0  no      897191  53786.0  no    
0             987502   49020   no      915619   71681   no     1023170  66369.8  no      884236  59432.3  no    
0             967983   59542   no      904415   66172   no     1017316  74291.3  no      878365  65880.6  no    
0             970774   50425   no      901312   59918   no     1019912  72448.8  no      871060  52630.4  no    
0             948580   44474   no      890548   74869   no      984829  66447.7  no      847531  68372.7  no    
0             945920   46031   no      884552   66514   no      976915  67864.9  no      823892  54845.7  no    
0             940917   51711   no      864635   68096   no      977045  65711.2  no      831036  60114.1  no    
0             932210   54126   no      872035   82572   no      947928  74198.7  no      830190  68554.0  no    
0             901480   55351   no      850791   62426   no      946764  61107.3  no      806664  54101.8  no    
0             913456   49354   no      834031   55700   no      913789  68203.4  no      796548  54253.7  no    
0             910173   52401   no      834183   70317   no      906463  56498.8  no      792455  56604.2  no    
0             898324   47236   no      827005   66633   no      890177  54996.6  no      788601  55480.1  no    
0             910676   54032   no      833371   73902   no      874538  64807.2  no      787270  62205.5  no    
0             898215   43667   no      812904   75516   no      848762  58201.3  no      780530  54074.0  no    
0             905426   33443   no      817993   72361   no      872545  76782.0  no      766392  52309.8  no    
0             908245   50035   no      811995   64595   no      890580  76028.8  no      763330  54683.3  no    
0             886125   46820   no      799576   77967   no      899344  70510.9  no      748540  57927.3  no    
0             846013   56754   no      775402   73959   no      894087  65772.0  no      767182  70138.4  no    
0             826733   48818   no      763440   63184   no      873327  65471.6  no      744087  54303.1  no    
0             783096   46947   no      735259   66236   no      874914  51051.1  no      737289  65595.2  no    
0             771249   43968   no      719404   63143   no      846452  70522.1  no      698874  67871.1  no    
0             747908   58536   no      691932   64221   no      834240  70607.9  no      667875  63235.6  no    
0             741398   46854   no      672791   63197   no      829852  76554.2  no      646065  66917.0  no    
0             700361   79457   no      657508   77688   no      795199  62053.0  no      607615  67411.1  no    
0             676877   80869   no      636668   67801   no      782634  72109.2  no      570866  57676.9  no    
0             633559   74575   no      615184   73094   no      721595  65233.4  no      537584  63420.3  no    
0             576295   89808   no      568888   93529   no      691352  62675.8  no      488560  64188.6  no    
0             532578  108705   no      528464  101188   no      640478  63627.4  no      439305  73586.1  no    
0             477227  110012   no      472081  106327   no      588619  74394.8  no      366872  70102.6  no    
0             381289  143569   no      389348  103702   no      544040  81969.9  no      293520  62443.9  no    
0             291870  133432   no      310214  103713   no      458053  80700.7  no      216623  55575.2  no    
0             211084  118473   no      235725   82525   no      383633  75552.3  no      147636  46554.2  no    
0             156678   92688   no      170731   66323   no      284915  79208.3  no      124451  51799.0  no    
0             131912   53417   no      134788   56657   no      231881  74083.2  no      102167  74577.6  no    
0             145842   47921   no      142043   54706   no      178524  58958.3  no      138849  83634.7  no    
0             163795   66321   no      170320   50914   no      188627  55964.1  no      159599  82132.1  no    
0             249933   67932   no      218352   65330   no      199487  72189.5  no      214391  95975.5  no    
0             314727   79360   no      290884   73188   no      271076  77513.3  no      302425  96809.0  no    
0             414591   86650   no      359632   75697   no      349239  82676.3  no      377343  85788.7  no    
0             500453   76011   no      438086   59503   no      450200  93749.4  no      459788  65840.2  no    
0             553512   62492   no      512906   54392   no      531354  97634.4  no      523964  57781.7  no    
0             618308   66910   no      574063   53136   no      601552  80791.1  no      571876  55635.6  no    
0             663902   62798   no      616823   60486   no      652352  94833.1  no      616196  50123.9  no    
0             704992   50248   no      650665   48244   no      699418  84757.6  no      639824  45774.8  no    
0             724879   49413   no      700354   47487   no      732418  66239.8  no      667034  56199.2  no    
0             745702   60171   no      714494   54543   no      784502  75260.0  no      686578  41466.0  no    
0             782945   52601   no      727515   48162   no      781862  81967.0  no      708700  55628.0  no    
0             809421   50035   no      747999   58671   no      803113  81000.0  no      728908  46755.2  no    
0             817533   50411   no      765452   62201   no      817830  99683.8  no      744789  46645.3  no    
0             843002   44037   no      787760   59090   no      834456  83634.3  no      760241  52559.5  no    
0             844707   45497   no      802380   49602   no      849048  80546.6  no      764188  53555.8  no    
0             878708   59650   no      816850   50914   no      871641  84251.8  no      792125  62219.5  no    
0             897865   45258   no      834285   58585   no      886131  82006.8  no      811617  52262.8  no    
0             921459   53133   no      851958   57367   no      908397  88148.9  no      827235  51492.6  no    
0             949108   55116   no      857089   62820   no      942248  82960.5  no      817105  55512.8  no    
0             924537   45509   no      867504   70169   no      950863  94062.0  no      844053  51874.9  no    
0             907230   50188   no      881539   57733   no      952551  86728.9  no      844004  44105.7  no    
0             927466   59588   no      889451   62083   no      950320  87742.5  no      856579  48448.9  no    
0             959540   49991   no      903385   70345   no      983985  92191.0  no      866605  47255.8  no    
0             949041   55697   no      907072   64754   no      968960  87914.9  no      889689  54378.4  no    
0             976325   54236   no      922191   70119   no      977346  90053.4  no      881738  52305.4  no    
0             963993   54453   no      928016   66646   no     1004355  80049.8  no      897588  52235.3  no    
0            1009560   55220   no      936141   73135   no     1012097  93850.7  no      900115  56903.7  no    
0            1010253   68403   no      947615   64324   no     1014566  87516.1  no      916316  59758.6  no    
0            1007848   50539   no      956139   63648   no     1026760  82668.7  no      924779  57293.8  no    
0            1018623   53133   no      961950   70195   no     1036882  88800.8  no      942226  48517.7  no    
0            1007361   55075   no      971308   62821   no     1050448  82435.0  no      923798  56100.3  no    
0            1025824   51675   no      980125   75006   no     1059813  89064.6  no      953379  56486.2  no    
0            1034718   57645   no      989735   65314   no     1059744  92915.1  no      963658  57820.1  no    
0            1051023   57491   no      994098   70938   no     1077269  85254.4  no      959400  54727.8  no    
0            1057201   57627   no      991127   73441   no     1072629  88836.5  no      969852  64974.1  no    
0            1060888   51529   no     1005962   71170   no     1077585  84704.7  no      966057  64440.8  no    
0            1094394   55654   no      993522   76065   no     1068246  81765.7  no      962403  69126.0  no    
0            1079265   51121   no     1008481   68316   no     1103719  82784.4  no      976656  50775.8  no    
0            1069895   49048   no     1009580   68064   no     1098481  88637.3  no      966045  61651.2  no    
0            1077676   49750   no     1022114   72915   no     1079973  95467.4  no      966779  60161.0  no    
0            1081503   43093   no     1023255   63989   no     1094422  86481.1  no      983594  52922.9  no    
0            1071923   55841   no     1021437   66158   no     1116843  89555.5  no      977608  58590.7  no    
0            1060312   59198   no     1007491   78666   no     1112687  93415.9  no      994058  58961.8  no    
0            1098588   51252   no     1024563   73467   no     1107376  90405.6  no      991394  62348.9  no    
