ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area       0.082 cm2                   0.12 cm2                   0.11 cm2                 0.0938 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            223299   42479   no     170598  42536.2  no     241373   64834   no     219182  138422   no    
0            242432   43643   no     179284  44001.7  no     224065   67820   no     225552  133133   no    
0            231871   35297   no     174899  42213.6  no     222284   62323   no     222047  130213   no    
0            210761   44390   no     171492  33336.8  no     245336   47910   no     215396  129681   no    
0            227973   42674   no     157626  37434.7  no     226267   60314   no     206575  138747   no    
0            233427   37799   no     178706  33908.5  no     217529   66033   no     206752  159950   no    
0            237395   47370   no     177421  28957.8  no     239329  103507   no     251894  199987   no    
0            234181   52878   no     167189  29509.5  no     245808  103402   no     257806  196298   no    
0            247009   47087   no     174931  28612.8  no     238875  106152   no     259996  216335   no    
0            243991   45845   no     168331  38788.5  no     246754  107105   no     247437  198724   no    
0            222228   50112   no     166955  27201.8  no     257083   97330   no     259777  190269   no    
0            236414   53574   no     190971  36695.9  no     208593  103181   no     225638  199317   no    
0            217937   44811   no     180380  27835.1  no     235265  110569   no     239431  181123   no    
0            238064   46079   no     170925  37239.8  no     234307  103854   no     251732  186591   no    
0            223375   52853   no     181707  27814.3  no     235315   97654   no     226295  172241   no    
0            225987   46794   no     167237  31174.0  no     245672   98518   no     239797  187618   no    
0            227946   52718   no     172337  40192.4  no     226277  106483   no     228879  174211   no    
0            222628   42310   no     171300  39261.8  no     247628  114656   no     258608  163566   no    
0            254411   67709   no     170719  41522.7  no     228187   91305   no     239562  163020   no    
0            283934   59419   no     181072  38086.1  no     293966  102035   no     285739  163747   no    
0            297041   80996   no     195924  40190.0  no     287459   98552   no     278541  156297   no    
0            316384   84947   no     193223  50918.7  no     282368  110208   no     289383  172678   no    
0            307210   87761   no     185673  45508.3  no     276481   94100   no     273024  165375   no    
0            339132   84528   no     198061  45757.4  no     249782  105188   no     259431  169330   no    
0            300517   93714   no     195120  39416.4  no     260862  101591   no     263081  161936   no    
0            311330   95751   no     177725  42011.2  no     271591  108306   no     271935  173485   no    
0            310450   94945   no     176429  47262.6  no     264468  105831   no     275162  163459   no    
0            302105  111784   no     176132  39984.3  no     270232   96878   no     260077  155018   no    
0            286877  105380   no     166578  47389.8  no     256688  104065   no     265443  147278   no    
0            283778  105192   no     173279  38549.1  no     260766  105594   no     247050  149439   no    
0            306353  104507   no     176279  39704.4  no     242600  106065   no     263968  144306   no    
0            294928  104931   no     170483  43778.4  no     245192   92118   no     241112  153026   no    
