ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.32 cm2                   0.12 cm2                   0.18 cm2                   0.11 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            213801   77563   no     153747  38209.3  no     161008  56451.2  no     190614   53676   no    
0            214044   71389   no     153863  31232.1  no     156623  47255.8  no     189180   45104   no    
0            211182   68901   no     162407  36046.1  no     159674  48484.6  no     201153   48496   no    
0            208565   69632   no     159877  29910.2  no     164229  52231.8  no     184179   42655   no    
0            211204   71772   no     158917  31485.0  no     163290  56522.4  no     192673   43855   no    
0            207575   71844   no     153541  31162.6  no     177238  50596.6  no     188993   45202   no    
0            214131   70569   no     152653  34174.2  no     152350  47044.0  no     198150   55705   no    
0            207588   67898   no     159672  37336.1  no     160756  52841.4  no     174891   50999   no    
0            206777   73722   no     157150  27783.0  no     155445  49448.5  no     184797   40733   no    
0            206395   74514   no     160546  28649.1  no     165376  55398.5  no     181119   55715   no    
0            230856  110087   no     147584  37661.1  no     175041  54797.2  no     196354   77998   no    
0            240388  121787   no     160871  31907.1  no     167882  45332.2  no     200849   85037   no    
0            234011  123017   no     152514  29835.5  no     166709  42521.2  no     210887   88574   no    
0            248908  119149   no     160008  27972.1  no     153771  41030.4  no     194477   95927   no    
0            227431  125087   no     147851  31141.9  no     170696  43941.9  no     206970   96416   no    
0            240080  122060   no     143591  31329.5  no     169132  42020.4  no     206827   84918   no    
0            235200  121798   no     146962  22736.7  no     171830  50575.3  no     197487   98914   no    
0            240179  125784   no     144580  36363.2  no     164553  44817.5  no     207823   89973   no    
0            235120  125479   no     159075  33754.5  no     158198  49800.6  no     193174   89342   no    
0            248293  118407   no     159326  38855.4  no     164954  44207.4  no     208227   88121   no    
0            233284  123479   no     141469  38484.7  no     152740  46248.4  no     181861  100702   no    
0            238436  122678   no     145057  34614.5  no     162445  41910.2  no     200245  110347   no    
0            246803  124359   no     149522  28917.1  no     161885  40152.2  no     197796  105283   no    
0            228806  122658   no     135277  34266.7  no     145576  38589.8  no     185036   94159   no    
0            247640  124967   no     152171  40124.1  no     168462  48539.1  no     204752   94182   no    
0            229290  117337   no     142357  26640.8  no     158985  48892.2  no     205186  103674   no    
0            230982  120689   no     155614  23824.7  no     152924  43876.2  no     195842   79266   no    
0            242313  116215   no     163324  25354.5  no     161017  40588.8  no     191576   80708   no    
0            232765  123015   no     155705  28937.3  no     169525  35831.0  no     195802   88054   no    
0            239050  120041   no     156724  27828.7  no     158056  44450.5  no     201622   74619   no    
0            243363  118987   no     156535  28719.0  no     164865  43066.0  no     204918   92721   no    
0            232716  129524   no     156196  26037.8  no     172013  41583.2  no     197135   76811   no    
