ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.22 cm2                 0.0542 cm2                   0.12 cm2                 0.0513 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            322021  24647.3  no     344013  24913.2  no     315237  28658.4  no     308528  39172.5  no    
0            247175  21464.4  no     257531  24450.4  no     233116  23199.0  no     233975  27275.2  no    
0            157449  18806.2  no     157860  17394.8  no     148075  19442.9  no     135196  18160.3  no    
0            115740  15093.5  no     116519  15223.3  no     108843  16478.1  no     104466  11002.0  no    
0             77467  15601.9  no      75678  12981.5  no      73500  14476.5  no      58268  10025.3  no    
0             58434  14716.9  no      53295  11881.6  no      54658  14467.5  no      48582  10023.6  no    
0             41849  14613.3  no      39395   9862.5  no      37746  13565.6  no      27791   8618.5  no    
0             32573  13542.5  no      27880   9054.3  no      31040  11037.5  no      25265  10068.7  no    
0             27268  11890.6  no      23176   8605.2  no      23582  12329.1  no      19230   8076.7  no    
0             21715  11864.9  no      15629   8495.8  no      17683  10619.3  no      14848   6919.6  no    
0             19526  10155.1  no      12804   6602.7  no      18017   9373.7  no      11510   6619.6  no    
0             16248   8830.9  no      14569   7575.8  no      16490   9768.3  no      13835   6263.2  no    
