ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.22 cm2                 0.0996 cm2                   0.25 cm2                   0.11 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            429066  268053   no     155651  57111.3  no     221188  56994.0  no     182818  26409.4  no    
0            421472  268664   no     163499  64436.1  no     224380  52410.9  no     187065  26382.6  no    
0            415512  268564   no     154076  60147.7  no     225085  59978.0  no     177380  26955.7  no    
0            414563  256205   no     155884  52943.1  no     231455  58364.9  no     190148  28154.1  no    
0            411388  254535   no     151934  52689.0  no     232241  56485.1  no     179170  26293.2  no    
0            437597  255716   no     153440  57113.8  no     221123  57170.7  no     179975  27481.7  no    
0            406773  247219   no     159844  62358.5  no     233564  53135.1  no     188878  29692.3  no    
0            408971  260175   no     151913  63871.6  no     233333  54781.0  no     178396  30190.0  no    
0            412649  271330   no     152692  59533.4  no     225215  61433.9  no     186508  17513.5  no    
0            422313  270981   no     148285  47099.4  no     216194  50364.5  no     172627  30189.1  no    
0            439284  279365   no     142569  54810.1  no     216117  60598.0  no     172029  28410.8  no    
0            439773  289777   no     161079  49586.1  no     226551  51009.3  no     188144  32209.5  no    
0            454013  304685   no     159401  60130.3  no     223356  54043.8  no     171254  32491.2  no    
0            459573  308928   no     156313  58358.4  no     223916  60348.9  no     174077  25601.6  no    
0            465358  311139   no     160087  48915.1  no     230413  50547.5  no     175132  21463.2  no    
0            460604  306029   no     146830  48679.1  no     239044  59421.9  no     180137  29567.5  no    
0            460522  304290   no     153274  61176.0  no     227539  50910.2  no     181504  22798.1  no    
0            453076  298250   no     145521  50640.9  no     223943  55413.9  no     177990  28933.2  no    
0            451293  298866   no     144266  47749.1  no     229024  57138.9  no     180188  27207.5  no    
0            514522  291711   no     178776  53908.6  no     280779  64502.6  no     228646  27396.9  no    
0            552883  295031   no     193487  59209.1  no     296194  60584.5  no     228509  42668.9  no    
0            563458  287792   no     181051  57299.5  no     299154  66214.4  no     225755  44443.6  no    
0            565832  290785   no     187247  63041.3  no     302141  72348.8  no     229484  49157.9  no    
0            563481  281678   no     181882  47523.4  no     294275  70087.7  no     212113  50077.1  no    
0            564155  286932   no     164960  63937.9  no     276900  66447.3  no     205143  37167.3  no    
0            571867  289603   no     174480  59788.6  no     270869  64585.7  no     215465  39707.8  no    
0            579895  293610   no     168776  52339.8  no     283506  63645.6  no     211734  44877.2  no    
0            592212  301394   no     188259  51746.8  no     271455  60788.8  no     202075  40937.7  no    
0            601571  311051   no     173460  60154.7  no     267908  66943.7  no     204035  39063.3  no    
0            618128  316854   no     185769  58957.8  no     269054  62518.0  no     205565  43046.4  no    
0            622418  316476   no     183741  54881.3  no     269282  57590.3  no     192239  35426.4  no    
0            620634  322673   no     182380  66429.1  no     279043  60735.2  no     201053  39078.9  no    
