ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.23 cm2                   0.11 cm2                   0.12 cm2                 0.0952 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1256600  166166   no     1072213  153614   no     1331371  86738.5  no     1050035  254190   no    
0            1217848  166670   no     1039807  134869   no     1289092  82975.4  no     1020897  244361   no    
0            1221202  162692   no     1033716  139024   no     1279816  82285.4  no     1008287  234020   no    
0            1209370  164823   no     1035984  142138   no     1278662  82943.2  no     1007233  237870   no    
0            1212600  167150   no     1038906  135232   no     1279632  85252.0  no     1000017  236771   no    
0            1207168  168454   no     1029783  147118   no     1268141  76732.5  no     1007316  240809   no    
0            1211511  167839   no     1021857  144916   no     1266523  83084.3  no      997300  240817   no    
0            1198340  163596   no     1027413  134814   no     1268402  85630.2  no      994010  228249   no    
0            1193590  169032   no     1032416  134480   no     1255583  84611.0  no     1012592  245678   no    
0            1020915  152251   no      880624  119231   no     1081413  79173.7  no      861236  200731   no    
0            1026906  144000   no      877498  131446   no     1068965  70352.2  no      851306  212837   no    
0            1023811  149253   no      870595  119851   no     1059393  79416.3  no      846712  206487   no    
0            1022025  148563   no      870074  122278   no     1064432  71658.7  no      853450  204464   no    
0            1014999  145379   no      870894  119752   no     1070077  72527.4  no      840491  208972   no    
0            1017569  150283   no      872226  138910   no     1041391  75734.9  no      839331  190320   no    
0            1018987  140651   no      862958  117102   no     1065744  69008.4  no      844074  200603   no    
0            1007336  132851   no      865584  118308   no     1058776  77606.0  no      827299  202474   no    
0            1003975  145750   no      872057  126571   no     1050168  75190.3  no      837767  204449   no    
0             993389  140621   no      850958  124371   no     1035511  81259.5  no      828075  190435   no    
0             998628  147075   no      848955  115206   no     1036259  72137.5  no      830318  187045   no    
0             995686  138949   no      854307  124009   no     1030404  80327.8  no      823966  203193   no    
0             990040  136307   no      853749  116975   no     1021167  73475.9  no      812348  196833   no    
0             980078  136205   no      853217  119539   no     1022121  62994.0  no      816539  196974   no    
0             992866  142154   no      851421  123062   no     1023574  79313.6  no      812977  196248   no    
0             982498  139094   no      837483  114164   no     1002920  69888.3  no      801692  203598   no    
0             966443  137206   no      826800  119824   no     1004647  73381.2  no      797208  192053   no    
0             967547  135605   no      837430  123350   no      997901  71426.9  no      803080  187674   no    
0             964115  134809   no      821722  117906   no      986358  69578.7  no      792874  188757   no    
0             960727  134263   no      819897  129568   no      984858  78159.6  no      791783  177805   no    
0             944579  129413   no      807251  131135   no      951852  63687.4  no      783369  182780   no    
0             945362  132928   no      805494  129232   no      968788  83134.3  no      756897  184547   no    
0             940921  130896   no      809632  124795   no      961120  74313.2  no      761249  182321   no    
0             934734  132238   no      794733  116870   no      953386  73874.0  no      768627  170586   no    
0             924018  124530   no      795810  111423   no      950956  70851.8  no      757854  179711   no    
0             924037  126942   no      797553  126939   no      939048  71023.6  no      746437  159367   no    
0             920934  127999   no      797078  126747   no      918075  65660.1  no      736896  177255   no    
0             917137  130026   no      779836  114393   no      929008  78618.1  no      742281  167762   no    
0             902060  126936   no      777307  125544   no      897588  66631.3  no      726135  161950   no    
0             892642  124396   no      767780  125219   no      910899  69183.3  no      732498  163532   no    
0             891312  118965   no      751827  133431   no      891412  65667.5  no      731453  145943   no    
0             881262  122458   no      751904  135028   no      885562  61771.2  no      725521  150469   no    
0             868950  122773   no      753974  133120   no      864994  63882.2  no      724340  145158   no    
0             860110  117758   no      720341  132823   no      865214  67855.2  no      712688  145601   no    
0             851959  112047   no      736475  113649   no      868048  73389.9  no      695692  142875   no    
0             843997  110364   no      731769  114840   no      870735  71034.5  no      698873  154839   no    
0             849907  115546   no      720895  115879   no      840124  69080.0  no      692623  149457   no    
0             840179  112873   no      710703  113286   no      838710  70685.7  no      693369  151446   no    
0             826482  119422   no      702868  114944   no      828749  68395.9  no      672940  162121   no    
0             823621  114467   no      695669  109883   no      815265  72652.5  no      658031  146090   no    
0             816022  114360   no      694403  123137   no      803231  70143.1  no      652106  149418   no    
0             805180  111678   no      687465  120961   no      784630  83372.9  no      641635  154280   no    
0             769652  116024   no      683270  119489   no      762765  68280.6  no      628567  157104   no    
0             745705  114443   no      668935  132269   no      747482  72592.2  no      608553  160490   no    
0             725285  106602   no      663501  119841   no      689849  72852.8  no      572045  155924   no    
0             698334  120903   no      638729  123081   no      687310  69433.9  no      552283  165662   no    
0             690564  118482   no      630780  137918   no      642985  76370.6  no      516147  171695   no    
0             650806  126166   no      606745  133308   no      592781  74767.7  no      479477  174485   no    
0             626772  140136   no      590634  136346   no      538011  87444.0  no      444717  184468   no    
0             609102  146295   no      560393  139078   no      485731  92176.4  no      392264  176234   no    
0             559961  153327   no      534061  160649   no      413942  97821.2  no      344333  173342   no    
0             504545  156611   no      502276  162404   no      329223  93760.9  no      298776  164187   no    
0             448015  155807   no      472909  179224   no      249154  84067.2  no      255966  137974   no    
0             380843  142587   no      408717  175047   no      187060  66366.6  no      198907  107057   no    
0             320222  127692   no      368156  172064   no      134998  55131.9  no      179156   76979   no    
0             257303   93752   no      332528  150472   no      131890  47662.8  no      169518   76491   no    
0             206663   74124   no      277077  141804   no      152551  59292.4  no      189074   79778   no    
0             171636   68730   no      237331  109733   no      213672  65370.9  no      215950  105042   no    
0             196903   80930   no      212027   81177   no      291643  71084.6  no      265726  107275   no    
0             242322   92828   no      188550   70214   no      366174  65325.6  no      313813  110392   no    
0             304767   94190   no      190680   84129   no      449100  67878.4  no      351045  104414   no    
0             371602   88099   no      221153  109515   no      517078  57148.8  no      418929   99586   no    
0             445032   83818   no      250022  111176   no      568963  49034.3  no      473549  109812   no    
0             506586   82341   no      302357  113699   no      628699  46413.7  no      509267  102154   no    
0             570418   83155   no      345971  106241   no      662230  54416.6  no      547930   94623   no    
0             623005   85973   no      415293   87280   no      703191  50034.4  no      579748  106842   no    
0             661549   80064   no      452679   80216   no      726129  58561.4  no      599622  117613   no    
