ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.15 cm2                 0.0996 cm2                 0.0996 cm2                   0.20 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            358548  25883.2  no     351470  28656.4  no     367752  101395   no     307749  80865.1  no    
0            304583  34864.6  no     299421  27393.6  no     301275   99500   no     230483  66524.9  no    
0            218595  35836.7  no     214561  21887.9  no     204456   80541   no     140824  43037.6  no    
0            185918  35042.6  no     180027  25320.3  no     165874   74942   no     113719  33934.6  no    
0            141324  35706.7  no     133635  23276.1  no     124654   63263   no      71527  24351.6  no    
0            120325  31980.2  no     114190  24816.0  no     100632   58768   no      57870  18620.3  no    
0             99815  30506.5  no      89768  23925.0  no      80168   53032   no      37188  13445.1  no    
0             81770  30158.9  no      72620  23068.1  no      70649   47690   no      32570  14353.1  no    
0             69869  26383.6  no      63386  26038.5  no      60150   47201   no      24028  11225.3  no    
0             60306  27090.3  no      53421  21325.3  no      51745   46507   no      18922   9448.8  no    
0             49134  21428.9  no      44010  21166.3  no      45197   39441   no      18805   8742.2  no    
0             45777  20656.3  no      42185  20032.2  no      42777   37468   no      16792   9019.4  no    
