ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.28 cm2                   0.11 cm2                   0.10 cm2                   0.21 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            434411  36323.3  no     417793  28670.8  no     579831  146348   no     350178  96494.2  no    
0            365674  39237.3  no     355462  26137.3  no     515786  147804   no     275944  78594.0  no    
0            263713  36506.0  no     264138  26664.4  no     401700  124253   no     160142  50616.9  no    
0            223582  36144.5  no     222678  24519.3  no     347424  115713   no     128378  43277.1  no    
0            165431  35147.6  no     166994  25040.7  no     281062  101635   no      82107  27126.9  no    
0            141538  30660.3  no     145965  28496.6  no     251636   94150   no      63732  21214.6  no    
0            108644  29500.7  no     109464  27467.2  no     212799   86981   no      43247  17344.4  no    
0             95731  26031.7  no      97614  27379.4  no     196882   81120   no      31662  13756.7  no    
0             72352  24436.1  no      79031  25590.0  no     172962   76360   no      25214  11610.1  no    
0             64446  22593.6  no      69352  26134.5  no     162163   72711   no      21692  10766.6  no    
0             51444  21620.5  no      56097  23444.0  no     147311   69165   no      16986   9219.5  no    
0             45051  19148.8  no      48321  21732.0  no     138057   71579   no      17374  10037.9  no    
