ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.22 cm2                 0.0601 cm2                   0.18 cm2                   0.11 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1267098  189977   no     1277102  82692.5  no     1350746  112186   no     1162868  106064   no    
0            1228051  177907   no     1223670  68899.2  no     1268906  100888   no     1125697  104835   no    
0            1223472  175277   no     1218358  57332.4  no     1288919  104012   no     1130652  101106   no    
0            1209843  175148   no     1224177  69144.8  no     1297310  102836   no     1137685  100917   no    
0            1216988  168010   no     1221833  69422.2  no     1284552   95940   no     1118550  101138   no    
0            1203854  184427   no     1208853  62054.8  no     1293434   97251   no     1127930  102809   no    
0            1203325  177752   no     1212293  72004.5  no     1275000  103245   no     1113578   95071   no    
0            1202656  172732   no     1217669  69404.8  no     1259579  100519   no     1115065   95084   no    
0            1202253  171993   no     1197719  68448.6  no     1290516   98926   no     1112904  101588   no    
0            1020569  143876   no     1032097  56076.0  no     1087174   88159   no      927137   92209   no    
0            1020205  143137   no     1009696  63701.6  no     1066043   81648   no      921147   82793   no    
0            1014750  140222   no     1007464  61040.0  no     1084382   88572   no      921798   80729   no    
0            1010454  138677   no      999184  60966.6  no     1076272   85511   no      912425   87967   no    
0            1009035  142490   no     1005395  65984.7  no     1075458   98177   no      895678   87736   no    
0            1006285  140488   no      992413  63135.7  no     1081966   89038   no      907651   85484   no    
0            1007134  136408   no      995099  59976.8  no     1064703   86027   no      908589   83763   no    
0             999847  144884   no      975563  64402.0  no     1095867   91417   no      895540   94319   no    
0             992742  137967   no      986769  65460.7  no     1070621   83820   no      898822   78461   no    
0             984712  129613   no      981161  54670.0  no     1051781   85058   no      895964   89532   no    
0             988610  136740   no      965428  55023.7  no     1049498   89473   no      881415   89545   no    
0             986619  136690   no      966238  53102.6  no     1055164   81559   no      881244   85851   no    
0             984522  133745   no      968762  62536.8  no     1043658   87193   no      869931   84169   no    
0             983093  134591   no      962403  56347.0  no     1033142   85442   no      866588   80692   no    
0             971986  132416   no      961714  65886.7  no     1031250   94055   no      866909   75200   no    
0             973232  125432   no      949357  60935.9  no     1002885   90934   no      864777   92428   no    
0             962701  128153   no      950710  55278.9  no     1005054   86850   no      847812   73851   no    
0             958458  124789   no      952991  58906.4  no      973282   78066   no      837750   85955   no    
0             948151  116607   no      926048  59081.6  no     1002663   93955   no      839029   76980   no    
0             937067  119471   no      935971  57999.0  no      997932   84994   no      832496   86834   no    
0             932904  116156   no      930591  43225.8  no      986925   85793   no      822888   71919   no    
0             928277  119498   no      923301  56442.7  no      951677   78141   no      807658   84265   no    
0             913181  113424   no      900811  52894.7  no      976151   82577   no      806668   72239   no    
0             925406  122856   no      914207  63802.5  no      946976   78893   no      797842   70906   no    
0             889528  106247   no      890795  55307.1  no      950453   83321   no      789756   75842   no    
0             882204  105052   no      886641  56992.6  no      933075   72766   no      786646   77983   no    
0             878877  107724   no      875364  57082.3  no      919703   83521   no      769902   80865   no    
0             866227  115152   no      867981  54380.4  no      923856   86930   no      773353   70387   no    
0             864494  100159   no      839270  66577.5  no      913050   77667   no      770351   74025   no    
0             864584  102615   no      823710  59755.7  no      904045   77914   no      762113   76554   no    
0             864462  102129   no      840192  55083.6  no      899365   82646   no      748441   73456   no    
0             870008  106792   no      844016  57867.4  no      882289   77689   no      737567   75086   no    
0             874417  118938   no      833261  69245.3  no      869712   76783   no      727227   77766   no    
0             874095  122777   no      836272  52913.5  no      859109   75900   no      707738   78356   no    
0             851165  115931   no      836058  57290.6  no      863834   75632   no      697021   84500   no    
0             846408  106236   no      848821  59899.1  no      849366   78147   no      688391   90445   no    
0             822296  107697   no      821151  71097.7  no      855347   76516   no      674754   94256   no    
0             808683  105064   no      793953  69656.3  no      832292   76786   no      646985   99604   no    
0             781385   98633   no      776134  55868.5  no      814760   75249   no      607201  103407   no    
0             752970  104735   no      718090  68489.8  no      790255   85151   no      568624  108465   no    
0             739052  105252   no      697758  68413.7  no      758004   90103   no      497977  111009   no    
0             714291  109788   no      679634  72299.4  no      726008   78933   no      449541  130323   no    
0             685111   97474   no      650624  65708.1  no      678042   83443   no      394734  129533   no    
0             647906  102979   no      646506  59329.8  no      623346   87807   no      326998  120972   no    
0             596422  112172   no      584006  66423.5  no      564583   97244   no      272755  108687   no    
0             556615  128695   no      549999  64354.1  no      491937  104798   no      209158   88867   no    
0             487474  149225   no      489330  73176.3  no      423785  107102   no      149577   64039   no    
0             420159  167642   no      409858  82642.5  no      333193  110457   no      114891   47949   no    
0             343124  179863   no      359596  87740.7  no      247174   94815   no      111324   75739   no    
0             272607  182456   no      261932  94620.0  no      196656   75796   no      137381   87977   no    
0             211836  165517   no      171095  83925.1  no      175242   62639   no      170167  107063   no    
0             177486  147336   no      109890  48200.7  no      178392   52029   no      245792  115209   no    
0             151195  119040   no       98155  45016.3  no      211525   64814   no      311487  128438   no    
0             154881  111639   no      101755  53484.2  no      286168   87671   no      378746  104690   no    
0             189786  116012   no      113200  76075.5  no      360711  104646   no      447574   88704   no    
0             239341  140338   no      166278  76872.0  no      429486  105449   no      497139   79767   no    
0             291281  168070   no      249012  82070.5  no      508173  118115   no      543100   72125   no    
0             365581  179684   no      335566  87955.0  no      586010  106901   no      581982   65648   no    
0             434821  191776   no      423278  55429.0  no      629844   95304   no      610683   62403   no    
0             532012  169288   no      504064  43650.6  no      663042   95085   no      617671   72015   no    
0             741160  180922   no      556826  89974.5  no      735081  144139   no      672014   86014   no    
0             581626  156187   no      603837  56260.4  no      695712  107397   no      595137  114398   no    
0             644249  154907   no      662478  46571.5  no      719124  100689   no      633300  134498   no    
0             690972  159205   no      691894  50115.3  no      715994   98218   no      640402  149703   no    
0             704588  153156   no      681811  61475.2  no      756171  107070   no      647664  154287   no    
0             715120  142514   no      704618  47415.5  no      789588  118673   no      664129  152165   no    
0             735645  146085   no      732883  58242.0  no      807954  116328   no      675223  156182   no    
0             745088  153998   no      752456  54649.0  no      828460  115931   no      684325  164177   no    
0             769700  158115   no      766270  49449.3  no      846103  124939   no      701955  171977   no    
0             786746  159942   no      781501  58172.1  no      875098  124569   no      704985  160375   no    
0             795571  160750   no      808772  47752.9  no      879071  135799   no      702569  179318   no    
0             808824  166215   no      820743  51254.5  no      877447  119416   no      733484  169745   no    
0             817949  168979   no      846677  55778.7  no      880716  125604   no      723103  183457   no    
0             834147  174357   no      851467  56100.3  no      905858  117858   no      732835  181576   no    
0             843685  177630   no      869431  53104.1  no      906981  130350   no      744858  195028   no    
0             853587  171324   no      867029  47951.8  no      929121  135130   no      754021  194102   no    
0             855529  179880   no      886926  51977.0  no      937330  130071   no      753433  192417   no    
0             873760  184445   no      892677  46909.6  no      952622  134124   no      759046  187622   no    
0             878949  183714   no      913926  64441.3  no      945831  123760   no      775960  187282   no    
0             883626  187113   no      918261  53767.6  no      957647  135506   no      780140  204750   no    
0             898771  192124   no      916201  60912.4  no      981293  137880   no      769962  199960   no    
0             916340  190287   no      932637  54248.9  no      961995  132039   no      789259  198007   no    
0             915193  201091   no      941551  55294.5  no      989430  131557   no      790709  205730   no    
0             919586  192875   no      956747  67126.1  no      982531  139520   no      789128  206577   no    
0             924800  202618   no      940361  59660.9  no     1004828  140858   no      791928  205787   no    
0             933785  199139   no      960814  58727.3  no     1019889  135406   no      805590  208189   no    
0             934992  200243   no      965925  63556.6  no     1011512  149553   no      810320  201014   no    
0             955125  207463   no      988127  61199.8  no     1004813  141690   no      816590  209799   no    
0             952169  203031   no      977096  54460.6  no     1013141  142615   no      815301  210318   no    
0             954057  202817   no      966211  47482.0  no     1031577  143980   no      820436  210152   no    
0             951784  200023   no      996475  60173.8  no     1024463  139736   no      829924  209165   no    
0             966672  207972   no     1007174  67937.3  no     1030688  135945   no      824334  210708   no    
0             965228  208531   no      999095  52117.0  no     1040162  154627   no      830907  206024   no    
0             967152  212352   no     1011328  67068.8  no     1037543  143417   no      836840  211966   no    
0             979876  205145   no     1015275  58478.9  no     1043951  139630   no      842308  213487   no    
0             983704  211802   no     1016473  52829.2  no     1051427  155065   no      842638  202307   no    
0             989931  215460   no     1023601  58323.4  no     1033313  137112   no      853850  208845   no    
0             979240  207793   no     1032019  56339.1  no     1061991  160430   no      852937  208926   no    
0             981536  210208   no     1042574  68976.4  no     1058446  156933   no      859428  210866   no    
0             990584  213365   no     1044817  65978.1  no     1034749  144250   no      871991  198673   no    
0             993840  210412   no     1043928  62903.0  no     1069392  150600   no      875002  189572   no    
